id_unikalne,nazwa_firmy,tier,kategoria,miasto,qs_score,www,email,telefon,www_ok,email_ok,tel_ok
PL-B-OP-003,PHUP GNIEZNO SZESZYCKI SPÓŁKA KOMANDYTOWA,reseller,B4,Gniezno,85,http://www.phupgniezno.pl,,+48 512 984 347,tak,brak,tak
PL-B-LU-008,LEVER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,reseller,B4,Kraśnik,85,https://leverkrasnik.pl,,+48 81 825 02 17,tak,brak,tak
PL-B-PM-004,JUKA AKCESORIA TYTONIOWE JACEK MULARCZYK,reseller,B4,Gdańsk,85,https://jukaakcesoria.pl,,+48 723 179 629,tak,brak,tak
PL-A-KP-001,BISTA STANDARD SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,producent,A5,Bydgoszcz,80,https://bista.pl,brak,brak,tak,tak,tak
PL-B-XX-012,TABASCO VAPE TABAS SPÓŁKA KOMANDYTOWA,hurtownik,B8,Rzeszów,80,b2b.tabascovape.pl,biuro@tabascovape.pl,brak,tak,tak,tak
PL-B-XX-013,Flowrolls Sp. z o.o.,hurtownik,B8,Gdynia,80,brak,info@flowrolls.pl,brak,tak,tak,tak
PL-B-XX-015,WEEDPOL Sp. z o.o.,hurtownik,B8,Katowice,80,www.weedpol.pl,postmaster@weedpol.pl,brak,tak,tak,tak
PL-B-XX-019,Tobacco Of Poland,hurtownik,B8,Grudziądz,80,https://www.tobaccoofpoland.com,brak,+48 799 885 995 (Aleks Dudalski - dział handlowy),tak,tak,tak
PL-B-XX-022,J&K Dystrybucja sp. z o.o.,hurtownik,B8,Smolec (k. Wrocławia),80,brak,dystrybucja.jk@gmail.com,brak,tak,tak,tak
PL-B-XX-003,"AUGUSTO - LIMARO" LIPIŃSKI, MARSZAŁEK SPÓŁKA JAWNA,reseller,B8,Jelenia Góra,80,https://augustolimaro.pl/o-nas,,,tak,brak,brak
PL-B-XX-010,DRV DISTRIBUTION Sp. z o.o.,hurtownik,B8,Lubartów,75,brak,brak,brak,tak,tak,tak
PL-B-XX-011,VTP Sp. z o.o.,hurtownik,B8,Lublin,75,brak,brak,brak,tak,tak,tak
PL-B-XX-014,BIODIO LAB Sp. z o.o.,hurtownik,B8,Białystok,75,brak,brak,brak,tak,tak,tak
PL-B-XX-017,BENATURAL Sp. z o.o.,hurtownik,B8,Warszawa,75,brak,brak,brak,tak,tak,tak
PL-B-XX-018,Tabak Grupa sp. z o.o.,hurtownik,B8,Kalisz,75,brak,brak,brak,tak,tak,tak
PL-B-XX-020,Hurtownia Papierosów Sp. z o.o.,hurtownik,B8,Brzeziny,75,brak,brak,brak,tak,tak,tak
PL-B-XX-021,BITLOGIC BARNAŚ SPÓŁKA KOMANDYTOWA,hurtownik,B8,Włocławek,75,brak,brak,brak,tak,tak,tak
PL-B-XX-023,CLOUD HOLDING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hurtownik,B8,Gdańsk,75,brak,brak,brak,tak,tak,tak
PL-B-XX-024,Vape.pl Sp. z o.o.,hurtownik,B8,Zawiercie,75,brak,brak,brak,tak,tak,tak
PL-B-XX-055,BISTA STANDARD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hurtownik,B8,brak,75,brak,brak,brak,tak,tak,tak
PL-B-XX-056,EUROCASH SERWIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hurtownik,B8,brak,75,brak,brak,brak,tak,tak,tak
PL-B-XX-276,TOBACCHEM MACIEJ KRUPNIK,hurtownik,B6,Chrzanów,75,https://tobacchem.pl,,,tak,brak,brak
PL-B-XX-187,LUXTAB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hurtownik,B8,brak,75,brak,brak,brak,tak,tak,tak
PL-B-XX-188,JBT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hurtownik,B8,brak,75,brak,brak,brak,tak,tak,tak
PL-B-XX-189,ŁUKOWA TOBACCO COMPANY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hurtownik,B1,brak,75,brak,brak,brak,tak,tak,tak
PL-B-XX-191,ANGEL BIO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hurtownik,B1,brak,75,brak,brak,brak,tak,tak,tak
PL-B-XX-192,CKM TOBACCO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hurtownik,B1,brak,75,brak,brak,brak,tak,tak,tak
PL-B-XX-203,BRITISH AMERICAN TOBACCO POLSKA TRADING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hurtownik,B8,WARSZAWA,0,brak,brak,brak,tak,tak,tak
PL-B-XX-204,POLSKA GRUPA TYTONIOWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hurtownik,B8,ŁÓDŹ,0,brak,brak,brak,tak,tak,tak
PL-B-XX-205,"ZAS - POL" ZYGMUNT SPERZYŃSKI ALINA SPERZYŃSKA SPÓŁKA JAWNA,hurtownik,B8,POZNAŃ,0,brak,brak,brak,tak,tak,tak
PL-B-XX-206,IMPERIAL TOBACCO POLSKA SPÓŁKA AKCYJNA,hurtownik,B8,JANKOWICE,0,brak,brak,brak,tak,tak,tak
PL-B-XX-207,ALTRIA VENTURES POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hurtownik,B8,WARSZAWA,0,brak,brak,brak,tak,tak,tak
PL-B-XX-208,IMPERIAL BRANDS TRADING POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hurtownik,B8,WARSZAWA,0,brak,brak,brak,tak,tak,tak
PL-B-XX-209,CARMEN POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hurtownik,B8,SOCHACZEW,0,brak,brak,brak,tak,tak,tak
PL-B-XX-212,PHU ANTARES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hurtownik,B8,Siedlce,0,brak,brak,brak,tak,tak,tak
PL-B-XX-213,HURTOWNIA PD WŁADYSŁAW DRWAL, GRZEGORZ PINAS, DARIUSZ DRWAL SPÓŁKA JAWNA,hurtownik,B8,Tarnów,0,brak,brak,brak,tak,tak,tak
PL-B-XX-214,PHU HUGO SŁAWOMIR STRZELCZYK,hurtownik,B6,Oleśnica,0,brak,brak,brak,tak,tak,tak
PL-B-XX-215,Tabak Service International Robert Krauze,hurtownik,B6,Koszalin,0,brak,brak,brak,tak,tak,tak
PL-B-XX-216,Hempking Sp. z o.o.,hurtownik,B9,brak,0,brak,brak,brak,tak,tak,tak
