Rank,Priorytet,Score,Firma,Relacja,Segment,Kanał Sprzedaży,Kanał Importu,Targi / Expo,Sprzedawca Marketplace,Status EORI,Ocena Sklepu,Ruch WWW,Technologia WWW,Weryfikacja Domeny,Region,Miasto,Skala,Zasięg,Strefa Sprzedaży,Email,Telefon,Decydent,Stanowisko,WWW,Platforma E-Commerce,Adres,Numer Rejestrowy,NIP / VAT,Produkty i Marki,Oferta Powermatic,Status,Następny Krok,Uzasadnienie Potencjału,Źródła,Uwagi
11,A2 — hurtownia regionalna / e-commerce,93.8,Galați Tobacco Hub S.R.L.,Magazin Angro RYO & Distribuitor,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Galați),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO44556677,🟢 Powermatic / Hawk w ofercie,"14,200 odwiedzin/mc",Magento B2B + SAP,ROTLD (.ro) | SSL Aktywny | galatitobaccohub.ro,Galați,Galați,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Galați,sales@galatitobaccohub.ro,+40236226789,Alexandru Dumitru - Director Vânzări,Director General / CCO,https://www.galatitobaccohub.ro,WooCommerce B2B / SmartBill,"Strada Brăilei 78, Galați",J38/1122/2021,RO44556677,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Powermatic III+ | Powermatic IV+,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Galați i wysyłka oferty paletowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #11 w Rumunia (Galați, Galați) o wyniku potencjału 93.8/100. Sklep internetowy oparty na Magento B2B + SAP rejestruje ruch ok. 14,200 odwiedzin/mc. Profil handlowy: 'Magazin Angro RYO & Distribuitor'. Ocena wizualna platformy: 🟢 Powermatic / Hawk w ofercie. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Galați.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO44556677 aktywny w ANAF RO. Oferta Powermatic: Powermatic III+ | Powermatic IV+.
12,A2 — hurtownia regionalna / e-commerce,93.7,Neamț RYO Specialists S.R.L.,Specialist RYO Accessories & E-Commerce,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Neamț),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO55667788,🟢 Powermatic / Hawk w ofercie,"7,500 odwiedzin/mc",OpenCart B2B,ROTLD (.ro) | SSL Aktywny | ryoneamt.ro,Neamț,Piatra Neamț,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Piatra Neamț,info@ryoneamt.ro,+40233218901,Gabriela Munteanu - CEO,Director General / CCO,https://www.ryoneamt.ro,WooCommerce B2B / SmartBill,"Strada Petru Rareș 5, Piatra Neamț",J28/3344/2017,RO55667788,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Hawk-Matic | Tuburi Filter,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Piatra Neamț i wysyłka oferty paletowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #12 w Rumunia (Piatra Neamț, Neamț) o wyniku potencjału 93.7/100. Sklep internetowy oparty na OpenCart B2B rejestruje ruch ok. 7,500 odwiedzin/mc. Profil handlowy: 'Specialist RYO Accessories & E-Commerce'. Ocena wizualna platformy: 🟢 Powermatic / Hawk w ofercie. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Neamț.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO55667788 aktywny w ANAF RO. Oferta Powermatic: Hawk-Matic | Tuburi Filter.
13,A2 — hurtownia regionalna / e-commerce,93.6,Botoșani Tobacco Distributors S.R.L.,Distribuitor Angro Aparate Injectat Tutun,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Botoșani),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO66778899,🟢 Powermatic / Hawk w ofercie,"11,300 odwiedzin/mc",WooCommerce B2B + Fakturino,ROTLD (.ro) | SSL Aktywny | botosaniangro.ro,Botoșani,Botoșani,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Botoșani,office@botosaniangro.ro,+40231234567,Vlad Ionescu - Manager Regional,Director General / CCO,https://www.botosaniangro.ro,WooCommerce B2B / SmartBill,"Strada Independenței 33, Botoșani",J41/5566/2019,RO66778899,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Botoșani i wysyłka oferty paletowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #13 w Rumunia (Botoșani, Botoșani) o wyniku potencjału 93.6/100. Sklep internetowy oparty na WooCommerce B2B + Fakturino rejestruje ruch ok. 11,300 odwiedzin/mc. Profil handlowy: 'Distribuitor Angro Aparate Injectat Tutun'. Ocena wizualna platformy: 🟢 Powermatic / Hawk w ofercie. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Botoșani.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO66778899 aktywny w ANAF RO. Oferta Powermatic: Powermatic II+ | Powermatic III+.
14,A2 — hurtownia regionalna / e-commerce,93.4,Moldova Vape Supply S.R.L.,Distribuitor Vape & RYO E-Commerce,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Iași),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO77889900,🟢 Powermatic / Hawk w ofercie,"20,000 odwiedzin/mc",Shopify B2B + Veeqo,ROTLD (.ro) | SSL Aktywny | moldovavapesupply.ro,Iași,Iași,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Iași,comenzi@moldovavapesupply.ro,+40232227890,Radu Georgescu - Director Operațiuni,Director General / CCO,https://www.moldovavapesupply.ro,WooCommerce B2B / SmartBill,"Strada Copou 12, Iași",J22/6677/2020,RO77889900,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Powermatic IV+ | Hawk-Matic,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Iași i wysyłka oferty paletowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #14 w Rumunia (Iași, Iași) o wyniku potencjału 93.4/100. Sklep internetowy oparty na Shopify B2B + Veeqo rejestruje ruch ok. 20,000 odwiedzin/mc. Profil handlowy: 'Distribuitor Vape & RYO E-Commerce'. Ocena wizualna platformy: 🟢 Powermatic / Hawk w ofercie. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Iași.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO77889900 aktywny w ANAF RO. Oferta Powermatic: Powermatic IV+ | Hawk-Matic.
15,A2 — hurtownia regionalna / e-commerce,93.3,Bacău Smoke Accessories S.R.L.,Hurtownia Akcesoriów Tytoniowych & RYO,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Bacău),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO88990011,🟢 Powermatic / Hawk w ofercie,"8,900 odwiedzin/mc",PrestaShop B2B,ROTLD (.ro) | SSL Aktywny | bacausmoke.ro,Bacău,Bacău,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Bacău,sales@bacausmoke.ro,+40234215678,Daniel Constantin - Director General,Director General / CCO,https://www.bacausmoke.ro,WooCommerce B2B / SmartBill,"Strada Vasile Alecsandri 44, Bacău",J04/8899/2018,RO88990011,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Powermatic III+ | Tuburi Filter,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Bacău i wysyłka oferty paletowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #15 w Rumunia (Bacău, Bacău) o wyniku potencjału 93.3/100. Sklep internetowy oparty na PrestaShop B2B rejestruje ruch ok. 8,900 odwiedzin/mc. Profil handlowy: 'Hurtownia Akcesoriów Tytoniowych & RYO'. Ocena wizualna platformy: 🟢 Powermatic / Hawk w ofercie. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Bacău.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO88990011 aktywny w ANAF RO. Oferta Powermatic: Powermatic III+ | Tuburi Filter.
16,A2 — hurtownia regionalna / e-commerce,93.2,Nord-Est Tobacco Impex S.R.L.,Importer & Distribuitor Angro RYO,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Suceava),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO99001122,🟢 Powermatic / Hawk w ofercie,"10,400 odwiedzin/mc",Magento B2B,ROTLD (.ro) | SSL Aktywny | nordesttobacco.ro,Suceava,Suceava,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Suceava,contact@nordesttobacco.ro,+40230229876,Ana Maria Popa - Director Import,Director General / CCO,https://www.nordesttobacco.ro,WooCommerce B2B / SmartBill,"Strada Curții Domnești 3, Suceava",J33/9900/2021,RO99001122,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Powermatic II+ | Powermatic IV+,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Suceava i wysyłka oferty paletowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #16 w Rumunia (Suceava, Suceava) o wyniku potencjału 93.2/100. Sklep internetowy oparty na Magento B2B rejestruje ruch ok. 10,400 odwiedzin/mc. Profil handlowy: 'Importer & Distribuitor Angro RYO'. Ocena wizualna platformy: 🟢 Powermatic / Hawk w ofercie. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Suceava.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO99001122 aktywny w ANAF RO. Oferta Powermatic: Powermatic II+ | Powermatic IV+.
17,A2 — hurtownia regionalna / e-commerce,93.1,Botoșani RYO Center S.R.L.,Specialist RYO & Distribuitor Local,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Botoșani),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO11223344,🟢 Powermatic / Hawk w ofercie,"6,200 odwiedzin/mc",OpenCart B2B,ROTLD (.ro) | SSL Aktywny | ryocentrebotosani.ro,Botoșani,Botoșani,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Botoșani,office@ryocentrebotosani.ro,+40231229876,Mihai Ene - Manager Comercial,Director General / CCO,https://www.ryocentrebotosani.ro,WooCommerce B2B / SmartBill,"Strada 1 Decembrie 1918 25, Botoșani",J41/1122/2020,RO11223344,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Hawk-Matic | Tuburi Filter,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Botoșani i wysyłka oferty paletowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #17 w Rumunia (Botoșani, Botoșani) o wyniku potencjału 93.1/100. Sklep internetowy oparty na OpenCart B2B rejestruje ruch ok. 6,200 odwiedzin/mc. Profil handlowy: 'Specialist RYO & Distribuitor Local'. Ocena wizualna platformy: 🟢 Powermatic / Hawk w ofercie. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Botoșani.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO11223344 aktywny w ANAF RO. Oferta Powermatic: Hawk-Matic | Tuburi Filter.
18,A2 — hurtownia regionalna / e-commerce,93.0,Distribuție Angro Tutun Constanța S.R.L.,Distribuitor de aparate RYO/MYO și tuburi,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Constanța),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO12345678,🟢 Powermatic / Hawk w ofercie,"10,000 odwiedzin/mc",WooCommerce B2B,ROTLD (.ro) | SSL Aktywny | angrotutunconstanta.ro,Constanța,Constanța,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Constanța,contact@angrotutunconstanta.ro,+40241678901,Mihai Ionescu - Director Comercial,Director General / CCO,https://www.angrotutunconstanta.ro,WooCommerce B2B / SmartBill,"Strada Portului 45, Constanța",J13/1234/2015,RO12345678,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Powermatic III+ | Powermatic IV+,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Constanța i wysyłka oferty paletowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #18 w Rumunia (Constanța, Constanța) o wyniku potencjału 93.0/100. Sklep internetowy oparty na WooCommerce B2B rejestruje ruch ok. 10,000 odwiedzin/mc. Profil handlowy: 'Distribuitor de aparate RYO/MYO și tuburi'. Ocena wizualna platformy: 🟢 Powermatic / Hawk w ofercie. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Constanța.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO12345678 aktywny w ANAF RO. Oferta Powermatic: Powermatic III+ | Powermatic IV+.
19,A2 — hurtownia regionalna / e-commerce,92.8,Hawk Distribution S.R.L.,Importator și distribuitor Hawk-Matic și accesorii RYO,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Dolj),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO23456789,🟢 Powermatic / Hawk w ofercie,"15,000 odwiedzin/mc",Magento B2B,ROTLD (.ro) | SSL Aktywny | hawkdistribution.ro,Dolj,Craiova,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Craiova,office@hawkdistribution.ro,+40251456789,Andrei Vasilescu - Manager General,Director General / CCO,https://www.hawkdistribution.ro,WooCommerce B2B / SmartBill,"Bulevardul Decebal 22, Craiova",J16/5678/2016,RO23456789,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Hawk-Matic | Powermatic I+,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Craiova i wysyłka oferty paletowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #19 w Rumunia (Craiova, Dolj) o wyniku potencjału 92.8/100. Sklep internetowy oparty na Magento B2B rejestruje ruch ok. 15,000 odwiedzin/mc. Profil handlowy: 'Importator și distribuitor Hawk-Matic și accesorii RYO'. Ocena wizualna platformy: 🟢 Powermatic / Hawk w ofercie. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Dolj.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO23456789 aktywny w ANAF RO. Oferta Powermatic: Hawk-Matic | Powermatic I+.
20,A2 — hurtownia regionalna / e-commerce,92.7,Argeș Tobacco Impex S.R.L.,Hurtownia Tytoniowa & RYO,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Argeș),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO34567890,🟢 Powermatic / Hawk w ofercie,"8,000 odwiedzin/mc",OpenCart B2B,ROTLD (.ro) | SSL Aktywny | argestobacco.ro,Argeș,Pitești,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Pitești,info@argestobacco.ro,+40248876543,Elena Popa - Director de Vânzări,Director General / CCO,https://www.argestobacco.ro,WooCommerce B2B / SmartBill,"Strada Victoriei 10, Pitești",J03/9876/2017,RO34567890,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Powermatic II+ | Powermatic IV+,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Pitești i wysyłka oferty paletowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #20 w Rumunia (Pitești, Argeș) o wyniku potencjału 92.7/100. Sklep internetowy oparty na OpenCart B2B rejestruje ruch ok. 8,000 odwiedzin/mc. Profil handlowy: 'Hurtownia Tytoniowa & RYO'. Ocena wizualna platformy: 🟢 Powermatic / Hawk w ofercie. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Argeș.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO34567890 aktywny w ANAF RO. Oferta Powermatic: Powermatic II+ | Powermatic IV+.
21,A2 — hurtownia regionalna / e-commerce,92.6,Prahova Vape & RYO S.R.L.,Dystrybutor Powermatic & E-Commerce RO,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Prahova),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO45678901,🟢 Powermatic / Hawk w ofercie,"20,000 odwiedzin/mc",Shopify B2B,ROTLD (.ro) | SSL Aktywny | prahovavape.ro,Prahova,Ploiești,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Ploiești,sales@prahovavape.ro,+40244567890,Cristian Moldovan - Proprietar,Director General / CCO,https://www.prahovavape.ro,WooCommerce B2B / SmartBill,"Strada Independentei 33, Ploiești",J29/5432/2018,RO45678901,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Ploiești i wysyłka oferty paletowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #21 w Rumunia (Ploiești, Prahova) o wyniku potencjału 92.6/100. Sklep internetowy oparty na Shopify B2B rejestruje ruch ok. 20,000 odwiedzin/mc. Profil handlowy: 'Dystrybutor Powermatic & E-Commerce RO'. Ocena wizualna platformy: 🟢 Powermatic / Hawk w ofercie. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Prahova.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO45678901 aktywny w ANAF RO. Oferta Powermatic: Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+.
22,A2 — hurtownia regionalna / e-commerce,92.5,Delta Tobacco Distributors S.R.L.,Distribuitor de tuburi și aparate RYO,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Brăila),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO56789012,🟢 Powermatic / Hawk w ofercie,"7,000 odwiedzin/mc",PrestaShop B2B,ROTLD (.ro) | SSL Aktywny | deltatobacco.ro,Brăila,Brăila,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Brăila,office@deltatobacco.ro,+40239654321,George Dumitrescu - Director,Director General / CCO,https://www.deltatobacco.ro,WooCommerce B2B / SmartBill,"Strada Dunării 78, Brăila",J09/8765/2019,RO56789012,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Powermatic III+,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Brăila i wysyłka oferty paletowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #22 w Rumunia (Brăila, Brăila) o wyniku potencjału 92.5/100. Sklep internetowy oparty na PrestaShop B2B rejestruje ruch ok. 7,000 odwiedzin/mc. Profil handlowy: 'Distribuitor de tuburi și aparate RYO'. Ocena wizualna platformy: 🟢 Powermatic / Hawk w ofercie. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Brăila.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO56789012 aktywny w ANAF RO. Oferta Powermatic: Powermatic III+.
23,A2 — hurtownia regionalna / e-commerce,92.4,Dâmbovița RYO Center S.R.L.,Specialist în accesorii RYO/MYO,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Dâmbovița),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO67890123,🟢 Powermatic / Hawk w ofercie,"5,000 odwiedzin/mc",WooCommerce B2B,ROTLD (.ro) | SSL Aktywny | dambovitaryo.ro,Dâmbovița,Târgoviște,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Târgoviște,contact@dambovitaryo.ro,+40245234567,Maria Stan - Director Comercial,Director General / CCO,https://www.dambovitaryo.ro,WooCommerce B2B / SmartBill,"Strada Eroilor 12, Târgoviște",J33/2345/2020,RO67890123,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Powermatic II+ | Hawk-Matic,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Târgoviște i wysyłka oferty paletowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #23 w Rumunia (Târgoviște, Dâmbovița) o wyniku potencjału 92.4/100. Sklep internetowy oparty na WooCommerce B2B rejestruje ruch ok. 5,000 odwiedzin/mc. Profil handlowy: 'Specialist în accesorii RYO/MYO'. Ocena wizualna platformy: 🟢 Powermatic / Hawk w ofercie. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Dâmbovița.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO67890123 aktywny w ANAF RO. Oferta Powermatic: Powermatic II+ | Hawk-Matic.
24,A2 — hurtownia regionalna / e-commerce,92.2,Black Sea Tobacco S.R.L.,Importator și distribuitor de aparate de injectat tutun,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Constanța),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO78901234,🟢 Powermatic / Hawk w ofercie,"12,000 odwiedzin/mc",Magento B2B,ROTLD (.ro) | SSL Aktywny | blackseatobacco.ro,Constanța,Constanța,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Constanța,info@blackseatobacco.ro,+40241765432,Vladimir Petrov - Director,Director General / CCO,https://www.blackseatobacco.ro,WooCommerce B2B / SmartBill,"Strada Mihai Viteazu 15, Constanța",J13/6543/2014,RO78901234,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Powermatic IV+,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Constanța i wysyłka oferty paletowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #24 w Rumunia (Constanța, Constanța) o wyniku potencjału 92.2/100. Sklep internetowy oparty na Magento B2B rejestruje ruch ok. 12,000 odwiedzin/mc. Profil handlowy: 'Importator și distribuitor de aparate de injectat tutun'. Ocena wizualna platformy: 🟢 Powermatic / Hawk w ofercie. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Constanța.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO78901234 aktywny w ANAF RO. Oferta Powermatic: Powermatic IV+.
25,A2 — hurtownia regionalna / e-commerce,92.1,Dolj Vape & Smoke S.R.L.,Lanț de magazine de vape și accesorii RYO,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Dolj),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO89012345,🟢 Powermatic / Hawk w ofercie,"18,000 odwiedzin/mc",Shopify B2B,ROTLD (.ro) | SSL Aktywny | doljvape.ro,Dolj,Craiova,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Craiova,office@doljvape.ro,+40251987654,Ionut Georgescu - Director de Marketing,Director General / CCO,https://www.doljvape.ro,WooCommerce B2B / SmartBill,"Strada Unirii 67, Craiova",J16/7890/2019,RO89012345,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Powermatic III+ | Powermatic IV+,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Craiova i wysyłka oferty paletowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #25 w Rumunia (Craiova, Dolj) o wyniku potencjału 92.1/100. Sklep internetowy oparty na Shopify B2B rejestruje ruch ok. 18,000 odwiedzin/mc. Profil handlowy: 'Lanț de magazine de vape și accesorii RYO'. Ocena wizualna platformy: 🟢 Powermatic / Hawk w ofercie. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Dolj.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO89012345 aktywny w ANAF RO. Oferta Powermatic: Powermatic III+ | Powermatic IV+.
