verdict,firma,nip_vat,rank,reason
⚠️ DO-WERYFIKACJI,SIA „Grefe Latvia“ (Royal Smoke Riga Retail Network),LV40103891234,20,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Lemona Electronics Latvija“ (MYO Devices & Tech Store),LV40003780315,21,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Elvi Latvija“ (Retail Franchise Supermarket Alliance),LV40103287661,22,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Iepirkumu Grupa“ (Top! Store Network Management),LV40003636840,23,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Tobacco Land Latvia“ (Wholesale Tobacco & Accessories),LV40003987123,24,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Kaup24 Latvija“ (PHH Group Regional Marketplace),LV40103987654,25,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Tabakas Veikals Liepāja“ (Kurzeme Tobacco Distributor),LV40103412589,26,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Kurzeme Wholesale FMCG“ (Liepāja Logistics & Trade),LV40003852147,27,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Ventspils Retail Alliance“ (Ventspils Port Tobacco),LV40103685214,28,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Amber Tobacco Wholesale“ (Liepāja Trade House),LV40103598741,29,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Kuldīgas Tirgotājs“ (Kuldīga Regional Distributor),LV40003714285,30,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Saldus B2B Distribution“ (Saldus Trade Hub),LV40103829147,31,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Talsu Partneri“ (Talsi Wholesale & Retail),LV40003947812,32,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Liepāja Vape Shop“ (Liepāja E-Smoking Center),LV40203198426,33,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Kurzeme Express Logistics“ (Liepāja Free Port Hub),LV40103784159,34,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Ventspils Smoker Center“ (Port Tobacco & Accessories),LV40203284196,35,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Daugavpils Tabaka & Akcesori“ (Latgale Main Wholesaler),LV40103523698,36,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Latgale B2B Logistics“ (Rēzekne Trade & Freight),LV40103964125,37,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Daugava Wholesale FMCG“ (Daugavpils Trade Hub),LV40003826194,38,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Latgales Dūms“ (Daugavpils Tobacco & Vape Chain),LV40203148729,39,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Rēzekne Vape Hub“ (Eastern Vape & Tobacco),LV40203294185,40,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Krāslavas Tirgus“ (Krāslava Wholesale & Retail),LV40003684129,41,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Preiļu Dīleris“ (Preiļi Trade House),LV40103794182,42,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Līvāni B2B Trade“ (Līvāni Logistics Center),LV40003918274,43,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Daugavpils FMCG Express“ (Latgale Express Logistics),LV40103847192,44,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „East Baltic Vape“ (Daugavpils Vape & RYO Center),LV40203391847,45,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Vidzeme Logistics & Retail“ (Valmiera B2B Hub),LV40003951478,46,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Cēsis Wholesale FMCG“ (Cēsis Regional Trade),LV40103698412,47,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Ogre B2B Trade“ (Ogre Regional Logistics Hub),LV40003819427,48,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Sigulda Retail Hub“ (Sigulda Trade & Convenience),LV40103741928,49,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Limbažu Tirgotājs“ (Limbaži Regional Distributor),LV40003694182,50,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Zemgale Trade & Distribution“ (Jelgava Wholesale Hub),LV40003789512,51,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Jēkabpils B2B Express“ (Daugava Trade Center),LV40103841927,52,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Bauska Retail Alliance“ (Bauska Border Wholesale),LV40003681492,53,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Dobeles Tirgotājs“ (Dobele Regional Store Alliance),LV40103791827,54,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,SIA „Jelgava Vape Center“ (Jelgava Tobacco & E-Cig),LV40203284172,55,"DO-W — synthetic data, no real registry match"
❌ HALUCYNACJA,"Rasta 1, SIA",,56,HALUCYNACJA — confirmed hallucination
❌ HALUCYNACJA,"Baltic Sales Network, SIA",,57,HALUCYNACJA — confirmed hallucination
❌ HALUCYNACJA,"Greis, SIA",,58,HALUCYNACJA — confirmed hallucination
❌ HALUCYNACJA,"Czesla Cigars, SIA",,59,HALUCYNACJA — confirmed hallucination
❌ HALUCYNACJA,"G & P Tobacco, SIA",,60,HALUCYNACJA — confirmed hallucination
⚠️ DO-WERYFIKACJI,"SIA ""Tabakas Mašīnas Latgale""",LV40103219876,61,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,"SIA ""Vape & RYO Krāslava""",LV40203345678,62,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,"SIA ""Latgales Tabakas Akcesori""",LV40003456789,63,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,"SIA ""Preiļu Tabakas Tehnika""",LV40103567890,64,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,"SIA ""Līvānu RYO Centrs""",LV40203678901,65,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,"SIA ""Daugavpils Vape & RYO""",LV40003789012,66,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,"SIA ""Rēzeknes Tabakas Mašīnas""",LV40103890123,67,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,"SIA ""Krāslavas Tabakas Pasaule""",LV40203901234,68,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,"SIA ""Preiļu Vape Distribūcija""",LV40004012345,69,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,"SIA ""Līvānu Tabakas Tehnoloģijas""",LV40104123456,70,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,"SIA ""Valmieras Tabakas Nams""",LV40103214567,71,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,"SIA ""Ogres Tabakas Tirdzniecība""",LV40303456789,72,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,"SIA ""Siguldas Vape & RYO""",LV40403567890,73,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,"SIA ""Jelgavas Tabakas Veikals""",LV40503678901,74,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,"SIA ""Bauskas Tabakas Pasaule""",LV40603789012,75,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,"SIA ""Jēkabpils Tabakas Mašīnas""",LV40703890123,76,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,"SIA ""Dobeles Tabakas Aksesuāri""",LV40803901234,77,"DO-W — synthetic data, no real registry match"
