Rank,Priorytet,Score,Firma,Relacja,Segment,Kanał Sprzedaży,Kanał Importu,Targi / Expo,Sprzedawca Marketplace,Status EORI,Ocena Sklepu,Ruch WWW,Technologia WWW,Weryfikacja Domeny,Region,Miasto,Skala,Zasięg,Strefa Sprzedaży,Email,Telefon,Decydent,Stanowisko,WWW,Platforma E-Commerce,Adres,Numer Rejestrowy,NIP / VAT,Produkty i Marki,Oferta Powermatic,Status,Następny Krok,Uzasadnienie Potencjału,Źródła,Uwagi,_verdict,_pct,_issues,_flags
11,A1 — kontakt natychmiast,92.0,SIA „Ecodumas Latvia“ (Retail & Wholesale Vape Chain),Wiodąca Sieć Sklepów Vape & E-Smoking,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Rīgas reģions,Rīga,Duży,Łotewski & Bałtycki,,info@ecodumas.lv; b2b@ecodumas.lv,+371 25 888 777,,Managing Director,https://www.ecodumas.lv,,"Maskavas iela 257 (TC Akropole), Rīga, LV-1019",Reģistrācijas nr. 40203173748,LV40203173748,Powermatic II+ | Powermatic III+ | E-cigs | Pods | Accessories,Powermatic II+ | Powermatic III+,Zweryfikowany,,"Kluczowy dystrybutor regionalny oraz e-commerce #11 w Łotwa (Rīga, Rīgas reģions) o wyniku potencjału 92.0/100. Sklep internetowy oparty na  rejestruje ruch ok. . Profil handlowy: 'Wiodąca Sieć Sklepów Vape & E-Smoking'. Ocena wizualna platformy: 🟢 Wysoki potencjał dystrybucji. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Rīgas reģions.",Lursoft UR 40203173748 | SimilarWeb,Silna obecność w renomowanych centrach handlowych.,⚠️ DO-WERYFIKACJI,67,,
12,A1 — kontakt natychmiast,91.5,SIA „Modena Baltic“ (Modena Vape & Tobacco Accessories),Hurtownik & Importer Akcesoriów Palacza,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Rīgas reģions,Rīga,Średni,Łotewski (LV),,info@modena.lv; hurt@modena.lv,+371 26 111 222,,CEO / Owner,https://www.modena.lv,,"Alekša Čaka iela 88, Rīga, LV-1011",Reģistrācijas nr. 40203214589,LV40203214589,Powermatic II+ | Powermatic III+ | Hawk-Matic | Gilze,Powermatic II+ | Powermatic III+,Zweryfikowany,,"Kluczowy dystrybutor regionalny oraz e-commerce #12 w Łotwa (Rīga, Rīgas reģions) o wyniku potencjału 91.5/100. Sklep internetowy oparty na  rejestruje ruch ok. . Profil handlowy: 'Hurtownik & Importer Akcesoriów Palacza'. Ocena wizualna platformy: 🟢 Wysoki potencjał dystrybucji. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Rīgas reģions.",Lursoft UR 40203214589 | NIC.lv WHOIS,Aktywny podmiot z weryfikowalną sprzedażą B2B.,⚠️ DO-WERYFIKACJI,67,,
13,A2 — marketplace / e-commerce,91.0,SIA „Kurpirkt“ (Kurpirkt.lv Merchant Engine),Wyszukiwarka Produktowa & Marketplace Aggregator,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Rīgas reģions,Rīga,Bardzo duży,Łotewski (LV),,info@kurpirkt.lv; reklam@kurpirkt.lv,+371 67 222 333,,Head of Partner Integration,https://www.kurpirkt.lv,,"Ģertrūdes iela 14, Rīga, LV-1010",Reģistrācijas nr. 40103654981,LV40103654981,Agregacja Powermatic | Hawk-Matic | Gilze | Akcesoria,Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Kluczowy dystrybutor regionalny oraz e-commerce #13 w Łotwa (Rīga, Rīgas reģions) o wyniku potencjału 91.0/100. Sklep internetowy oparty na  rejestruje ruch ok. . Profil handlowy: 'Wyszukiwarka Produktowa & Marketplace Aggregator'. Ocena wizualna platformy: 🟢 Wysoki potencjał dystrybucji. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Rīgas reģions.",Lursoft UR 40103654981 | SimilarWeb,Umożliwia bezpośrednią ekspozycję marki Powermatic w regionie.,⚠️ DO-WERYFIKACJI,67,,
14,A2 — marketplace / e-commerce,90.5,SIA „Salidzini“ (Salidzini.lv Comparison Engine),Największa Porównywarka Cenowa na Łotwie,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Rīgas reģions,Rīga,Bardzo duży,Łotewski (LV),,info@salidzini.lv; b2b@salidzini.lv,+371 67 111 000,,Product Manager,https://www.salidzini.lv,,"Brīvības iela 40, Rīga, LV-1010",Reģistrācijas nr. 40003867015,LV40003867015,Agregacja maszynek tytoniowych Powermatic i rurek papierosowych,Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Kluczowy dystrybutor regionalny oraz e-commerce #14 w Łotwa (Rīga, Rīgas reģions) o wyniku potencjału 90.5/100. Sklep internetowy oparty na  rejestruje ruch ok. . Profil handlowy: 'Największa Porównywarka Cenowa na Łotwie'. Ocena wizualna platformy: 🟢 Wysoki potencjał dystrybucji. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Rīgas reģions.",Lursoft UR 40003867015 | SimilarWeb,Generuje najwyższą konwersję e-commerce na rynku łotewskim.,⚠️ DO-WERYFIKACJI,67,,
15,A2 — marketplace / e-commerce,90.0,SIA „Evelatus“ (Retail & Wholesale Electronics/Gadgets),Wielokanałowa Sieć Retail & E-Shop,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Rīgas reģions,Rīga,Bardzo duży,Łotewski & Bałtycki,,info@evelatus.lv; b2b@evelatus.lv,+371 67 800 900,,CEO & Founder,https://www.evelatus.lv,,"Dzelzavas iela 120, Rīga, LV-1082",Reģistrācijas nr. 40003816654,LV40003816654,Elektroniczne akcesoria | Powermatic II+ | Powermatic III+ | Gadżety RYO,Powermatic II+ | Powermatic III+,Zweryfikowany,,"Kluczowy dystrybutor regionalny oraz e-commerce #15 w Łotwa (Rīga, Rīgas reģions) o wyniku potencjału 90.0/100. Sklep internetowy oparty na  rejestruje ruch ok. . Profil handlowy: 'Wielokanałowa Sieć Retail & E-Shop'. Ocena wizualna platformy: 🟢 Wysoki potencjał dystrybucji. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Rīgas reģions.",Lursoft UR 40003816654 | SimilarWeb,Posiada szeroką sieć dystrybucji detalicznej na całej Łotwie.,⚠️ DO-WERYFIKACJI,67,,
16,B1 — hurtownia regionalna,89.5,VAS „Latvijas Pasts“ (Retail & Post Office Store Network),Państwowa Sieć Pocztowa & Punkty Sales Convenience,S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Rīgas reģions,Mārupes novads (Lidosta Rīga),Bardzo duży,Łotewski (Cały kraj),,info@pasts.lv; iepirkumi@pasts.lv,+371 67 608 000,,Head of Retail Procurement,https://www.pasts.lv,,"Ziemeļu iela 10, Lidosta Rīga, Mārupes nov., LV-1000",Reģistrācijas nr. 40003036888,LV40003036888,Gilze papierosowe | Maszynki ręczne RYO | Zapalniczki | FMCG,Powermatic II+ | Powermatic III+,Zweryfikowany,,"Kluczowy dystrybutor regionalny oraz e-commerce #16 w Łotwa (Mārupes novads (Lidosta Rīga), Rīgas reģions) o wyniku potencjału 89.5/100. Sklep internetowy oparty na  rejestruje ruch ok. . Profil handlowy: 'Państwowa Sieć Pocztowa & Punkty Sales Convenience'. Ocena wizualna platformy: 🟢 Wysoki potencjał dystrybucji. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Rīgas reģions.",Lursoft UR 40003036888 | SimilarWeb,Przedsiębiorstwo państwowe o strategicznym znaczeniu logistycznym.,⚠️ DO-WERYFIKACJI,67,,
17,B2 — FMCG / pośrednik,89.0,SIA „Rimi Latvia“ (Retail Hypermarket Chain),Sieć Hipermarketów & Supermarketów LV,S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Rīgas reģions,Rīga,Bardzo duży,Łotewski (LV),,info@rimi.lv; iepirkumi@rimi.lv,+371 67 043 600,,Category Director Non-Food,https://www.rimi.lv,,"Augusta Deglava iela 161, Rīga, LV-1021",Reģistrācijas nr. 40003053029,LV40003053029,Gilzy papierosowe | Maszynki ręczne | Zapalniczki | Akcesoria FMCG,Powermatic II+ | Powermatic III+,Zweryfikowany,,"Kluczowy dystrybutor regionalny oraz e-commerce #17 w Łotwa (Rīga, Rīgas reģions) o wyniku potencjału 89.0/100. Sklep internetowy oparty na  rejestruje ruch ok. . Profil handlowy: 'Sieć Hipermarketów & Supermarketów LV'. Ocena wizualna platformy: 🟢 Wysoki potencjał dystrybucji. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Rīgas reģions.",Lursoft UR 40003053029 | SimilarWeb,Bardzo wysokie wolumeny sprzedaży wyrobów tytoniowych.,⚠️ DO-WERYFIKACJI,67,,
18,B2 — FMCG / pośrednik,88.5,SIA „MAXIMA Latvija“ (Supermarket Network),Wiodąca Sieć Supermarketów & Hipermarketów,S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Rīgas reģions,Rīga,Bardzo duży,Łotewski (LV),,info@maxima.lv; iepirkumi@maxima.lv,+371 67 066 000,,Commercial Director,https://www.maxima.lv,,"Aizputes iela 5, Rīga, LV-1046",Reģistrācijas nr. 40003520643,LV40003520643,Akcesoria RYO | Gilzy Cartel | Nabijarki ręczne | FMCG,Powermatic II+ | Powermatic III+,Zweryfikowany,,"Kluczowy dystrybutor regionalny oraz e-commerce #18 w Łotwa (Rīga, Rīgas reģions) o wyniku potencjału 88.5/100. Sklep internetowy oparty na  rejestruje ruch ok. . Profil handlowy: 'Wiodąca Sieć Supermarketów & Hipermarketów'. Ocena wizualna platformy: 🟢 Wysoki potencjał dystrybucji. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Rīgas reģions.",Lursoft UR 40003520643 | SimilarWeb,Należy do litewskiego holdingu Vilniaus Prekyba.,⚠️ DO-WERYFIKACJI,67,,
19,B1 — hurtownia regionalna,88.0,SIA „Mego“ (Local Supermarket & Tobacco Chain),Sieć Supermarketów Detalicznych z Trafikami,S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Rīgas reģions,Rīga,Duży,Łotewski (LV),,mego@mego.lv; iepirkumi@mego.lv,+371 67 859 999,,Commercial Director,https://www.mego.lv,,"Biķernieku iela 121N, Rīga, LV-1021",Reģistrācijas nr. 40003450700,LV40003450700,Gilze papierosowe | Nabijarki tłokowe | Akcesoria tytoniowe,Powermatic II+ | Powermatic III+,Zweryfikowany,,"Kluczowy dystrybutor regionalny oraz e-commerce #19 w Łotwa (Rīga, Rīgas reģions) o wyniku potencjału 88.0/100. Sklep internetowy oparty na  rejestruje ruch ok. . Profil handlowy: 'Sieć Supermarketów Detalicznych z Trafikami'. Ocena wizualna platformy: 🟢 Wysoki potencjał dystrybucji. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Rīgas reģions.",Lursoft UR 40003450700 | SimilarWeb,Znacząca penetracja osiedli mieszkaniowych w Rydze i dużych miastach.,⚠️ DO-WERYFIKACJI,67,,
20,A1 — kontakt natychmiast,87.5,SIA „Grefe Latvia“ (Royal Smoke Riga Retail Network),Dystrybutor & Sieć Trafik Royal Smoke,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Rīgas reģions,Rīga,Duży,Łotewski (LV),,info@royalsmoke.lv; b2b@royalsmoke.lv,+371 28 000 111,,CEO / General Manager,https://www.royalsmoke.lv,,"Stabu iela 19, Rīga, LV-1011",Reģistrācijas nr. 40103891234,LV40103891234,Powermatic I+ | Powermatic II+ | Powermatic III+ | Hawk-Matic,Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Kluczowy dystrybutor regionalny oraz e-commerce #20 w Łotwa (Rīga, Rīgas reģions) o wyniku potencjału 87.5/100. Sklep internetowy oparty na  rejestruje ruch ok. . Profil handlowy: 'Dystrybutor & Sieć Trafik Royal Smoke'. Ocena wizualna platformy: 🟢 Wysoki potencjał dystrybucji. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Rīgas reģions.",Lursoft UR 40103891234 | NIC.lv WHOIS,Posiada wyspecjalizowanych doradców w salonach.,⚠️ DO-WERYFIKACJI,67,,
