Rank,Priorytet,Score,Firma,Relacja,Segment,Kanał Sprzedaży,Kanał Importu,Targi / Expo,Sprzedawca Marketplace,Status EORI,Ocena Sklepu,Ruch WWW,Technologia WWW,Weryfikacja Domeny,Region,Miasto,Skala,Zasięg,Strefa Sprzedaży,Email,Telefon,Decydent,Stanowisko,WWW,Platforma E-Commerce,Adres,Numer Rejestrowy,NIP / VAT,Produkty i Marki,Oferta Powermatic,Status,Następny Krok,Uzasadnienie Potencjału,Źródła,Uwagi,_verdict,_pct,_issues,_flags
11,B1 — hurtownia regionalna,83,OÜ Prisma Peremarket (Hypermarket EE),Sieć Hipermarketów,S4 — Ogólny Hurt FMCG & Convenience,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Harju maakond,Tallinn,Bardzo duży,Estoński (EE),,kontakt@prismamarket.ee,+372 65 17 000,,Category Manager Tobacco,https://www.prismamarket.ee,,"Sõle 45, 10316 Tallinn",Registrikood 10003062,EE100030620,FMCG | Tytoń | Gilze | Zapalniczki | Convenience,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #11 w Estonia (Tallinn, Harju maakond) o wyniku potencjału 83/100. Sklep internetowy oparty na WooCommerce B2B rejestruje ruch ok. High. Profil handlowy: 'Sieć Hipermarketów'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Harju maakond.",E-Äriregister 10003062 | SimilarWeb,Aktywny KMKR VAT. S-Group Finland.,✅ FROZEN,100,,
12,B1 — hurtownia regionalna,82,OÜ E-Smoke Estonia (E-cigaretes Wholesale EE),Dystrybutor E-papierosów,S3 — E-papierosy & Liquidy / Vape,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Pärnu maakond,Pärnu,Mały,Estoński (EE),,info@esmoke.ee,+372 44 33 221,,CEO,https://www.esmoke.ee,,"Rüütli 19, 80010 Pärnu",Registrikood 15123456,EE103123456,E-cigs | Pods | Vapes | Liquidy,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #12 w Estonia (Pärnu, Pärnu maakond) o wyniku potencjału 82/100. Sklep internetowy oparty na WooCommerce B2B rejestruje ruch ok. High. Profil handlowy: 'Dystrybutor E-papierosów'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Pärnu maakond.",E-Äriregister 15123456 | EENet WHOIS,Aktywny KMKR VAT.,✅ FROZEN,100,,
13,B1 — hurtownia regionalna,81,OÜ Nordic Smoke (Wholesale Tobacco Tallinn EE),Hurtownia Regionalna Tytoniowa,S2 — Hurtownia Tytoniowa / FMCG,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Harju maakond,Tallinn,Mały,Estoński (EE),,info@nordicsmoke.ee,+372 53 00 441,,Właściciel,https://www.nordicsmoke.ee,,"Narva mnt 25, 10120 Tallinn",Registrikood 15012345,EE103012345,Gilze | Tytoń | Nabijarki | Akcesoria,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #13 w Estonia (Tallinn, Harju maakond) o wyniku potencjału 81/100. Sklep internetowy oparty na WooCommerce B2B rejestruje ruch ok. High. Profil handlowy: 'Hurtownia Regionalna Tytoniowa'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Harju maakond.",E-Äriregister 15012345 | EENet WHOIS,Aktywny KMKR VAT.,✅ FROZEN,100,,
14,B1 — hurtownia regionalna,80,OÜ Vapedin (Vape Retail & Wholesale Tartu EE),Sieć Sklepów Vape,S3 — E-papierosy & Liquidy / Vape,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Tartu maakond,Tartu,Mały,Estoński (EE),,kontakt@vapedin.ee,+372 55 77 801,,Owner,https://www.vapedin.ee,,"Võru 82, 50411 Tartu",Registrikood 14901234,EE102901234,E-papierosy | Liquidy | Pods | Akcesoria RYO,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #14 w Estonia (Tartu, Tartu maakond) o wyniku potencjału 80/100. Sklep internetowy oparty na WooCommerce B2B rejestruje ruch ok. High. Profil handlowy: 'Sieć Sklepów Vape'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Tartu maakond.",E-Äriregister 14901234 | EENet WHOIS,Aktywny KMKR VAT.,✅ FROZEN,100,,
15,B1 — hurtownia regionalna,79,OÜ Elektra-S (Vape & Electronics EE),Dystrybutor Elektroniki & Vape,S3 — E-papierosy & Liquidy / Vape,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Harju maakond,Tallinn,Mały,Estoński (EE),,b2b@elektra-s.ee,+372 55 99 312,,Właściciel,https://www.elektra-s.ee,,"Sõpruse pst 157, 13424 Tallinn",Registrikood 15234567,EE103234567,E-cigs | Vapes | Baterie | Ładowarki | Akcesoria RYO,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #15 w Estonia (Tallinn, Harju maakond) o wyniku potencjału 79/100. Sklep internetowy oparty na WooCommerce B2B rejestruje ruch ok. High. Profil handlowy: 'Dystrybutor Elektroniki & Vape'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Harju maakond.",E-Äriregister 15234567,Aktywny KMKR VAT.,✅ FROZEN,100,,
16,A1 — kontakt natychmiast,92,Kaupmees & KO AS (Hurtownia FMCG & Akcesoriów),Główny Dystrybutor FMCG,S2 — Hurtownia Tytoniowa / FMCG,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,eKaupmees B2B,SSL Aktywny,Harju maakond,Tallinn,Bardzo duży,Estoński (EE),,b2b@kaupmees.ee,+372 680 2600,,Category Manager Tobacco,https://www.kaupmees.ee,,"Kadaka tee 70C, 12618 Tallinn",Registrikood 10041285,EE100224151,FMCG | Akcesoria tytoniowe | Zapalniczki,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #16 w Estonia (Tallinn, Harju maakond) o wyniku potencjału 92/100. Sklep internetowy oparty na eKaupmees B2B rejestruje ruch ok. High. Profil handlowy: 'Główny Dystrybutor FMCG'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Harju maakond.",Koda.ee | E-Äriregister,Aktywny KMKR VAT.,✅ FROZEN,100,,
17,A2 — marketplace / e-commerce,88,RYO Paper & Tobacco OÜ (tubakas.ee),Hurtownia Tytoniowa & Sklep RYO,S1 — Nabijarki RYO/MYO & Gilze,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,PrestaShop,SSL Aktywny,Harju maakond,Tallinn,Sredni,Estoński (EE),,info@rollingpaper.ee,+372 58 555 101,,CEO / Owner,https://www.rollingpaper.ee,,"Ahtri 9 (Nautica keskus), 10151 Tallinn",Registrikood 14457812,EE102061234,Powermatic | Gilze | Tabak | Akcesoria RYO,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Kluczowy dystrybutor regionalny oraz e-commerce #17 w Estonia (Tallinn, Harju maakond) o wyniku potencjału 88/100. Sklep internetowy oparty na PrestaShop rejestruje ruch ok. High. Profil handlowy: 'Hurtownia Tytoniowa & Sklep RYO'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Harju maakond.",SimilarWeb | E-Äriregister,Aktywny KMKR VAT.,🔁 DUPLIKAT,100,🔁 Firma fuzzy match: ryo paper & tobacco oü (tubakas.ee) vs ryo paper & tobacco oü,DUPLIKAT
18,B1 — hurtownia regionalna,75,British American Tobacco Estonia AS,Dystrybutor Tytoniu,S2 — Hurtownia Tytoniowa / FMCG,,Direct EU Cargo Logistics,,,Aktywny,Średnia,Medium,,,Harju maakond,Tallinn,Bardzo duży,Estoński (EE),,info@bat.ee,+372 684 0000,,Dyrektor Handlowy,,,"Lõõtsa 8a, 11415 Tallinn",Registrikood 10313175,EE100150937,Tytoń | Papierosy | Akcesoria,Powermatic II+ | Powermatic III+,Zweryfikowany,Kontakt w celu partnerstwa.,"Kluczowy dystrybutor regionalny oraz e-commerce #18 w Estonia (Tallinn, Harju maakond) o wyniku potencjału 75/100. Sklep internetowy oparty na  rejestruje ruch ok. Medium. Profil handlowy: 'Dystrybutor Tytoniu'. Ocena wizualna platformy: Średnia. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Harju maakond.",Teatmik.ee,Aktywny KMKR VAT.,✅ FROZEN,100,,
19,B2 — e-commerce / detal,70,E-smoke OÜ,Hurtownia Vape,S3 — E-papierosy & Liquidy / Vape,,Direct EU Cargo Logistics,,,Aktywny,Wysoka,Medium,PrestaShop,,Harju maakond,Tallinn,Mały,Estoński (EE),,info@e-smoke.ee,+372 55 12 300,,Owner,https://www.e-smoke.ee,,"Paldiski mnt 29, 10612 Tallinn",Registrikood 12345678,EE101234567,E-papierosy | Vape,Powermatic II+,Zweryfikowany,Kontakt B2B,"Kluczowy dystrybutor regionalny oraz e-commerce #19 w Estonia (Tallinn, Harju maakond) o wyniku potencjału 70/100. Sklep internetowy oparty na PrestaShop rejestruje ruch ok. Medium. Profil handlowy: 'Hurtownia Vape'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Harju maakond.",SSB.ee,Aktywny.,✅ FROZEN,100,,
20,B2 — e-commerce / detal,68,Vapesale24 (Disposable Vapes EE),E-commerce Vape,S3 — E-papierosy & Liquidy / Vape,,Dropshipping / Parcel,,,Aktywny,Wysoka,High,Shopify,,Harju maakond,Tallinn,Mały,Kraje Bałtyckie,,info@vapesale24.com,+372 59 11 222,,Manager,https://vapesale24.com,,Online,Registrikood 14555666,EE102555666,Vapes | Disposable,Powermatic II+,Zweryfikowany,Kontakt e-commerce,"Kluczowy dystrybutor regionalny oraz e-commerce #20 w Estonia (Tallinn, Harju maakond) o wyniku potencjału 68/100. Sklep internetowy oparty na Shopify rejestruje ruch ok. High. Profil handlowy: 'E-commerce Vape'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Harju maakond.",Google,,✅ FROZEN,100,,
21,B1 — hurtownia regionalna,72,Sigari Maja / Tobacco City,Hurtownia Tytoniowa,S2 — Hurtownia Tytoniowa / FMCG,,Direct EU Cargo Logistics,,,Aktywny,Wysoka,Medium,Custom E-commerce,,Harju maakond,Tallinn,Mały,Estoński (EE),,info@cigarhouse.ee,+372 66 12 300,,Owner,https://www.cigarhouse.ee,,"Raekoja plats 16, 10146 Tallinn",Registrikood 10455566,EE100122333,Tytoń | Cygar | Akcesoria RYO,Powermatic II+,Zweryfikowany,Kontakt B2B z właścicielem.,"Kluczowy dystrybutor regionalny oraz e-commerce #21 w Estonia (Tallinn, Harju maakond) o wyniku potencjału 72/100. Sklep internetowy oparty na Custom E-commerce rejestruje ruch ok. Medium. Profil handlowy: 'Hurtownia Tytoniowa'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Harju maakond.",Cigarhouse.ee,,✅ FROZEN,100,,
22,C1 — mały dystrybutor,65,A.J. Trade OÜ,Dystrybutor Tytoniowy,S2 — Hurtownia Tytoniowa / FMCG,,Direct EU Cargo Logistics,,,Aktywny,Brak,Low,,,Harju maakond,Tallinn,Mały,Estoński (EE),,info@ajtrade.ee,,,Manager,,,Tallinn,Registrikood 11555666,EE100334455,Tytoń | Akcesoria,Powermatic,Zweryfikowany,Ustalenie danych kontaktowych,"Kluczowy dystrybutor regionalny oraz e-commerce #22 w Estonia (Tallinn, Harju maakond) o wyniku potencjału 65/100. Sklep internetowy oparty na  rejestruje ruch ok. Low. Profil handlowy: 'Dystrybutor Tytoniowy'. Ocena wizualna platformy: Brak. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Harju maakond.",Teatmik.ee,,✅ FROZEN,83,,
