kraj,id,nazwa,miasto,adres,www,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
RS,RS-B-011,GrafArt d.o.o. (Trafike GrafArt / trafika.online),Beograd (Zvezdara),"Zrenjaninski put 84c, 11210 Beograd",https://www.trafika.online,średni,🟢,"APR Serbia — PIB 105459276, MB 20385944, delatność sieć trafik",RS105459276,,reseller,,,4,B6,średni,średni,Sieciowy retailer (trafiki) + e-commerce (trafika.online),,Grafart osnivač (imię do potwierdzenia),Osnivač / Direktor,,,,🏆 TOP B6 LEAD — GrafArt to sieć trafik/convenient shop w Srbii z e-commerce. Pełen asortyment tytoniowy włącznie z mašinice za uvijanje. Out-of-scope dla BILLS PL ale warto monitorować ceny rynkowe. | Telefon roboczy: +381 do potwierdzenia | Profil/Sourcing: Sieć trafik/convenient/gift shop — rozszerza się w największych miastach Srbii. Online shop + lokale stacjonarne. Asortyment pełny (duvan; lule; mašinice). | marki_nabijarki: Duvan; Cigarete; Cigare; Cigarilosi; Upaljači; Šibice; Lule; Duvan za lule; Oprema za lule; Rizle; Papir za uvijanje; Filteri; Mašinice za uvijanje (rodzaj niepotwierdzony),,https://www.facebook.com/grafartdoo/,,,2026-08-19,RS (dystrybucja krajowa),"poslovi.infostud.com/poslodavac/grafart/10874 (2026-08-19, Zrenjaninski put 84c Beograd, PIB 105459276, MB 20385944; sieć trafik; mašinice za uvijanje) + trafika.online (2026-08-19, e-commerce, rezani duvan + prazne cigarete) | OUT-OF-SCOPE: Serbia",🆕 NEW | ⚠️ OUT-OF-SCOPE: Serbia | 🏆 TOP B6 SIEĆ 2026-09-03 ⏳ PENDING_API,
RS,RS-B-012,Aficionado / Zojla d.o.o.,Beograd,"Čarlija Čaplina 1, Beograd (Palilula) + Libertador Cigar World (Gospodar Jevremova 50) + Libertador Cigar Lounge (Strahinjića Bana 2) + La Casa del Habano (Knjeginje Zorke 2)",https://aficionado.rs,mały,🟡,"APR Serbia — do potwierdzenia (wiele lokalnych cigar shopów, mix właścicieli)",,,detalista,,,2,B2,średni,niski,Specialty retail (cigars) + e-commerce,,Zojla d.o.o. vlasnik (imię do potwierdzenia),Vlasnik,,,+381 64 151 5333,Segment premium cigar shop w Beogradu. Zojla d.o.o. i Libertador to prawdopodobnie osobne firmy — do zweryfikowania w APR. Out-of-scope. | Brand/Web: aficionado.rs | Wszystkie telefony: +381 64 151 5333 | +381 64 277 7765 | +381 63 530 807 | +381 11 383 0533 | marki_nabijarki: Cigary premium (La Casa del Habano; Davidoff; Cuban); Lule; Duhanski pribor premium; Premium spirits,,https://www.facebook.com/aficionado.beograd/,,,2026-08-19,Cigar shop & spirits — segment premium. Mix właścicieli (Zojla d.o.o. + Libertador + La Casa del Habano). Wysoki AOV. Out-of-scope.,"aficionado.rs/distributivna-mesta/ (2026-08-19, Aficionado + Libertador Cigar World + La Casa del Habano, Beograd) | OUT-OF-SCOPE: Serbia",🆕 NEW | ⚠️ OUT-OF-SCOPE: Serbia | 🏷️ NO PIB 2026-09-03 ⏳ PENDING_API,
RS,RS-B-013,Top E Cigarete d.o.o.,Beograd,Adres siedziby do potwierdzenia w APR,https://www.topecigarete.rs,mały,🟡,APR Serbia — do potwierdzenia,,2009,hurtownik,,,4,B4,średni,wysoki,E-commerce + import B2C,,Vlasnik (imię do potwierdzenia),Vlasnik,,topecigarete@gmail.com,,Importer e-papierosów + e-commerce. Out-of-scope. | Brand/Web: topecigarete.rs | Telefon roboczy: +381 do potwierdzenia | marki_nabijarki: NIE sprzedaje maszynek — fokus: import + on-line sprzedaż e-papierosów i e-tečnosti (KangerTech; Vision; VapeOnly; Eleaf; KTS),,https://www.facebook.com/topecigarete/,,,2026-08-19,Top E Cigarete to importer + sklep online. Specjalizacja: premium e-papierosy + liquidy. Out-of-scope.,"topecigarete.rs/o-nama/ (2026-08-19, Top E Cigarete doo Beograd, uvoz + on-line, KangerTech; Vision; VapeOnly; Eleaf; KTS; topecigarete@gmail.com) | OUT-OF-SCOPE: Serbia",🆕 NEW | ⚠️ OUT-OF-SCOPE: Serbia | 🏷️ NO PIB 2026-09-03 ⏳ PENDING_API,
RS,RS-B-014,Smart Vape,Beograd,"Adres do potwierdzenia (prawdopodobnie Jug Bogdanova 5-7, Savski Venac)",https://smartvape.store,mały,🟡,APR Serbia — do potwierdzenia,,,reseller,,,4,B4,średni,wysoki,Sieciowy retailer (3 lokale) + e-commerce,,Vlasnik (imię do potwierdzenia),Vlasnik,,,+381 11 670 5553,Sieć 3 lokali e-papierosy w Beogradu. Out-of-scope. | Profil: smartvape.store | Wszystkie telefony: +381 11 670 5553 (planplus.rs) | Profil/Sourcing: 3 lokale w Beogradu. Out-of-scope. | marki_nabijarki: NIE sprzedaje maszynek — fokus: e-papierosy; e-tečnosti; akcesoria,,https://www.facebook.com/smartvape/,,,2026-08-19,RS (dystrybucja krajowa),"smartvape.store (2026-08-19, smart vape beograd e-papierosy) + planplus.rs (2026-08-19, Smart Vape Jug Bogdanova 5-7, +381 11 670 5553, 3 lokale) | OUT-OF-SCOPE: Serbia",🆕 NEW | ⚠️ OUT-OF-SCOPE: Serbia | 🏷️ NO PIB 2026-09-03 ⏳ PENDING_API,
RS,RS-B-015,Royal Hookah Lounge,Beograd,Lokalizacja w centrum Beogradu (Stari Grad) — adres do potwierdzenia,https://royalloungebelgrade.com,mały,🟡,APR Serbia — do potwierdzenia (firma rodzinna / pojedynczy przedsiębiorca),,2016,detalista,,,4,B5,średni,wysoki,Hospitality (shisha lounge),,Vlasnik (imię do potwierdzenia),Vlasnik,,,+381 11 407 5199,Shisha bar w Stari Grad. Out-of-scope. | Brand/Web: royalloungebelgrade.com | Profil/Sourcing: Shisha bar & lounge w centrum Beogradu (Stari Grad). Otwarty 2016. Cena nargili 600 din (~5 EUR). Out-of-scope. | marki_nabijarki: NIE sprzedaje maszynek — fokus: nargile (hookah); kawa; drinki; koktajle. Nargila od 600 din.,,,https://www.instagram.com/royalloungebelgrade/,,2026-08-19,RS (dystrybucja krajowa),"royalloungebelgrade.com (2026-08-19, Royal Lounge Beograd, shisha bar 2016, nargila 600 din) | OUT-OF-SCOPE: Serbia",🆕 NEW | ⚠️ OUT-OF-SCOPE: Serbia | 🏷️ NO PIB 2026-09-03 ⏳ PENDING_API,
RS,RS-B-016,Julieta D.O.O.,,,https://julieta.biz,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,davidoff_belgrade@julieta.biz,+381 62 202 282,"RS leading premium cigars importer/distributor, La Casa del Habano franchise, 3 Belgrade locations",,,,,,manual-google-search-2026-09-01,,FROZEN 2026-09-03 ⏳ PENDING_API,
RS,RS-B-017,INGRAS DOO,,,https://www.europages.co.uk/companies/serbia/tobacco.html,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,,"RS regional tobacco wholesale + sensors (Novi Sad, 1992)",,,,,,manual-google-search-2026-09-01,,FROZEN 2026-09-03 ⏳ PENDING_API,
RS,RS-B-018,CVIJIĆ KOMERC,,,https://www.europages.co.uk/companies/serbia/tobacco.html,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,,"RS wholesale tobacco, Banatsko Novo Selo",,,,,,manual-google-search-2026-09-01,,FROZEN 2026-09-03 ⏳ PENDING_API,
RS,RS-B-019,B.M.D. d.o.o.,,,https://www.europages.co.uk/companies/serbia/tobacco.html,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,,"RS wholesale tobacco, Belgrade",,,,,,manual-google-search-2026-09-01,,FROZEN 2026-09-03 ⏳ PENDING_API,
RS,RS-B-020,Julieta D.O.O.,Beograd,"Kneginje Zorke 2, 11000 Beograd (HQ)",https://julieta.biz,,,,,,hurtownik,,,5,B2,średni,wysoki,B2B wholesale,,,,,office@julieta.biz,+381 11 3830 533,"RS exclusive Habanos + Davidoff importer. 700+ retail points (HoReCa, petrol stations, shopping centers). Also rolling & pipe tobacco + luxury accessories. Cross-sell: packaging, rolling accessories.",,,,,,manual-google-search-2026-09-01-repeated,,FROZEN 2026-09-03 ⏳ PENDING_API,
RS,RS-B-021,DIREKTNA TRGOVINA d.o.o.,Beograd,"Beograd (Zemun), Srbija",,,,,,,hurtownik,,,3,B2,średni,średni,B2B wholesale,,,,,,,RS tobacco wholesale from Kompass listing.,,,,,,manual-google-search-2026-09-01-repeated,,DO-WERYFIKACJI 2026-09-03 ⏳ PENDING_API,
RS,RS-B-022,B.M.D. d.o.o.,Beograd,"Beograd (Novi Beograd), Srbija",,,,,,,hurtownik,,,3,B2,średni,średni,B2B wholesale,,,,,,,RS tobacco wholesale from Kompass listing.,,,,,,manual-google-search-2026-09-01-repeated,,DO-WERYFIKACJI 2026-09-03 ⏳ PENDING_API,
RS,RS-B-023,TR Staki d.o.o.,Beograd,"Crnotravska 11, 11000 Beograd",https://tobaccoshopstaki.rs,średni,🟢,,,,hurtownik,,,4,B5,mały,wysoki,B2B wholesale + retail,,,,,trgovinasalestaki@gmail.rs,+381 11 452 70 33,"Veleprodaja duvana, mašinica, upaljača i svega ostalog. Prodaje Gizeh masinice (ključna marka za PowerMatic!). Sirok izbor duvana, mašinica, upaljača. 2 lokala w Beogradzie. Kontakt: trgovinasalestaki@gmail.rs | marki_nabijarki: Gizeh, masinice, rizli, upaljači, tabakere",,,,,2026-09-01,manual-google-search-2026-09-01-repeat,tobaccoshopstaki.rs (2026-09-01),FROZEN 2026-09-03 ⏳ PENDING_API,
RS,RS-B-024,Dinamic Tobacco d.o.o.,Beograd,Beograd (adres do weryfikacji w APR),https://www.dinamictobacco.rs,średni,🟡,,,,hurtownik,,,3,B5,duży,średni,B2B wholesale,,,,,,,"Dystrybutor duvana premium za motanje w Serbii i regionie. ""Od tada Dinamic Tobacco doo posluje izuzetno uspešno na teritoriji Srbije kao i regionu."" URL zwraca HTTP 403 — strona może być zablokowana lub przeciążona. | marki_nabijarki: duvan za motanje, premium duvan",,,,,2026-09-01,manual-google-search-2026-09-01-repeat,"dinamictobacco.rs (HTTP 403, 2026-09-01)",DO-WERYFIKACJI 2026-09-03 ⏳ PENDING_API,
