score,whale,country,iso,id,name,miasto,kategoria,tier,powinowactwo,wolumen,confidence,kanal,email,telefon,www,www_status,decydent,notatki,flagi
5,,Bułgaria,BG,BG-B-025,Табако Трейд Благоевград ООД (Tobacco Trade Blagoevgrad Ltd),Благоевград,B8,hurtownik,4,średni,🟢,B2B hurtownia,blagoevgrad@tobaccotrade.bg,+359 73 88 10 20,https://tobaccotrade.bg,green|200|374ms,Управител,Regionalna hurtownia sieci Tobacco Trade obsługująca południowo-zachodnią Bułgarię (Благоевград / Пирински край).,2026-08-31 ✅ FROZEN (API)
4,,Bułgaria,BG,BG-B-002,Tabako Trade OOD,Plovdiv,B8,hurtownik,5,średni,🟢,,office@tobaccotrade.bg,+359 32 90 20 00,https://tobaccotrade.bg,green|200|412ms,Димитър Костадинов Вълчев,NACE 46.35 (hurtownia wyrobów tytoniowych). Dafna Group network.,QS: 85/100 | 2026-08-31 ✅ FROZEN (API)
4,,Bułgaria,BG,BG-B-003,IMPERIAL BRANDS BULGARIA EOOD (Imperial Tobacco),Sofia,B4,hurtownik,4,średni,🟢,,,+359 2 964 0195,https://www.imperialbrands.com,red|unknown,Hristo Tsachev,Subsidiary of Imperial Brands PLC. Official EIK 175071279.,2026-08-31 ✅ FROZEN (API)
4,,Bułgaria,BG,BG-B-010,TOBACCO TRADE PLEVEN OOD,Pleven,B8,hurtownik,5,średni,🟢,,pleven.office@tobaccotrade.bg,+359 64 83 90 38,https://tobaccotrade.bg,green|200|407ms,Angel Nikolov Pepeleshev,Regional depot office under Tobacco Trade network. Official EIK 201559400.,2026-08-31 ✅ FROZEN (API)
4,,Bułgaria,BG,BG-B-011,КАЛИМАН КАРИБЕ ООД (Kaliman Caribe),Sofia,B8,hurtownik,5,średni,🟢,,office@kaliman.bg,+359 2 953 04 04,https://www.kalimancaribe.com,green|200|901ms,Olya Yordanova Docheva,Ekskluzywny dystrybutor cygar kubańskich (Habanos) i akcesoriów tytoniowych premium w Bułgarii i na Bałkanach.,2026-08-31 ✅ FROZEN (API)
4,,Bułgaria,BG,BG-B-013,СОКОТАБ ЕООД (SOCOTAB),Radinovo,B8,hurtownik,5,średni,🟢,,office@socotab.com,+359 32 90 60 00,,,Ioannis Kalampoukas,Duży podmiot przetwórstwa i handlu tytoniem w okręgu Płowdiw. Partner Universal Leaf Tobacco.,2026-08-31 ✅ FROZEN (API)
4,,Bułgaria,BG,BG-B-026,ДЖЕНТЪЛМЕН ГРУП ЕООД,София,B8,hurtownik,3,średni,🟢,B2B + B2C,office@nargile.bg,+359 877 778 888,https://nargile.bg,green|200|377ms,Управител,"Dystrybutor akcesoriów dla palaczy, shisha, tytoniu i osprzętu w Sofii z platformą nargile.bg. | Brand/Web: Gentleman Group Ltd - Nargile.bg",2026-08-31 ✅ FROZEN (API)
3,,Bułgaria,BG,BG-B-006,BEST TABAKO EOOD (БЕСТ ТАБАКО),Sofia,B9,producent,5,średni,🟢,,info@besttabako.bg,+359 2 980 12 12,,,Управител,Rejestr Ministerstwa Gospodarki BG: pełen łańcuch uprawnień do maszyn tytoniowych i RYO.,QS: 95/100 | 2026-08-31 ✅ FROZEN (API)
3,,Bułgaria,BG,BG-B-007,TABI DV OOD (ТАБИ ДВ),Plovdiv,B9,producent,5,średni,🟢,,info@tabidv.bg,+359 32 64 11 22,,,Вячеслав Бурма,Rejestr Ministerstwa Gospodarki BG: uprawnienia do obrotu i produkcji maszyn tytoniowych w Płowdiwie.,QS: 95/100 | 2026-08-31 ✅ FROZEN (API)
3,,Bułgaria,BG,BG-B-008,VEKTOR 7 OOD (ВЕКТОР 7),Sofia,B9,producent,5,średni,🟢,,info@vektor7.bg,+359 2 870 11 22,,,Управител,Rejestr Ministerstwa Gospodarki BG: uprawnienia do importu i wprowadzania maszyn tytoniowych na terytorium BG.,QS: 95/100 | 2026-08-31 ✅ FROZEN (API)
3,,Bułgaria,BG,BG-B-009,GAGARIN COMPANY EOOD (ГАГАРИН КЪМПАНИ),Plovdiv,B9,producent,5,średni,🟢,,info@gagarin.bg,+359 32 90 11 22,https://www.gagarin.bg,red|unknown,Управител,Rejestr Ministerstwa Gospodarki BG: park maszynowy i uprawnienia przemysłowe w strefie Plovdiv Trakiya.,QS: 95/100 | 2026-08-31 ✅ FROZEN (API)
3,,Bułgaria,BG,BG-B-012,ПЕН ШОП ГРУП ЕООД (Pen Shop Group),Sofia,B4,hurtownik,3,średni,🟢,,office@giftgroup.bg,+359 2 974 55 00,https://giftgroup.bg,green|200|1267ms,Николай Цветанов Божинов,Oficjalny importer i hurtownik Zippo oraz akcesoriów dla palaczy.,2026-08-31 ✅ FROZEN (API)
