score,whale,country,iso,id,name,miasto,kategoria,tier,powinowactwo,wolumen,confidence,kanal,email,telefon,www,decydent,notatki,flagi
10,✓,Słowacja,SK,SK-B-015,Philip Morris Slovakia s.r.o.,Bratislava,B9,hurtownik,5,średni,🔴,Hurt ogólnokrajowy,infoline.sk@pmi.com,+421 2 5828 0111,https://www.pmi.com,Martin Medveď,Oddział Philip Morris International na Słowacji.,(VIES / FinStat) 2026-08-31 ✅ FROZEN (API)
10,✓,Słowenia,SI,SI-B-001,"TOBAČNA 3DVA, d.o.o. (Trafika 3DVA)",Ljubljana,B8,hurtownik,5,duży,🔴,Hurt B2B & Sieć 200+ trafík 3DVA,3dvainfo@si.imptob.com,+386 1 477 73 19,https://www.trafika3dva.si,Milan Rus,Największa narodowa sieć ponad 200 kiosków i saloników prasowo-tytoniowych Trafika 3DVA w Słowenii. | Profil/Sourcing: Trošarinski promet (FURS Carina),| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
10,✓,Słowenia,SI,SI-B-002,"DELO PRODAJA, d.o.o.",Ljubljana,B8,hurtownik,4,duży,🔴,Distribucija & Sieć kiosków,info@deloprodaja.si,+386 1 230 65 00,https://www.deloprodaja.si,Vodstvo družbe,"Wiodący ogólnokrajowy dystrybutor prasy, wyrobów tytoniowych i akcesoriów w Słowenii.",| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
10,✓,Słowenia,SI,SI-B-003,Poslovni sistem Mercator d.o.o. (Cash & Carry),Ljubljana,B8,hurtownik,5,duży,🔴,Cash & Carry Veleprodaja ogólnokrajowa,info@mercator.si,+386 1 560 10 00,https://www.mercator.si,Tomislav Đurić,Największa sieć hurtowni samoobsługowych Cash & Carry i dystrybutor FMCG oraz tytoniu w Słowenii.,| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
10,✓,Słowenia,SI,SI-B-005,"JT International Ljubljana, d.o.o.",Ljubljana,B9,hurtownik,5,średni,🔴,Veleprodaja ogólnokrajowa,info.slovenia@jti.com,+386 1 586 31 00,https://www.jti.com,Vodstvo podjetja,Słoweński oddział koncernu Japan Tobacco International. | Profil/Sourcing: Trošarinsko skladišče / FURS Carina,| Priorytet: B9 2026-08-31 ✅ FROZEN (API)
10,✓,Słowenia,SI,SI-B-006,"Philip Morris Ljubljana, d.o.o.",Ljubljana,B9,hurtownik,5,średni,🔴,Veleprodaja ogólnokrajowa,infoline.si@pmi.com,+386 1 586 37 00,https://www.pmi.com,Vodstvo družbe,Słoweński oddział koncernu Philip Morris International.,| Priorytet: B9 2026-08-31 ✅ FROZEN (API)
9,✓,Bułgaria,BG,BG-B-001,Tobacco Distribution OOD,Sofia,B8,hurtownik,5,średni,🟢,,office@tobacco.bg,+359 879 336 630,https://tobacco.bg,Yani Georgiev,"Licencja BG5800V012306. Główny dystrybutor wyrobów tytoniowych, ELFBAR, RELX oraz marek akcesoriów tytoniowych.",QS: 90/100 | 2026-08-31 ✅ FROZEN (API)
9,✓,Bułgaria,BG,BG-B-018,ЕКСПРЕС ЛОГИСТИКА И ДИСТРИБУЦИЯ ЕООД (ELD Ltd),София,B8,hurtownik,3,duży,🟢,B2B ogólnokrajowy,office@eld.bg,+359 2 805 15 00,https://eld.bg,Христо Григориев Лефтеров,Największy bułgarski operator dystrybucji bezpośredniej wyrobów tytoniowych i FMCG z ponad 15 centrami magazynowymi w całym kraju.,2026-08-31 ✅ FROZEN (API)
9,✓,Chorwacja,HR,HR-B-004,JT INTERNATIONAL ZAGREB d.o.o.,Zagreb,B8,hurtownik,3,duży,🟢,B2B ogólnokrajowy,zagreb.office@jti.com,+385 1 6005 600,https://www.jti.com,Tomaz Maver,Chorwackie ramię dystrybucyjne koncernu Japan Tobacco International (JTI).,2026-08-31 ✅ FROZEN (API)
9,✓,Chorwacja,HR,HR-B-005,PHILIP MORRIS ZAGREB d.o.o.,Zagreb,B8,hurtownik,3,duży,🟢,B2B ogólnokrajowy,contact.zagreb@pmi.com,+385 1 6160 600,https://www.pmi.com,Anita Letica,Chorwackie ramię dystrybucyjne Philip Morris International.,2026-08-31 ✅ FROZEN (API)
9,✓,Chorwacja,HR,HR-B-006,HRVATSKI DUHANI d.d.,Virovitica,B8,producent,3,duży,🟢,B2B przemysłowy,info@hrvatskiduhani.hr,+385 33 803 000,https://www.hrvatskiduhani.hr,Aleksandra Grigić,"Największa chorwacka firma zajmująca się uprawą, skupem i pierwotną obróbką tytoniu (część grupy BAT).",2026-08-31 ✅ FROZEN (API)
9,✓,Chorwacja,HR,HR-B-008,ORBICO d.o.o.,Zagreb,B8,hurtownik,3,duży,🟢,B2B ogólnokrajowy,info.croatia@orbico.com,+385 1 3444 800,https://www.orbico.hr,Uprava / Branko Roglić,Największy niezależny operator logistyczno-dystrybucyjny w Europie Środkowo-Wschodniej (Grupa Orbico) z rozbudowaną logistyką tytoniową i FMCG w Chorwacji.,2026-08-31 ✅ FROZEN (API)
9,✓,Chorwacja,HR,HR-B-009,ATLANTIC TRADE d.o.o. (Atlantic Grupa),Zagreb,B8,hurtownik,3,duży,🟢,B2B ogólnokrajowy,kontakt@atlanticgrupa.com,+385 1 2413 900,https://www.atlanticgrupa.com,Uprava / Emil Tedeschi,"Główne ramię dystrybucyjne Atlantic Grupy obsługujące ogólnokrajową sieć punktów sprzedaży detalicznej, stacji paliw i kiosków.",2026-08-31 ✅ FROZEN (API)
9,✓,Chorwacja,HR,HR-B-010,ALCA ZAGREB d.o.o.,Zagreb,B8,hurtownik,3,duży,🟢,B2B ogólnokrajowy,alca@alca.hr,+385 1 2481 111,https://www.alca.hr,Uprava,Wiodąca firma logistyczno-dystrybucyjna w Chorwacji reprezentująca międzynarodowe marki FMCG i artykułów konsumpcyjnych.,2026-08-31 ✅ FROZEN (API)
9,✓,Estonia,EE,EE-B-011,Imperial Tobacco Estonia OÜ,Tallinn,B8,hurtownik,3,mały,🟢,B2B,info@imperialtobacco.ee,+372 622 1881,https://www.imperialbrands.ee,Ulf Erik Joakim Högberg Jacobsson,"🐋 Część Imperial Brands PLC (UK, Bristol) — 4. największy producent tytoniu na świecie. EMTAK 46.35. Spadający revenue (€5M → €0 w 4 lata). Mimo to strategiczny: własność grupy, kontakt do HQ EU. Brak",2026-08-31 ✅ FROZEN (API)
9,✓,Estonia,EE,EE-B-012,RYO Paper & Tobacco OÜ,Tallinn,B4,detalista,3,mały,🟢,B2B,info@rollingpaper.ee,+372 5559 0002,https://www.rollingpaper.ee,Jüri Erm,"🏪 Sklep stacjonarny w Nautica Center (Ahtri 9, Tallinn) + e-commerce. Największy wybór RYO w regionie. Brak wysyłki tytoniu pocztą (zakaz prawny EE). Wholesale: osobne kontakty. Emtak 47.26. | Najwięk",2026-08-31 ✅ FROZEN (API)
9,✓,Francja,FR,FR-B-001,LOGISTA FRANCE (SAF),Vincennes,B8,hurtownik,4,duży,🟢,B2B (dostawca do 23k buralistów),recouvrement.lognes@logista.com,+33 1 43 98 61 00,https://www.logista.fr,Mathilde Goffard (Keszey),Hurtownik nr 1 we Francji (dostawca do 23 000 punktów buraliste). Monopolista dystrybucji tytoniu i czołowy hurtownik akcesoriów dla palaczy.,2026-08-31 ✅ FROZEN (API)
9,✓,Rumunia,RO,RO-B-013,INTERBRANDS ORBICO SRL,București,B8,hurtownik,5,duży,🟢,Dystrybucja ogólnokrajowa B2B (Orbico Group),office.romania@orbico.com,+40 21 407 77 00,https://www.orbico.ro,Mario Matić,Największy ogólnokrajowy dystrybutor FMCG i wyrobów tytoniowych w Rumunii (część Orbico Group | oficjalny dystrybutor Philip Morris).,2026-08-31 ✅ FROZEN (API)
7,✓,Litwa,LT,LT-B-006,UAB Ecodumas,Kaunas,B6,hurtownik,2,średni,🟢,,wholesale@ecodumas.com,+370 683 08280,https://ecodumas.com,Mindaugas Šimkus,One of the largest e-cigarette and e-liquid wholesalers and retail networks in Lithuania.,2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-005,BEKI 2015 EOOD (БЕКИ 2015),Dupnitsa,B9,producent,5,średni,🟢,B2B,info@beki2015.bg,+359 70 11 50 50,,Управител,Rejestr Ministerstwa Gospodarki BG (art. 25 ust. 2): produkcja + import + sprzedaż maszyn tytoniowych.,QS: 95/100 | 2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-016,ЛАЙТС УЛТРА ООД (Lights Ultra Ltd - LightsMarket),Велико Търново,B8,hurtownik,4,duży,🟢,B2B + B2C,office@lightsmarket.bg,+359 62 600 500,https://lightsmarket.bg,Ивелин Спасов Козарев,"Główny regionalny dystrybutor FMCG, wyrobów tytoniowych, gilz papierosowych i maszynek do napełniania gilz w regionie Północnej i Centralnej Bułgarii.",2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-017,Табако Трейд Варна ООД (Tobacco Trade Varna Ltd),Варна,B8,hurtownik,4,duży,🟢,B2B hurtownia,varna@tobaccotrade.bg,+359 52 70 30 00,https://tobaccotrade.bg,Ангел Николов Пепелешев / Димитър Вълчев,Regionalny oddział dystrybucyjny sieci Tobacco Trade / Dafna Group obsługujący hurtownie i punkty sprzedaży we wschodniej Bułgarii i rejonie Warny.,2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-019,РАДУЛОВ - М ООД (Radulov - M Ltd),Варна,B8,hurtownik,4,średni,🟢,B2B + B2C,bim_color_@abv.bg,+359 888 922 183,https://radulovm.com,Петър Нанев Радулов / Миглена Колева Минчева,Importer i hurtownik artykułów gospodarstwa domowego oraz ręcznych i elektrycznych maszynek do napełniania gilz w Warnie.,2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-021,ТАБКОМ ЛОГИСТИК ООД (Tabcom Logistic OOD),Бургас,B8,hurtownik,4,duży,🟢,B2B regionalny,office@tabcom.bg,+359 56 88 10 20,https://tabcom.bg,Управител,"Wiodący regionalny dystrybutor wyrobów tytoniowych, kawy i FMCG na wybrzeżu Morza Czarnego i w regionie Burgas.",2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-022,Табако Трейд Стара Загора ООД (Tobacco Trade Stara Zagora Ltd),Стара Загора,B8,hurtownik,4,duży,🟢,B2B hurtownia,starazagora@tobaccotrade.bg,+359 42 60 10 20,https://tobaccotrade.bg,Цветан Христевски / Йордан Николов,Regionalny oddział dystrybucyjny sieci Tobacco Trade / Dafna Group zaopatrujący hurtownie w Starej Zagorze i południowo-środkowej Bułgarii.,2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-023,Табако Трейд Русе ООД (Tobacco Trade Ruse Ltd),Русе,B8,hurtownik,4,duży,🟢,B2B hurtownia,ruse@tobaccotrade.bg,+359 82 82 10 30,https://tobaccotrade.bg,Управител,Główny hub dystrybucyjny sieci Tobacco Trade w północnej Bułgarii nad Dunajem (Русе).,2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-024,Табако Трейд Хасково ООД (Tobacco Trade Haskovo Ltd),Хасково,B8,hurtownik,4,średni,🟢,B2B hurtownia,haskovo@tobaccotrade.bg,+359 38 60 10 20,https://tobaccotrade.bg,Управител,Regionalna jednostka dystrybucyjna sieci Tobacco Trade dla obwodu Chaskowo i południowo-wschodniej Bułgarii.,2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-025,Табако Трейд Благоевград ООД (Tobacco Trade Blagoevgrad Ltd),Благоевград,B8,hurtownik,4,średni,🟢,B2B hurtownia,blagoevgrad@tobaccotrade.bg,+359 73 88 10 20,https://tobaccotrade.bg,Управител,Regionalna hurtownia sieci Tobacco Trade obsługująca południowo-zachodnią Bułgarię (Благоевград / Пирински край).,2026-08-31 ✅ FROZEN (API)
5,,Estonia,EE,EE-B-001,OÜ SANITEX,Rae küla,B8,reseller,5,duży,🟢,mix,sanitex.estonia@sanitex.eu,+372 622 6399,https://sanitex.eu,Oksana Salminen,Siostra UAB SANITEX (LT). Wspólny właściciel. Razem z LT i LV = 1 partner na 3 kraje bałtyckie ⚠️ DO-WERYFIKACJI | cf detail: hurtownia + logistyka,2026-08-31 ✅ FROZEN (API)
5,,Estonia,EE,EE-B-025,Aleserk OÜ,Hüüru,B1,hurtownik,4,średni,🟢,Hurt (EMTAK 46.35),info@aleserk.com,+372 5808 4049,,Alexander Kimlaychuk,Wyspecjalizowana hurtownia zarejestrowana pod EMTAK 46.35 (Tubakatoodete hulgimüük - hurt wyrobów tytoniowych i artykułów pokrewnych) w Harjumaa.,2026-08-31 ✅ FROZEN (API)
5,,Słowacja,SK,SK-B-002,"TOPPRES D.A., spol. s r.o.",Banská Bystrica,B8,hurtownik,4,średni,🔴,Hurt B2B regionalny & maloobchod,toppres@toppres.sk,+421 48 414 1788,http://www.toppres.sk,Ing. Boris Mrekaj,Kluczowy regionalny hurtownik i dystrybutor tytoniowo-prasowy w Banskiej Bystrzycy i Zvoleniu.,| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
5,,Słowacja,SK,SK-B-003,"T-PRESS, spol. s r.o.",Trnava,B8,hurtownik,4,średni,🔴,Hurt B2B (Veľkosklad) & dystrybucja,velkosklad@t-press.sk,+421 33 551 3716,https://www.t-press.sk,RNDr. Ľubica Bačová,Regionalny dystrybutor prasy i wyrobów tytoniowych z własnym wielkoskładem w Trnawie.,| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
5,,Słowacja,SK,SK-B-004,"D.A. CZVEDLER, spol. s r.o.",Šamorín,B8,hurtownik,4,średni,🔴,Hurt B2B & sieć trafík,sekretariat@czvedler.sk,+421 31 591 2716,https://www.czvedler.sk,Libor Hradil,Dystrybutor wyrobów tytoniowych i prasy oraz operator sieci saloników w rejonie Dunajská Streda / Šamorín.,| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
5,,Słowacja,SK,SK-B-005,MY & MI s. r. o. (Dom Cigár),Bratislava,B4,hurtownik,4,średni,🔴,Hurt B2B & sieć Dom Cigár,info@domcigar.sk,+421 2 4445 4220,https://www.domcigar.sk,Ing. Miroslav Bajtoš,"Wiodący importer i dystrybutor cygar, fajek i akcesoriów dla palaczy z salonami Dom Cigár.",(VIES / FinStat) 2026-08-31 ✅ FROZEN (API)
5,,Słowacja,SK,SK-B-006,"Vaprio.sk, s.r.o.",Bratislava,B6,hurtownik,4,średni,🔴,Hurt B2B & sieť salonov,b2b@vaprio.sk,+421 2 20 63 33 00,https://www.vaprio.sk,Peter Štefánik,Wiodąca sieć salonów i hurtownia B2B produktów vape i e-liquidów na Słowacji.,(VIES / FinStat) 2026-08-31 ✅ FROZEN (API)
5,,Słowacja,SK,SK-B-007,CONTINENTAL TOBACCO SLOVAKIA s. r. o.,Rimavská Sobota,B8,producent,5,średni,🔴,Hurt B2B & eksport,info@continental.sk,+421 47 563 1111,http://www.continental.hu,Mária Kováčová,Oficjalny producent i dystrybutor wyrobów tytoniowych i tytoniu RYO z własnym składem podatkowym. | Profil/Sourcing: Daňový sklad & Výroba (Colný úrad SK),| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
5,,Słowacja,SK,SK-B-009,"D.A. PRESS, spol. s r.o.",Malacky,B8,hurtownik,4,średni,🔴,Hurt B2B regionalny,dapress@dapress.sk,+421 34 772 2211,http://www.dapress.sk,Mgr. Josef Hloušek,Regionalny dystrybutor prasy i wyrobów tytoniowych w Malackach.,| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
5,,Słowacja,SK,SK-B-010,SPODOS spol. s r. o.,Topoľčany,B8,hurtownik,4,średni,🔴,Hurt B2B regionalny,spodos@spodos.sk,+421 38 532 5511,http://www.spodos.sk,Ing. František Chrkavý,Hurtownia FMCG i wyrobów tytoniowych w Topoľčanach.,| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
5,,Słowacja,SK,SK-B-012,FINEST TOBACCO INTERNATIONAL GROUP s. r. o.,Piešťany,B8,producent,4,średni,🔴,B2B & Private Label,info@finest-tobacco.com,+421 33 774 1111,https://finest-tobacco.com,Ing. Ivan Fulerčík,Producent i dostawca prywatnych marek tytoniowych i mieszanek tytoniowych w Piešťanach.,| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
5,,Słowenia,SI,SI-B-004,"OTP, trgovina s tobakom, d.o.o. (Scandinavian Tobacco Group)",Ljubljana,B8,hurtownik,4,średni,🔴,Veleprodaja B2B,info.si@st-group.com,+386 1 430 01 00,https://www.st-group.com,Direktor družbe,"Oficjalny dystrybutor tytoniu fajkowego, cygar i akcesoriów Scandinavian Tobacco Group w Słowenii.",| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
5,,Łotwa,LV,LV-B-001,SIA SANITEX,Rāmava (Ķekavas novads),B8,reseller,5,duży,🟢,mix,sanitex@sanitex.eu,+371 670 48400,https://sanitex.eu,,Siostra UAB SANITEX (LT). Wspólny właściciel. Razem = kanał na Litwę + Łotwę ⚠️ DO-WERYFIKACJI | cf detail: hurtownia + logistyka,QS: 50/100 | 🐋 2026-08-31 ✅ FROZEN (API)
4,,Bułgaria,BG,BG-B-002,Tabako Trade OOD,Plovdiv,B8,hurtownik,5,średni,🟢,,office@tobaccotrade.bg,+359 32 90 20 00,https://tobaccotrade.bg,Димитър Костадинов Вълчев,NACE 46.35 (hurtownia wyrobów tytoniowych). Dafna Group network.,QS: 85/100 | 2026-08-31 ✅ FROZEN (API)
4,,Bułgaria,BG,BG-B-003,IMPERIAL BRANDS BULGARIA EOOD (Imperial Tobacco),Sofia,B4,hurtownik,4,średni,🟢,,,+359 2 964 0195,https://www.imperialbrands.com,Hristo Tsachev,Subsidiary of Imperial Brands PLC. Official EIK 175071279.,2026-08-31 ✅ FROZEN (API)
4,,Bułgaria,BG,BG-B-010,TOBACCO TRADE PLEVEN OOD,Pleven,B8,hurtownik,5,średni,🟢,,pleven.office@tobaccotrade.bg,+359 64 83 90 38,https://tobaccotrade.bg,Angel Nikolov Pepeleshev,Regional depot office under Tobacco Trade network. Official EIK 201559400.,2026-08-31 ✅ FROZEN (API)
4,,Bułgaria,BG,BG-B-011,КАЛИМАН КАРИБЕ ООД (Kaliman Caribe),Sofia,B8,hurtownik,5,średni,🟢,,office@kaliman.bg,+359 2 953 04 04,https://www.kalimancaribe.com,Olya Yordanova Docheva,Ekskluzywny dystrybutor cygar kubańskich (Habanos) i akcesoriów tytoniowych premium w Bułgarii i na Bałkanach.,2026-08-31 ✅ FROZEN (API)
4,,Bułgaria,BG,BG-B-013,СОКОТАБ ЕООД (SOCOTAB),Radinovo,B8,hurtownik,5,średni,🟢,,office@socotab.com,+359 32 90 60 00,,Ioannis Kalampoukas,Duży podmiot przetwórstwa i handlu tytoniem w okręgu Płowdiw. Partner Universal Leaf Tobacco.,2026-08-31 ✅ FROZEN (API)
4,,Bułgaria,BG,BG-B-026,ДЖЕНТЪЛМЕН ГРУП ЕООД,София,B8,hurtownik,3,średni,🟢,B2B + B2C,office@nargile.bg,+359 877 778 888,https://nargile.bg,Управител,"Dystrybutor akcesoriów dla palaczy, shisha, tytoniu i osprzętu w Sofii z platformą nargile.bg. | Brand/Web: Gentleman Group Ltd - Nargile.bg",2026-08-31 ✅ FROZEN (API)
4,,Chorwacja,HR,HR-B-011,EUROTRADE d.o.o.,Rovinj,B8,hurtownik,3,duży,🟢,B2B regionalny,info@eurotrade.hr,+385 52 803 600,https://www.eurotrade.hr,Direktor,Duży regionalny dystrybutor w Rovinj z zasięgiem na całą Istrię i północne wybrzeże Chorwacji.,2026-08-31 ✅ FROZEN (API)
4,,Czechy,CZ,CZ-B-002,CZECH TOBACCO CORPORATION a.s.,,B5,duży,3,,,B2B wholesale,ctc@ctc-as.cz,720838745,https://www.ctc-as.cz/,,"CZ 15,000 retail units, jednym z nejvýznamnějších velkoobchodních distributorů v ČR",FROZEN
4,,Czechy,CZ,CZ-B-003,MORAVIA TOBACCO,,B5,duży,3,,,B2B wholesale,info@moraviatb.cz,,https://www.moraviatb.cz/english/,,"CZ family importer+distributor premium cigars (My Father, Alec Bradley, La Flor Dominicana), 2005",FROZEN
4,,Czechy,CZ,CZ-B-004,Horák Tabák,,B5,średni,3,,,B2B wholesale,,+420734617787,https://www.horaktabak.cz/velkoobchod/,,"CZ wholesale hookah tobacco + accessories, B2B only",FROZEN
4,,Czechy,CZ,CZ-B-005,Etabak.com,,B5,średni,3,,,B2B wholesale,obchod@etabak.com,777-593-840,https://etabak.com/velkoobchod/,,CZ wholesale OCB/Smoking papers + cigars + accessoires,FROZEN
4,,Czechy,CZ,CZ-B-007,Velkoobchod Mečíř Trutnov,,B5,średni,3,,,B2B wholesale,obchod@mecir.net,00420723291202,https://www.mecir.net,,CZ wholesale tobacco + spirits + gastro,FROZEN
4,,Czechy,CZ,CZ-B-010,Šebrle s.r.o.,,B5,średni,3,,,B2B wholesale,,+420 499 622 321,https://www.sebrlesro.cz,,CZ velkoobchod kuřáckých potřeb + Golden Filter import,FROZEN
4,,Czechy,CZ,CZ-B-011,CigarKings trade,,B2,duży,3,,,B2B wholesale,kontakt@cigarkings.de,,https://www.cigarkings.de/trade,,"DE-headquartered premium cigar importer/distributor active in CZ, EE, HR, HU and 20+ EU countries | Multi-country: CigarKings network",FROZEN
4,,Estonia,EE,EE-B-002,Nicorex Baltic OÜ,Tallinn,B8,hurtownik,5,średni,🟢,,,+372 6050400,,Liudas Zakarevičius,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,2026-08-31 ✅ FROZEN (API)
4,,Estonia,EE,EE-B-003,Coop Eesti Keskühistu,Tallinn,B8,hurtownik,5,średni,🟢,,info@coop.ee,+372 671 0500,https://coop.ee,Matthias Baltes,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,2026-08-31 ✅ FROZEN (API)
4,,Estonia,EE,EE-B-004,Aktsiaselts Kaupmees & Ko,Tallinn,B8,hurtownik,5,średni,🟢,,kaupmees@kaupmees.ee,+372 6221881,https://kaupmees.ee,Farid Hamadi,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,2026-08-31 ✅ FROZEN (API)
4,,Estonia,EE,EE-B-005,Eugesta Eesti OÜ,Tallinn,B8,hurtownik,5,średni,🟢,,info@eugesta.ee,+372 5551 5636,https://eugesta.ee,Jaan Lainurm,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,2026-08-31 ✅ FROZEN (API)
4,,Estonia,EE,EE-B-006,Aktsiaselts Tallink Duty Free,Tallinn,B8,hurtownik,5,średni,🟢,,dutyfree@tallink.ee,+372 612 8216,https://tallink.com,Koit Semjonov,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,2026-08-31 ✅ FROZEN (API)
4,,Estonia,EE,EE-B-007,Philip Morris Eesti,Tallinn,B8,hurtownik,5,średni,🟢,,tallinn.admin@pmi.com,+372 6050400,https://www.pmi.com,Liudas Zakarevičius,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,2026-08-31 ✅ FROZEN (API)
4,,Estonia,EE,EE-B-008,OÜ SIGARI MAJA,Tallinn,B8,detalista,5,średni,🟡,,info@sigarimaja.ee,+372 5555 1234,https://cigarhouse.ee,Natalja Falk,"Byli wpis: 'CigarHouse.ee (Sigarimaja)' — zweryfikowano = OÜ SIGARI MAJA, reg_code 10808306, KMKR EE100722880, EMTAK 46.35. 32 pracowników. Sklep z cygarami i akcesoriami w centrum Tallina (Raekoja pl",2026-08-31 ✅ FROZEN (API)
4,,Estonia,EE,EE-B-013,Karia Food OÜ,Jüri,B1,hurtownik,3,średni,🟢,B2B,info@kariafood.ee,,,Karl-Erik Kiipli,B-tier hurt FMCG (EMTAK 46.39). 88 pracowników. Może mieć tytoń w ofercie hurtowej. Wymaga follow-up call. | 88 pracowników (BalticFirms.eu 2025),2026-08-31 ✅ FROZEN (API)
