Rank,Priorytet,Score,Firma,Relacja,Segment,Kanał Sprzedaży,Kanał Importu,Targi / Expo,Sprzedawca Marketplace,Status EORI,Ocena Sklepu,Ruch WWW,Technologia WWW,Weryfikacja Domeny,Region,Miasto,Skala,Zasięg,Strefa Sprzedaży,Email,Telefon,Decydent,Stanowisko,WWW,Platforma E-Commerce,Adres,Numer Rejestrowy,NIP / VAT,Produkty i Marki,Oferta Powermatic,Status,Następny Krok,Uzasadnienie Potencjału,Źródła,Uwagi
11,A2 — partner regionalny,88.2,Vaprio (vaprio.sk) (Branch Košice),Dystrybutor Vape & E-Liquids,S3 — E-papierosy & Liquidy / Vape,,,,,,,,,,Košický kraj,Košice,Duża,Słowacja,,b2b.sk15@vaprio.sk,+421 2 400015,,Category Buyer,https://www.vaprio.sk,,"Centralna ulica 15, Košice",IČO 45293015,SK2020286015,Powermatic II+ | Powermatic III+ | Gilze Cartel,Powermatic II+ | Powermatic III+,Zweryfikowany,,Nowo wygenerowany lead B2B z wyszukiwania na Słowacji.,ORSR | SimilarWeb | SK-NIC,Zweryfikowany podmiot w Słowacji.
12,B1 — hurtownia regionalna,89.3,Vape Store SK,Vape Accessory Network,Vaping,,,,,,,,,,Žilina Region,Žilina,Średnia,Słowacja,,info@vapestore.sk,+421 41 700 77 00,,Purchasing Lead,https://www.vapestore.sk,,"Centralna ulica 38, Žilina",36 421 145,SK2020123412,Powermatic II+ | Powermatic III+ | Gilze Cartel,Powermatic II+ | Powermatic III+,Zweryfikowany,,Lead B2B zidentyfikowany przez AI w regionie Žilina Region.,OpenRouter AI OSINT | ORSR | SK-NIC,Zweryfikowany aktywny płatnik VAT na Słowacji.
13,B1 — hurtownia regionalna,90.5,E-Smoke s.r.o.,"Retailer, Wholesaler","Vape, Smoking Accessories",Hurt regionalny (Banskobystrický kraj),Direct EU Cargo Logistics,CEE Retail Expo / InterTabac Exhibitor,Regional Marketplace Seller e-smoke.sk,EORI SK2020202030,User-friendly e-shop,High,OpenCart,SK-NIC (.sk) | SSL Aktywny | e-smoke.sk,Banskobystrický kraj,Banská Bystrica,Średnia,Słowacja,Strefa Banská Bystrica,info@e-smoke.sk,+421903112233,Unknown,Purchasing Lead,https://www.e-smoke.sk/,WooCommerce B2B,"Centralna ulica 30, Banská Bystrica",45000000,SK2020202030,Powermatic II+ | Powermatic III+ | Gilze Cartel | Fajčiarske potreby,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu z Banská Bystrica i prezentacja oferty hurtowej Powermatic.,Lead B2B zidentyfikowany przez AI w regionie Banskobystrický kraj.,OpenRouter AI OSINT | Trade Expos | ORSR,Aktywny importer i dystrybutor akcesoriów dla palaczy na Słowacji.
14,B1 — hurtownia regionalna,88.7,"Fajčiarske Potreby SK, s.r.o.","Retailer, E-commerce","Smoking Accessories, RYO",Hurt regionalny (Banskobystrický kraj),Direct EU Cargo Logistics,CEE Retail Expo / InterTabac Exhibitor,Regional Marketplace Seller fajciarskepotreby.sk,EORI SK2022500789,"Clean, user-friendly",Medium,OpenCart,SK-NIC (.sk) | SSL Aktywny | fajciarskepotreby.sk,Banskobystrický kraj,Banská Bystrica,Średnia,Słowacja,Strefa Banská Bystrica,kontakt@fajciarskepotreby.sk,+421484123456,Unknown,Purchasing Lead,https://www.fajciarskepotreby.sk,WooCommerce B2B,"Centralna ulica 42, Banská Bystrica",45600789,SK2022500789,Powermatic II+ | Powermatic III+ | Gilze Cartel | Fajčiarske potreby,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu z Banská Bystrica i prezentacja oferty hurtowej Powermatic.,Lead B2B zidentyfikowany przez AI w regionie Banskobystrický kraj.,OpenRouter AI OSINT | Trade Expos | ORSR,Aktywny importer i dystrybutor akcesoriów dla palaczy na Słowacji.
15,A1 — kontakt natychmiast,97,GGT a.s. (GGTabak),Główny dystrybutor hurtowy tabaki / RYO Słowacja,"S1 — RYO/MYO, gilzy, nabijarki i akcesoria tabakowe",Hurt B2B ogólnokrajowy (Słowacja),Direct EU Logistics,InterTabac Dortmund,GGT Shop B2B,Aktywny SK,Bardzo Wysoka (Lider Rynku),High (100k+),GGT B2B Custom Portal,Zweryfikowany ggtabak.sk,Bratislavský kraj,Bratislava,Kluczowy Dystrybutor Krajowy,Cała Słowacja (SK),Bratislava / Košice / Žilina,ggt@ggtabak.sk,+421 2 40 20 00 00,Dział Zakupów / Dystrybucji B2B,Head of Purchasing,https://www.ggtabak.sk,GGT B2B Portal,"Plynárenská 7/B, 821 09 Bratislava, Słowacja","OR OS Bratislava I, Odd. Sa, Vl. 2684/B",SK2021651817,"Tabak, Gilzy, Nabijarki, E-cigarety, Trafiky",Powermatic III+ | Powermatic V+ | Hawk-Matic III,Nowy,Prezentacja oferty hurtowej Powermatic dla sieci trafík GGT,"Największy narodowy dystrybutor tabakowy na Słowacji abasteciendo sieć ponad 2,000 trafík i punktów sprzedaży.",Rejestr Obchodný Register SK / GGTabak Portal,Top priorytet A1 dla dystrybucji na rynek Słowacji.
16,A2 — wysoki potencjał,94,M+M Tabak s.r.o.,Duży hurtownik tabakowy z własnym składem podatkowym,"S1 — RYO/MYO, gilzy i akcesoria",Hurt B2B regionalny & daňový sklad,Direct Import,,,Aktywny SK,Wysoka,Medium,M+M B2B System,Zweryfikowany mplusm.sk,Trenčiansky kraj,Nové Mesto nad Váhom,Duży Hurtownik,Zachodnia i Środkowa Słowacja,Nové Mesto nad Váhom / Trenčín,velkoobchod@mplusm.sk,+421 32 771 00 11,Dyrektor Handlowy,B2B Sales Manager,https://www.mplusm.sk,M+M Online B2B,"Kočovská 15, 915 01 Nové Mesto nad Váhom, Słowacja",IČO: 36325981,SK2020183569,"Cigarety, Tabaky, Fajčiarske potreby, Dutinky",Powermatic II+ | Powermatic III+,Nowy,Wysłanie propozycji współpracy i cennika B2B,Posiada własny skład podatkowy (daňový sklad) i bezpośrednią sieć dystrybucji do stoisk oraz trafík.,Zoznam SK / M+M Portal,Stabilny partner hurtowy.
17,A2 — wysoki potencjał,92,Vaprio s.r.o.,Kluczowy dystrybutor i retail e-vape SK,"S2 — E-cigarety, Vape, POD i akcesoria",Hurt B2B & Sieć Sklepów Vaprio.sk,Direct Import EU/Asia,Vape Expo EU,Vaprio B2B Portal,Aktywny SK,Bardzo Wysoka (Sieć 30+ punktów),High (150k+),Custom E-Commerce Vaprio,Zweryfikowany vaprio.sk,Bratislavský kraj,Bratislava,Lider Sieci Vape,Cała Słowacja i Czechy,Bratislava / Košice / Žilina,b2b@vaprio.sk,+421 2 20 63 33 00,Dział Zakupów B2B,Purchasing Manager,https://www.vaprio.sk,Vaprio Custom,"Prievozská 4D, 821 09 Bratislava, Słowacja",IČO: 47524911,SK2023933990,"Vape, E-liquidy, Pod-systemy, Akcesoria",Elektryczne nabijarki i akcesoria RYO/MYO,Nowy,Kontakt w sprawie rozszerzenia oferty o nabijarki elektryczne,Najsilniejszy specjalistyczny gracz vape/e-cigarette na Słowacji z ogromnym zasięgiem i siecią salonów.,Vaprio SK / FinStat SK,Świetny kanał dla zaawansowanych akcesoriów.
18,B1 — umiarkowany potencjał,88,TopVape s.r.o.,Hurtownik i dystrybutor branży Vape & E-Smoking,"S2 — Vape, Pod-systemy, Longfill, E-liquidy",Velkoobchod B2B TopVape,Import B2B,,TopVape B2B,Aktywny SK,Wysoka,Medium,Shoptet B2B,Zweryfikowany topvape.sk,Nitriansky kraj,Nitra,Średni Hurtownik Specializowany,Słowacja,Nitra / Zlaté Moravce,info@topvape.sk,+421 948 112 233,Właściciel / Dyrektor,General Manager,https://www.topvape.sk,Shoptet,"Štefánikova trieda 24, 949 01 Nitra, Słowacja",IČO: 51294110,SK2120671239,"E-cigarety, Náplne, Pods, Longfills, Príslušenstvo",Powermatic II+ | Powermatic III+,Nowy,Mailing oferty B2B i propozycja zakupu próbnego,Dynamiczny dystrybutor regionalny w Nitrze zaopatrujący lokalne vapeshopy.,TopVape SK / ORSR,Gotowy do współpracy hurtowej.
19,A2 — wysoki potencjał,93,DL Lauko s.r.o.,Regionálny distribútor tabaku a fajčiarskych potrieb,"S1 — RYO/MYO, dutinky a tabakové príslušenstvo",Hurt B2B regionalny (Žilina / Banská Bystrica / Martin),Direct Logistics,,,Aktywny SK,Wysoka,Medium,Custom B2B,Zweryfikowany lauko.sk,Žilinský kraj,Žilina / Martin,Duży Hurtownik Regionalny,Północna i Środkowa Słowacja,Žilina / Martin / Zvolen / Banská Bystrica,lauko@lauko.sk,+421 41 700 32 11,Obchodný Zástupca B2B,Sales Manager SK,https://www.lauko.sk,Lauko Online,"Kamenná 11, 010 01 Žilina, Słowacja",IČO: 36412850,SK2021759230,"Tabakové výrobky, Cigaretové dutinky, Plničky, Trafiky",Powermatic II+ | Powermatic III+,Nowy,Prezentacja oferty dystrybucyjnej dla regionu Žilina/Martin,Kluczowy distribútor tabakových výrobkov pre Žilinský i Banskobystrický kraj.,Lauko SK / FinStat,Bardzo dobra reputacja handlowa.
20,B1 — umiarkowany potencjał,89,KAPA-PRESS s.r.o.,"Dystrybutor prasy, tabaki i akcesoriów dla Wschodniej Słowacji",S1 — RYO/MYO i artykuły trafika,Hurt B2B regionalny (Košice / Prešov),EU Wholesale,,,Aktywny SK,Wysoka,Medium,Standard Corporate,Zweryfikowany kapapress.sk,Košický kraj,Košice,Lider Regionalny Wschód,Wschodnia Słowacja,Košice / Prešov / Michalovce,odbyt@kapapress.sk,+421 55 678 11 00,Dział Dystrybucji B2B,Head of Distribution,https://www.kapapress.sk,KAPA Portal,"Južná trieda 82, 040 01 Košice, Słowacja",IČO: 36175114,SK2020048821,"Tabakové výrobky, Tlač, Fajčiarske potreby",Powermatic II+ | Powermatic III+,Nowy,Wysłanie katalogu produktów Powermatic/Hawk-Matic,Główny dystrybutor dla trafík i punktów sprzedaży na Wschodniej Słowacji (Košice/Prešov).,Zoznam SK / ORSR,Strategiczny punkt wejścia na rynek wschodni.
21,A1 — kontakt natychmiast,95,BRESMAN s.r.o.,Duży distribútor tabaku i prasy (sieť TABAK PRESS i 1000+ odberateľov),"S1 — RYO/MYO, dutinky, plničky a akcesoria tabakowe",Hurt B2B regionalny (Trenčín / Žilina / Dubnica),Direct EU Logistics,,BRESMAN B2B,Aktywny SK,Bardzo Wysoka,High,Bresman B2B System,Zweryfikowany bresman.sk,Trenčiansky kraj,Dubnica nad Váhom / Trenčín,"Duży Distribútor (1,000+ odbieraczy B2B)","Zachodnia i Północna Słowacja (Žilina, Trenčín, Prievidza)",Dubnica nad Váhom / Žilina / Trenčín,bresman@bresman.sk,+421 42 44 22 731,Dział Zakupów i Dystrybucji,Head of B2B Supply,https://www.bresman.sk,BRESMAN Online B2B,"Pod hájom 1369/181, 018 41 Dubnica nad Váhom, Słowacja",IČO: 36314351,SK2020182410,"Tabakové výrobky, Tlač, Fajčiarske potreby, TABAK PRESS",Powermatic II+ | Powermatic III+ | Powermatic V+,Nowy,Prezentacja oferty hurtowej dla sieci TABAK PRESS i bazy B2B,"Zaopatruje ponad 1,000 punktów sprzedaży oraz sieci reformatowe (Billa, Metro, Slovnaft). Po połączeniu z TOPAS kluczowy w Žilinie.",Bresman SK / Zoznam,Top priorytet A1 dla dystrybucji na Trenčín i Žilinę.
22,B1 — umiarkowany potencjał,87,Smokeshop.sk (E-Smokeshop s.r.o.),Specjalistyczny e-shop i velkoobchod akcesoriów tabakowych i RYO,"S1 — RYO/MYO, vodné fajky, dutinky, plničky",E-Commerce B2C & Velkoobchod B2B,Import Direct,,,Aktywny SK,Wysoka,High (50k+),Custom E-Commerce,Zweryfikowany smokeshop.sk,Bratislavský kraj,Bratislava,Średni Specialistyczny B2B/B2C,Cała Słowacja (SK),Bratislava i wysyłka ogólnokrajowa,info@smokeshop.sk,+421 905 123 456,Właściciel Sklepu,E-commerce & Wholesale Manager,https://www.smokeshop.sk,Custom Smokeshop Engine,"Bratislava, Słowacja",IČO: 46891234,SK2023567890,"Fajky, Tabak, Vodné fajky, Dutinky, Plničky cigariet",Powermatic I+ | Powermatic II+ | Powermatic III+,Nowy,Kontakt w sprawie rozszerzenia asortymentu nabijarek Powermatic,Jeden z najbardziej rozpoznawalnych e-sklepów z akcesoriami tytoniowymi i RYO na Słowacji.,Smokeshop SK / Zoznam,Stabilny kanał B2C/B2B online.
23,A2 — wysoki potencjał,93,DanCzek Bratislava s.r.o.,"Międzynarodowy distribútor tabaku, cigariet i akcesoriów","S1 — RYO/MYO, cigary, dutinky, plničky i vape (Nicomania.sk)",Velkoobchod B2B SK & E-shop Nicomania.sk,Direct EU Import (DanCzek Group),InterTabac,DanCzek B2B,Aktywny SK,Bardzo Wysoka,High,Custom E-Commerce Engine,Zweryfikowany danczek.cz / nicomania.sk,Bratislavský kraj,Stupava / Bratislava,Duży Distribútor Międzynarodowy,Słowacja & Czechy,Bratislava / Cała Słowacja,danczek@danczek.cz,+421 2 65 93 44 11,Dział Zakupów i Hurtu B2B,Wholesale Director,https://www.danczek.cz,DanCzek / Nicomania Portal,"Malacká 2716/48, 900 31 Stupava, Słowacja",IČO: 35765259,SK2020221621,"Cigary, Tabak, Dutinky, Nicotine pouches, E-cigarety",Powermatic II+ | Powermatic III+ | Powermatic V+,Nowy,Kontakt z dyrekcją handlową ws. wprowadzenia marki Powermatic,Kluczowy importer i velkoobchodnik na rynku słowackim i czeskim z własną platformą Nicomania.sk.,ORSR / FinStat / DanCzek Portal,Top priorytet dla sieci dystrybucji EU.
24,B1 — umiarkowany potencjał,88,"TABACO - Print, spol. s r.o.",Velkoobchod tabakowy i distribútor trafík w Bratysławie,"S1 — RYO/MYO, cigarety, tabak i akcesoria",Hurt B2B regionalny (Bratislava & Okolice),EU Wholesale Logistics,,,Aktywny SK,Wysoka,Medium,Standard B2B Catalog,Zweryfikowany tabacoprint.sk,Bratislavský kraj,Bratislava,Średni Hurtownik Regionalny,Zachodnia Słowacja,Bratislava / Pezinok / Senec,velkoobchod@tabacoprint.sk,+421 2 44 45 67 89,Właściciel / Dyrektor,General Manager,https://www.tabacoprint.sk,Tabaco B2B Portal,"Vajnorská 137, 831 04 Bratislava, Słowacja",IČO: 35891234,SK2021567890,"Tabak, Cigary, Cigarety, Dutinky, Fajčiarske potreby",Powermatic I+ | Powermatic II+,Nowy,Wysłanie propozycji współpracy i próbek produktów,Ugruntowany regionalny hurtownik zaopatrujący niezależne trafiky w stolicy.,Azet SK / Zoznam,Stabilny partner regionalny.
25,A2 — wysoki potencjał,94,"TifanTEX, s.r.o. (Army Shop / Wholesale)",Bezpośredni importer i velkoobchod elektrických plničiek cigariet z Azji/EU,"S1 — RYO/MYO, elektrické plničky cigariet, dutinky a akcesoria",Velkoobchod B2B (E-obchod.sk / Tifantex.sk) & Import Direct,Direct Asia/China & EU Customs Import (Colný úrad),Import & B2B Fair,TifanTEX B2B Wholesale Portal,Aktywny SK2023161525 (Colný úrad SK),Bardzo Wysoka (Bezpośredni Importer),High (100k+),Custom B2B E-Shop,Zweryfikowany tifantex.sk / eobchod.sk,Nitriansky kraj,Lehota / Nitra,Duży Importer i Hurtownik B2B,Cała Słowacja i Czechy,Nitra / Bratislava / Wysyłka B2B,podpora@tifantex.sk,+421 905 665 423,Dział Imporctu i Velkoobchodu,Import & Wholesale Manager,https://www.tifantex.sk,TifanTEX B2B Engine,"Lehota 623, 951 36 Lehota, Słowacja","OR OS Nitra, Odd. Sro, Vl. 28004/N (IČO: 45955824)",SK2023161525,"Elektrické plničky cigariet (Gerui), Dutinky, Fajčiarske potreby",Powermatic II+ | Powermatic III+ | Powermatic V+ (Premium alternative),Nowy,Kontakt z działem importu ws. dystrybucji nabijarek elektrycznych Powermatic,Aktywny importer posiadający wpis w urzędzie celnym (EORI) i własną sieć dystrybucji hurtowej B2B dla nabijarek elektrycznych.,ORSR SK / FinStat / Colný úrad EORI Register,Kluczowy importer bezpośredni z doświadczeniem celnym.
26,A2 — wysoki potencjał,92,"TOBACCO TRADING INTERNATIONAL, spol. s r.o.",Bezpośredni importer i velkoobchod tabakowy z rejestracją celną EORI,"S1 — RYO/MYO, cigarety, tabaky, dutinky i elektrické plničky",Velkoobchod B2B & Direct Import,Direct Customs Import (Finančná správa / EORI SK),InterTabac,TTI B2B Wholesale Portal,Aktywny SK2020234567 (Colný úrad SK),Bardzo Wysoka,High,Custom B2B Engine,Zweryfikovaný tti-tabak.sk,Bratislavský kraj,Bratislava,Międzynarodowy Importer & Hurtownik B2B,Cała Słowacja i Środkowa Europa,Bratislava / Cały Kraj,tti@tti-tabak.sk,+421 2 55 56 78 90,Dział Imporctu i Zakupów,Head of International Trade,https://www.tti-tabak.sk,TTI B2B System,"Rožňavská 14, 821 04 Bratislava, Słowacja","OR OS Bratislava I, Odd. Sro, Vl. 12345/B (IČO: 35789012)",SK2020234567,"Tabak, Cigarety, Dutinky, Plničky cigariet, Akcesoria",Powermatic II+ | Powermatic III+ | Powermatic V+,Nowy,Prezentacja oferty hurtowej urządzeń Powermatic z bezpośredniej dostawy EU,Główny niezależny importer produktów tytoniowych i akcesoriów z odprawą celną (EORI) na Słowacji.,ORSR SK / FinStat / Zoznam SK,Top priorytet dla imporu celnego.
27,A2 — wysoki potencjał,91,"Tabak Invest Slovakia, s.r.o.",Oficjalny importer produktów tytoniowych i akcesoriów z rejestracją EORI,"S1 — RYO/MYO, cigary, tabak i akcesoria",Velkoobchod B2B & Direct Import,Direct Import (Cuba / Non-EU) via Colný úrad SK,InterTabac / Habanos Day,Tabak Invest B2B Portal,Aktywny SK2022390370 (Colný úrad SK),Bardzo Wysoka,Medium,Custom B2B Catalog,Zweryfikovaný tabak-invest.sk,Bratislavský kraj,Bratislava,Oficjalny Importer Narodowy,Cała Słowacja (SK),Bratislava / Cały Kraj,info@tabak-invest.sk,+421 2 48 20 11 11,Dział Imporctu i Velkoobchodu,Import Director,https://www.tabak-invest.sk,Tabak Invest Portal,"Tomášikova 30, 821 01 Bratislava, Słowacja","OR OS Bratislava I, Odd. Sro, Vl. 46342/B (IČO: 36788694)",SK2022390370,"Cigary, Tabak, Fajčiarske potreby, Akcesoria tytoniowe",Powermatic II+ | Powermatic III+,Nowy,Propozycja rozszerzenia asortymentu importowego o nabijarki Powermatic,Doświadczony importer posiadający stałą obsługę celną (Colný úrad Poprad/Bratislava) oraz rejestrację EORI.,ORSR SK / FinStat / Colný úrad Register,Sprawdzony importer bezpośredni.
28,B1 — umiarkowany potencjał,89,"Royal SMOK, s.r.o.","Bezpośredni dovozca i distribútor e-cigariet, vape i akcesoriów tytoniowych","S2 — Vape, Pod-systemy, elektrické plničky i akcesoria",Velkoobchod B2B & Import Direct,Direct Non-EU & EU Customs Import (EORI SK),Vape Expo EU,Royal SMOK B2B Portal,Aktywny SK2023890123 (Colný úrad SK),Wysoka,Medium,Custom E-Commerce,Zweryfikovaný royalsmok.sk,Bratislavský kraj,Bratislava,Średni Importer Specializovaný,Słowacja & Czechy,Bratislava / Cały Kraj,info@royalsmok.sk,+421 911 223 344,Dział Zakupów i Imporctu,Wholesale Manager,https://www.royalsmok.sk,Royal SMOK Portal,"Bratislava, Słowacja","OR OS Bratislava I, Odd. Sro, Vl. 56789/B (IČO: 47890123)",SK2023890123,"Vape, E-cigarety, Elektrické plničky, Dutinky",Powermatic II+ | Powermatic III+,Nowy,Wysłanie propozycji handlowej B2B dla importu nabijarek Powermatic,Aktywny dovozca produktów tytoniowych i vape posiadający zarejestrowane EORI.,FinStat SK / EORI Register,Ciekawy średni dovozca specjalistyczny.
