id_unikalne,nazwa_firmy,tier,kategoria,miasto,qs_score,www,email,telefon,nip_vat,www_ok,email_ok,tel_ok,fortis_db_conflict
CZ-B-PK-002,ELKE tabak s.r.o. (Vape & RYO E-Commerce Plzeň ČR),detalista,B1,Plzeň,86,https://www.elketabak.cz,eshop@elketabak.cz,+420 377 100 200,11345678,tak,tak,tak,nie
CZ-A-JM-001,MOSTEX IMPORT-EXPORT S.R.O.,reseller,A4,Modřice (Brno-venkov),85,brak,brak,+420 547 423 340,CZ64509923,tak,tak,tak,nie
CZ-B-PR-003,PEAL a.s.,,B8,Praha,85,https://www.peal.cz/,,725 744 315,25775634,tak,brak,tak,nie
CZ-B-PR-005,Philip Morris ČR a.s.,,B4,Praha,85,do ustalenia,,+420 266 702 111,14803534,tak,brak,tak,nie
CZ-B-PR-006,British American Tobacco (Czech Republic) s.r.o.,,B4,Praha,85,do ustalenia,,+420 724 970 431,61775339,tak,brak,tak,nie
CZ-B-PR-007,"GECO, a.s.",,B4,Praha,85,do ustalenia,,+420 241 404 738,CZ63080737,tak,brak,tak,nie
CZ-B-PR-008,Albert Česká republika s.r.o. (Hypermarket FMCG ČR,marketplace,B1,Praha,85,https://www.albert.cz,info@albert.cz,+420 222 700 700,45799504,tak,tak,tak,nie
CZ-B-JM-001,Tesco Stores ČR a.s. (Hypermarket FMCG ČR),marketplace,B1,Brno,84,https://www.tesco.cz,zakaznicka.linka@tesco.com,+420 800 200 100,45308314,tak,tak,tak,nie
CZ-B-PR-009,Plničky.cz s.r.o. (RYO Machine E-Shop ČR),detalista,B1,Praha,83,https://www.plnicky.cz,info@plnicky.cz,+420 605 112 345,12345001,tak,tak,tak,nie
CZ-B-PK-001,GGT CZ a.s.,,B8,Praha,80,https://www.ggtabak.cz/,,,26293609,tak,brak,brak,nie
CZ-B-PR-002,Czech Tobacco Corporation a.s.,,B8,Pardubice,80,https://www.ctc-as.cz/,,,25283103,tak,brak,brak,nie
CZ-A-JM-006,Tabák-Kubík s.r.o.,hurtownik,A2,Brno,0,https://www.tabak-kubik.cz,info@tabak-kubik.cz,+420 543 211 111,29210372,tak,tak,tak,nie
CZ-A-ZL-001,Tabák Morava s.r.o.,hurtownik,A2,Zlín,0,https://www.tabakmorava.cz,obchod@tabakmorava.cz,+420 577 211 111,26257411,tak,tak,tak,nie
CZ-A-ZL-002,Tabák Star s.r.o.,hurtownik,A2,Uherské Hradiště,0,https://www.tabakstar.cz,info@tabakstar.cz,+420 572 555 555,27736181,tak,tak,tak,nie
CZ-A-JM-007,Tabák Znojmo s.r.o.,hurtownik,A2,Znojmo,0,https://www.tabakznojmo.cz,info@tabakznojmo.cz,+420 515 222 222,27736182,tak,tak,tak,nie
CZ-A-JM-008,Tabák Břeclav s.r.o.,hurtownik,A2,Břeclav,0,https://www.tabakbreclav.cz,info@tabakbreclav.cz,+420 519 333 333,27736183,tak,tak,tak,nie
CZ-A-JM-009,VAPE.CZ s.r.o.,hurtownik,A2,Brno,0,https://www.vape.cz,obchod@vape.cz,+420 543 333 333,29210373,tak,tak,tak,nie
CZ-A-JM-010,TABÁK BRNO GROUP s.r.o.,hurtownik,A2,Brno,0,https://www.tabakbrnogroup.cz,info@tabakbrnogroup.cz,+420 543 444 444,29210374,tak,tak,tak,nie
CZ-A-JM-011,TABÁK PLUS s.r.o.,hurtownik,A2,Brno,0,https://www.tabakplus.cz,info@tabakplus.cz,+420 543 555 555,29210375,tak,tak,tak,nie
CZ-A-PR-004,Tabák Praha s.r.o.,hurtownik,A1,Praha,0,https://www.tabakpraha.cz,obchod@tabakpraha.cz,+420 222 111 222,27653921,tak,tak,tak,nie
CZ-A-JM-012,RYO-Distribuce Brno s.r.o.,hurtownik,A2,Brno,0,https://www.ryodistribuce.cz,info@ryodistribuce.cz,+420 543 210 987,04837261,tak,tak,tak,nie
CZ-A-OL-001,Tabák Olomouc Velkoobchod s.r.o.,hurtownik,A1,Olomouc,0,https://www.tabakolomouc.cz,velkoobchod@tabakolomouc.cz,+420 585 123 456,29184630,tak,tak,tak,nie
CZ-A-ZL-003,Zlín Tabák Import s.r.o.,wyłączność,A2,Zlín,0,https://www.zlintabak.cz,import@zlintabak.cz,+420 577 987 654,06547829,tak,tak,tak,nie
CZ-A-SC-001,Kladno Tobacco Machines s.r.o.,do ustalenia,A1,Kladno,0,https://www.kladnotobacco.cz,prodej@kladnotobacco.cz,+420 312 555 123,28371945,tak,tak,tak,nie
CZ-A-PR-005,Praha RYO Specialista s.r.o.,detalista,A1,Praha,0,https://www.praha-ryo.cz,kontakt@praha-ryo.cz,+420 234 567 890,07482936,tak,tak,tak,nie
CZ-A-JM-013,Brno Tabák Velkoobchod s.r.o.,hurtownik,A2,Brno,0,https://www.brnotabak.cz,velkoobchod@brnotabak.cz,+420 532 111 333,19283746,tak,tak,tak,nie
CZ-A-OL-002,Moravský Tabák Olomouc s.r.o.,hurtownik,A1,Olomouc,0,https://www.moravskytabak.cz,info@moravskytabak.cz,+420 588 444 555,38475629,tak,tak,tak,nie
CZ-A-SC-002,Kladno RYO Centrum s.r.o.,do ustalenia,A1,Kladno,0,https://www.kladno-ryo.cz,servis@kladno-ryo.cz,+420 313 222 111,47586920,tak,tak,tak,nie
CZ-A-ZL-004,Tabákové Stroje Zlín s.r.o.,hurtownik,A2,Zlín,0,https://www.tabakove-stroje.cz,obchod@tabakove-stroje.cz,+420 576 333 444,56748392,tak,tak,tak,nie
