kraj,id,nazwa,miasto,adres,www,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
LT,LT-B-011,UAB Tabakininkas,,,https://rekvizitai.vz.lt/en/companies/tobacco,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,,"LT tobacco wholesale, Vilnius",,,,,,manual-google-search-2026-09-01,,FROZEN 2026-09-03 ⏳ PENDING_API,
LT,LT-B-012,UAB Europinis tabakas,,,https://rekvizitai.vz.lt/en/companies/tobacco,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,,"LT tobacco wholesale, Panevėžys",,,,,,manual-google-search-2026-09-01,,FROZEN 2026-09-03 ⏳ PENDING_API,
LT,LT-B-013,UAB Vape B2B,,,https://rekvizitai.vz.lt/en/companies/tobacco,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,,"LT vape wholesale, Kaunas",,,,,,manual-google-search-2026-09-01,,FROZEN 2026-09-03 ⏳ PENDING_API,
LT,LT-B-014,UAB Starna,Kaunas,"S. Žukausko g. 9, Ramučiai, LT-54464 Kauno raj., Litwa",https://starna.lt,mały,,135238592,LT352385917,1998,hurtownik,,,4,B1,średni,średni,B2B wholesale,,Irmantas Venskys,General Manager,,info@starna.lt,+370 37 432 002,"LT industrial packaging supplier since 1998. Specialises in hot-melt and dispersion adhesives for PACKAGING, labelling, printing and TOBACCO PRODUCT PACKAGING. Founded 1998, Kaunas region. B2B supplier to manufacturing sector — potential customer for packaging materials.",,,,,,manual-google-search-2026-09-01-repeated,,FROZEN 2026-09-03 ⏳ PENDING_API,
LT,LT-B-015,Lektro.lt,,,https://www.lektro.lt,,,,,,hurtownik,,,4,B8,mały,wysoki,,,,,,,,Pardavėjas/dystrybutor maszynek do nabijania papierosów.,,,,,2026-09-02,web-research,"GentleScout (""cigarečių pildymo mašina"" did); Gemini 2.5",2026-09-03 ⏳ PENDING_API,
LT,LT-B-016,Eskimas.lt,,,https://eskimas.lt,,,,,,hurtownik,,,4,B8,mały,wysoki,,,,,,,,Pardavėjas/dystrybutor maszynek do nabijania papierosów.,,,,,2026-09-02,web-research,"GentleScout (""cigarečių pildymo mašina"" did); Gemini 2.5",2026-09-03 ⏳ PENDING_API,
LT,LT-B-017,Toko.lt,,,https://toko.lt,,,,,,hurtownik,,,4,B8,mały,wysoki,,,,,,info@toko.lt,+37066610304,Pardavėjas/dystrybutor maszynek do nabijania papierosów.,,,,,2026-09-02,web-research,"GentleScout (""cigarečių pildymo mašina"" did); Gemini 2.5",2026-09-03 ⏳ PENDING_API,
LT,LT-B-018,Begalvis.lt,,,https://www.begalvis.lt,,,,,,hurtownik,,,4,B8,mały,wysoki,,,,,,info@begalvis.lt,+37065084725,Pardavėjas/dystrybutor maszynek do nabijania papierosów.,,,,,2026-09-02,web-research,"GentleScout (""cigarečių pildymo mašina"" did); Gemini 2.5",2026-09-03 ⏳ PENDING_API,
LT,LT-B-019,Beepunkt.lt,,,https://beepunkt.lt,,,,,,hurtownik,,,4,B8,mały,wysoki,,,,,,,,Pardavėjas/dystrybutor maszynek do nabijania papierosów oraz akcesoriów tytoniowych.,,,,,2026-09-02,web-research,"GentleScout (""cigarečių pildymo mašina"" did); Gemini 2.5",2026-09-03 ⏳ PENDING_API,
LT,LT-B-020,"MB ""Tado projektai""",Kaunas,Savanorių Pr. 206 Kaunas LT-50193,,,,305406029,LT305406029,,hurtownik,,,4,B8,mały,wysoki,,,,,,tadasfen@gmail.com,+37065235987,Sprzedawca elektrycznych nabijarek do papierosów. Prawdopodobnie mały dystrybutor lub importer działający na platformie Varle.lt. Zapytanie B2B: 'didmena'.,,,,,2026-09-02,web-research,KRS API / CEIDG API + web search 2026-09-03,2026-09-03 ✅ FROZEN (API),
