kraj,id,nazwa_firmy,miasto,adres,www,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
PL,PL-B-011,WEEDPOL Sp. z o.o.,Katowice,Katowice (dokładny adres do weryfikacji),https://www.weedpol.pl,duży,🟡,KRS 0000922075,PL9542835071,,hurtownik,,,5,B8,duży,wysoki,,brak,,CZŁONEK ZARZĄDU,postmaster@weedpol.pl,postmaster@weedpol.pl,,"Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",brak,brak,brak,brak,2026-08-10,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:13.192Z | KRS API 0000922075,2026-08-31 ✅ FROZEN (API),brak
PL,PL-B-012,BENATURAL Sp. z o.o.,Warszawa,Warszawa (dokładny adres do weryfikacji),,duży,🟡,KRS 0000836728,PL7681843587,,hurtownik,,,5,B8,duży,wysoki,,brak,,CZŁONEK ZARZĄDU,,,,"Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",brak,brak,brak,brak,2026-08-10,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:02.817Z | KRS API 0000836728,2026-08-31 ✅ FROZEN (API),brak
PL,PL-B-013,Tabak Grupa sp. z o.o.,Kalisz,"ul. Złota 126, 62-800 Kalisz",https://skleptytoniowy.pl,duży,🟡,KRS 0000119343,PL6181914183,,hurtownik,,,5,B4,duży,wysoki,,brak,,PREZES ZARZĄDU,,,,"Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",brak,brak,brak,brak,2026-08-10,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:18:58.426Z | KRS API 0000119343,2026-08-31 ✅ FROZEN (API),brak
PL,PL-B-014,Tobacco Of Poland,Grudziądz,"ul. Czerwonodworna 19, 86-300 Grudziądz",https://www.tobaccoofpoland.com,duży,🟢,KRS 0000673961,PL8762468378,,hurtownik,,,5,B8,duży,wysoki,,"biuro + stacje wykupowe (Grudziądz, Łukowa, Górny Potok)",Aleks Dudalski (dział handlowy) + Artur Dudalski,PREZES ZARZĄDU,,,+48 799 885 995,"🐋 Tobacco Of Poland Sp. z o.o., REGON 366879566, kapitał 500k zł. Siedziba: Grudziądz, ul. Czerwonodworna 19. Magazyn: ul. Budowlanych 10, Grudziądz. Stacje wykupowe tytoniu: Grudziądz, Łukowa (k. Biłgoraja), Górny Potok. Działalność: skup surowych liści tytoniu (Virginia, Burley, Mocny Skroniowski) od plantatorów + dystrybucja do producentów cygar/papierosów/shishy/snusa. ⚠️ Weryfikacja: pełna oferta (czy mają maszynki), relacja z BILLS (hurtownia tytoniu = cross-sell na maszynki). Tel. Aleks Dudalski (dział handlowy, tel. kom. 799 885 992/995), Artur Dudalski. Strona PL i EN. | tel cleanup 2026-08-31: kontakt handlowy: Aleks Dudalski (dział handlowy)",brak,brak,brak,brak,2026-08-10,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:07.949Z | KRS API 0000673961 (partial),2026-08-31 ✅ FROZEN (API),brak
PL,PL-B-015,Hurtownia Papierosów Sp. z o.o.,Brzeziny,"ul. Adama Mickiewicza 17, 95-060 Brzeziny",,duży,🟢,KRS 0000568420,PL8330002756,,hurtownik,,,5,B8,duży,wysoki,,brak,,PREZES ZARZĄDU,,,,"Hurtownia Papierosów Sp. z o.o., REGON 750004750, kapitał 66.5k zł. Siedziba: Brzeziny, ul. Adama Mickiewicza 17 (woj. łódzkie). ⚠️ Uwaga: w aleo.com widnieje też ""Hurtownia Papierosów Andrzej Gryglak, Robert Michalski sp.j."" — to inna firma z tym samym NIP-em (zmiana formy prawnej). Sprawdzić czy sp.j. nadal istnieje, czy jest już zlikwidowana.",brak,brak,brak,brak,2026-08-10,brak,KRS API / CEIDG API + web search 2026-08-10 | KRS API 0000568420,2026-08-31 ✅ FROZEN (API),brak
PL,PL-B-016,BITLOGIC BARNAŚ SPÓŁKA KOMANDYTOWA,Włocławek,Włocławek (dokładny adres do weryfikacji),,duży,🟡,KRS 0000946950,PL5223217609,,hurtownik,,,5,B8,duży,wysoki,,brak,,Członek Zarządu,,,,"Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",brak,brak,brak,brak,2026-08-10,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:18:54.484Z | KRS API 0000946950,2026-08-31 ✅ FROZEN (API),brak
PL,PL-B-017,J&K Dystrybucja sp. z o.o.,Smolec (k. Wrocławia),"Smolec (k. Wrocławia, dokładny adres do weryfikacji)",,duży,🟡,KRS 0000965005,PL8961612530,,hurtownik,,,5,B8,duży,wysoki,,brak,,PREZES ZARZĄDU,,dystrybucja.jk@gmail.com,,"Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",brak,brak,brak,brak,2026-08-10,brak,KRS API / CEIDG API + web search 2026-08-10 | KRS API 0000965005,2026-08-31 ✅ FROZEN (API),brak
PL,PL-B-018,CLOUD HOLDING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Gdańsk,Gdańsk (dokładny adres do weryfikacji),,duży,🟡,KRS 0000998700,PL9571110560,,hurtownik,,,4,B8,duży,wysoki,,brak,,PREZES ZARZĄDU,,,,"Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",brak,brak,brak,brak,2026-08-10,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:14.898Z | KRS API 0000998700,2026-08-31 ✅ FROZEN (API),brak
PL,PL-B-019,Vape.pl Sp. z o.o.,Zawiercie,Zawiercie (dokładny adres do weryfikacji),,duży,🟡,KRS 0000999396,PL6492327111,,hurtownik,,,5,B8,duży,wysoki,,brak,,Zarząd,,,,"Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",brak,brak,brak,brak,2026-08-10,brak,KRS API / CEIDG API + web search 2026-08-10 | KRS API 0000999396,2026-08-31 ✅ FROZEN (API),brak
PL,PL-B-020,Hurtownia KING Krzysztof Król,Szczecin,"ul. Świerczewska 68, 71-066 Szczecin",https://kinghurt.pl,duży,🟢,JDG (CEIDG),PL8511005882,,hurtownik,,,5,B8,duży,wysoki,,brak,Krzysztof Król,właściciel JDG,,bok@kinghurt.pl,+48 609 641 400,"🐋 Hurtownia KING Krzysztof Król (Szczecin, ul. Świerczewska 68). JDG od 2000-05-01. PKD główne 46.35.Z (sprzedaż hurtowa wyrobów tytoniowych). REGON 810172286. Własna strona kinghurt.pl. Oddziały: Gdynia (ul. Krzywoustego 6, tel 58 663 24 45). Centrala Pn-Pt 7-19, Sob 7-12. Bogata oferta tytoniowa. ⚠️ Weryfikacja: czy mają maszynki (typowy asortyment hurtowni tytoniowej) i jaki to kanał (online, B2B, detal). | tel cleanup 2026-08-31: telefon dodatkowy: +48 603 580 032",brak,brak,brak,brak,2026-08-10,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:06.399Z,2026-08-31 ✅ FROZEN (API),brak
PL,PL-B-021,POLSKI TYTOŃ SPÓŁKA AKCYJNA,Radom,"ul. Tartaczna 29, 26-600 Radom",https://polskityton.pl,duży,🟢,KRS 0000847239,PL9482622620,,hurtownik,,,5,B8,duży,wysoki,"hurt B2B ogólnopolski + 16 oddziałów (Białystok, Bydgoszcz, Gdańsk, Gorzów, Grudziądz, Kielce, Kraków, Lublin, Łódź, Poznań, Rzeszów, Szczecinek, Warszawa, Wrocław, Zamość, Żory)",brak,do ustalenia (zarząd SA),zarząd SA,,sekretariat@polskityton.pl,+48 48 341 32 00,"🐋 DUŻY GRACZ. Polski Tytoń S.A. - jeden z największych dystrybutorów FMCG/tytoniowych w PL. 15k+ sklepów, 16+ oddziałów regionalnych, kapitał 18 280 540 PLN, REGON 386390499. Nie ma asortymentu nabijarek wprost (papierosy gotowe + FMCG + alkohol + leki), ale ich kanał detaliczny 15k+ sklepów to potencjalni klienci końcowi i pośredni dla BILLS., NIP 948-26-22-620, adres: ul. Tartaczna 29, 26-600 Radom. Współpracuje z kilkunastoma tysiącami sklepów + stacje benzynowe + HoReCa. Strategic cross-sell opportunity na skalę kraju. PUNKT KONTAKTU: Dział Obsługi Klienta centrala 608 023 300. | wolumen detail: 15k+ sklepów, 18.3M PLN kapitału, 16+ oddziałów regionalnych",brak,brak,brak,brak,2026-08-11,brak,L1 web search (polskityton.pl + gowork.pl + sprytnykupiec.pl) + KRS API | VIES confirmed 2026-08-11T00:19:11.524Z | KRS API 0000847239,2026-08-31 ✅ FROZEN (API),brak
PL,PL-B-022,"PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""AMPEX"" Adam Flakus, Piotr Kołodziej",Tarnowskie Góry,"ul. Górnicza 9, 42-600 Tarnowskie Góry",,mały,🟡,REGON 272001648,PL6450008134,,hurtownik,nie,nie,5,B8,duży,wysoki,,pkt.pl + panoramafirm,Adam Minicki + Paweł Potoniec,wspólnicy sp.j.,,,+48 74 815 17 21,"hurtownia tytoniowa. Marki: nie. Kanał: 5, tier: hurtownik | wolumen detail: 2 lokalizacje + serwis | cf detail: hurtownia + sklepy stacjonarne",brak,brak,brak,brak,2026-08-10,brak,CEIDG NIP 6450008134 | bizraport.pl + panoramafirm + web search,2026-08-31 ⚠️ DO-WERYFIKACJI (API),
PL,PL-B-023,ELENPIPE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Przemyśl (biuro operacyjne) / Sienno Dolne (siedziba rejestrowa),"Siedziba: Sienno Dolne 26/5, 72-316 (pow. łobeski, zachodniopomorskie). Biuro: ul. Chodkiewicza 35A, 37-700 Przemyśl",https://www.elenpipe-sw.com,mały,🟡,KRS 0000445021,PL7952526523,2012,hurtownik,,,4,B4,duży,wysoki,,Allegro user 34794518,zarząd,PREZES ZARZĄDU,,elenpipe.pl@gmail.com,+48 16 675 02 07,"Akcesoria tytoniowe (KRS 0000445021). Marki: brak (fajki/cygarniczki/humidory/zapalniczki/shish; Polska (własna produkcja) + im. Kanał: 4, tier: hurt-detal specjalistyczny | wolumen detail: 2 pracowników 2014, spadek przychodów -31.52% w 2023 | cf detail: hurt+detal online + Allegro | tel cleanup 2026-08-31: telefon dodatkowy: +48 729 306 784",brak,https://facebook.com/elenpipepl,https://instagram.com/elenpipe_pl,brak,2026-08-10,"Polska (własna produkcja) + import (Mr.Bróg, ALDO MORELLI, Angelo)",KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:04.259Z | KRS API 0000445021 | krs api + elenpipe.com + emis.com,2026-08-31 ✅ FROZEN (API),
PL,PL-B-024,ORION TOBACCO POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Goszczyn (Jakubów),"Jakubów 5, 05-610 Goszczyn",https://www.orion-orion.pl,duży,🟢,KRS 0000513841,PL7252077543,2014,producent,,,4,B8,duży,wysoki,,brak,wspólnicy sp. z o.o.,sprzedaż krajowa,karolina@orion.mail.pl,orion@orion.mail.pl,+48 48 663 21 90,"hurtownia tytoniowa (KRS 0000513841). Marki: brak (własne marki: Vabanque, Sting, Taboo, Orion,; produkcja własna (Polska). Kanał: 4, tier: producent papierosów + dystrybutor hurt | wolumen detail: 1.8 mld szt papierosów rocznie, kapitał 10M PLN | Wspólnicy: Jerzy Czernek (88 tys. udziałów, 4.4M PLN) + Łukasz M***** (102 tys. udziałów, 5.1M PLN). | cf detail: produkcja + dystrybucja hurt + export",brak,https://facebook.com/oriontobaccopoland,https://instagram.com/orion_tobacco_pl,brak,2026-08-10,produkcja własna (Polska),KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:01.393Z | KRS API 0000513841,2026-08-31 ✅ FROZEN (API),
PL,PL-B-025,EUROCASH SERWIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,brak,"ul. Wiśniowa 11, 62-052 Komorniki",https://eurocashserwis.pl,duży,🟢,KRS 0000519553,PL7772304755,,hurtownik,,,5,B8,duży,brak,,brak,,CZŁONEK ZARZĄDU,,,,brak,brak,brak,brak,brak,2026-08-10,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:03.576Z | KRS API 0000519553,2026-08-31 ✅ FROZEN (API),brak
PL,PL-B-026,TOM Polska Sp. z o.o.,Kalisz,"ul. Drukarzy 5, 62-800 Kalisz",https://www.tompolska.pl,średni,🟢,KRS 0000771952,PL6182180725,,autoryzowany,,,3,B4,duży,średni,B2B only,,Włodzimierz Zenon Hofman (Prezes Zarządu),Prezes Zarządu / Wspólnik,,biuro@tompolska.pl,+48 504 154 210,"15k+ sklepów, 18.3M PLN kapitał, 16 oddziałów, zał. 2019 (KRS). Autoryzowany dystrybutor zapalniczek. Spółka zależna niemieckiego Heinz Tröber GmbH.",,,,,2026-08-11,,intake_PL_2026-08-10 | https://tompolska.pl/o-nas | https://tompolska.pl/kontakt | https://www.tompolska.pl | L1+web+krs-pobierz: KRS API confirmed (TOM POLSKA SP. Z O.O. mod-11+NIP+name match) | L1+web+krs-pobierz: KRS API confirmed (TOM POLSKA SP. Z O.O. mod-11+NIP+name match) | L1+web+krs-pobierz: KRS API confirmed (TOM POLSKA SP. Z O.O. mod-11+NIP+name match) | L1+web+krs-pobierz: KRS API confirmed (TOM POLSKA SP. Z O.O. mod-11+NIP+name match),2026-08-31 ✅ FROZEN (API),
PL,PL-B-027,ROCH TRADE MAREK NATKANIEC SPÓŁKA KOMANDYTOWA,Kraków,"ul. Powstańców 62c/1, 31-670 Kraków",https://www.roch.krakow.pl,średni,🟢,KRS 0000402439,PL9452166123,,reseller,,,5,B8,duży,wysoki,mix,,,Członek Zarządu,,zamowienia@roch.krakow.pl,+48 12 416 39 16,"Hurtownia papierosów, tytoniu i kart GSM w Krakowie. Spółka komandytowa.",,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-17,2026-08-31 ✅ FROZEN (API),
PL,PL-B-028,"""CARMEN"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Jasienica,"ul. Strumieńska 63, 43-385 Jasienica",https://carmen-jasienica.pl,średni,🟢,KRS 0000014510,PL9372338579,,reseller,,,5,B8,duży,wysoki,mix,,,PREZES ZARZĄDU,,kontakt@carmen-jasienica.pl,+48 33 817 24 00,"Hurtownia tytoniowa, papierosowa i artykułów biurowych w Jasienicy k. Bielska-Białej.",,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-17,2026-08-31 ✅ FROZEN (API),
PL,PL-B-029,P.H. Jacek Gmochowski,Wrocław,"ul. Tęczowa 83, 53-601 Wrocław",https://po-godzinach.pl/firmy/...,średni,🟢,REGON 930070242,PL8980024892,,reseller,,,5,B8,duży,wysoki,B2B only,,,,,,+48 71 343 66 22,Hurtownia artykułów tytoniowych i akcesoriów we Wrocławiu. | Profil: Hurtownia art. tytoniowych,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-17,2026-08-31 ✅ FROZEN (API),
PL,PL-B-030,"""AUGUSTO - LIMARO"" LIPIŃSKI, MARSZAŁEK SPÓŁKA JAWNA",Jelenia Góra,"Jelenia Góra (serves Zgorzelec, Bolesławiec, Legnica)",https://augustolimaro.pl/o-nas,średni,🟢,KRS 0000076844,PL6110201493,,reseller,,,5,B8,duży,wysoki,B2B only,,,Członek Zarządu,,,,hurtownia tytoniowa,,,,,2026-08-11,,intake_PL_2026-08-10 | https://augustolimaro.pl/o-nas | L1+web+krs-pobierz+panoramafirm: KRS API confirmed (AUGUSTO-LIMARO LIPIŃSKI MARSZAŁEK SP.J. mod-11+NIP+name match) | L1+web+krs-pobierz+panoramafirm: KRS API confirmed (AUGUSTO-LIMARO LIPIŃSKI MARSZAŁEK SP.J. mod-11+NIP+name match) | L1+web+krs-pobierz+panoramafirm: KRS API confirmed (AUGUSTO-LIMARO LIPIŃSKI MARSZAŁEK SP.J. mod-11+NIP+name match),2026-08-31 ✅ FROZEN (API),
PL,PL-B-031,Trafica-Hurt s.c.,Lublin,"ul. Kowalska 7 / Krochmalna 22a, 20-115 Lublin",https://trafica-hurt.pl,duży,🔴,REGON 060299794,PL9462539270,,reseller,,,5,B8,duży,wysoki,B2B only,,,,,info@trafica-hurt.pl,+48 793 467 060,hurtownia tytoniowa,,,,,2026-08-11,,CEIDG NIP 9462539270 | REGON 060299794,2026-08-31 ⚠️ DO-WERYFIKACJI (API),
PL,PL-B-032,TOP-KART SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Białystok,"ul. Adama Mickiewicza 82/1, 15-232 Białystok",https://topkart.vp.pl,duży,🔴,KRS 0001107489,PL5422737004,,reseller,,,5,B8,duży,wysoki,B2B only,,,CZŁONEK ZARZĄDU,,topkart@vp.pl,+48 501 373 302,hurtownia tytoniowa,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-17,2026-08-31 ✅ FROZEN (API),
PL,PL-B-033,Hurtownia Papierosów „Jacek” Tomasz Pytel,Gdynia,"ul. Żwirki i Wigury 8B lok. 3, 81-393 Gdynia",https://hpjacek.pl,średni,🟢,CEIDG (NIP 5862226779),PL5862226779,,reseller,,,3,B4,duży,średni,mix,,,,,,+48 515 205 719,Hurtownia papierosów i wyrobów tytoniowych w Gdyni.,,,,,2026-08-17,,CEIDG API (NIP 5862226779),2026-08-31 ✅ FROZEN (API),
PL,PL-B-034,ALMARK J. STAJER SPÓŁKA KOMANDYTOWA,Wielkopolskie,"57-300 Kłodzko, Polska",https://almark.pl/index.php/of...,średni,🟢,KRS 0000331276,PL6972257505,,reseller,,,3,B4,duży,średni,mix,,,Członek Zarządu,,,+48 724 282 272,Akcesoria tytoniowe,,,,,2026-08-11,,"intake_PL_2026-08-10 | https://almark.pl/index.php/of... | L1+web+krs-pobierz: KRS API confirmed (ALMARK J. STAJER SP.K. mod-11+NIP+name match, PKD 46.35Z) | L1+web+krs-pobierz: KRS API confirmed (ALMARK J. STAJER SP.K. mod-11+NIP+name match, PKD 46.35Z) | L1+web+krs-pobierz: KRS API confirmed (ALMARK J. STAJER SP.K. mod-11+NIP+name match, PKD 46.35Z) | L1+web+krs-pobierz: KRS API confirmed (ALMARK J. STAJER SP.K. mod-11+NIP+name match, PKD 46.35Z)",2026-08-31 ✅ FROZEN (API),
