Rank,Priorytet,Score,Firma,Relacja,Segment,Kanał,Województwo,Miasto,Skala,Email,Telefon,Osoba/Dział decyzyjny,Stanowisko,WWW,Adres,NIP,KRS,Produkty/marki,Status,Owner,Następny krok,Uzasadnienie potencjału,Źródła,Uwagi
11,A1 — kontakt natychmiast,90,Lima S.A.,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt ogólnopolski,Mazowieckie,"Nationwide (Hq Warsaw, Branches Białystok, Jelenia Góra, Wrocław, Bydgoszcz, Lublin, Gorzów Wielkopolski (Marcinkowskiego 14E, Łódź, Kraków, Warsaw, Opole, Rzeszów, Białystok, Gdańsk, Katowice, Kielce, Olsztyn, Poznań, Koszalin",Duży,hurtownia@lima-warszawa.com,+48 606 689 456; +48 574 666 624,Dział hurtowni,Sprzedaż hurtowa,https://lima-sa.pl,"ul. Leonidasa 55/215 oraz ul. Deszczowa 2, Warszawa",,,FMCG | Papierosy | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,Dostęp do sklepów tytoniowych i tradycyjnego handlu; zasięg ponadregionalny.,https://lima-warszawa.com/pl/page/kontakt | https://lima-sa.pl,Nie potwierdzone | Status źródłowy: Niezweryfikowany
12,A1 — kontakt natychmiast,89,Pavolt.pl,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt ogólnopolski,Śląskie,Ogólnopolska,Średni,sklep@pavolt.pl,+48 735 222 777,Właściciel / dział sprzedaży,Sprzedaż internetowa,https://pavolt.pl/nabijarki-c-...,"Główna 8, 42-256 Zrębice",,,Nabijarki & Zwijarki | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny.",https://pavolt.pl/kontakt-f-1.html | https://pavolt.pl/nabijarki-c-...,TAK | Status źródłowy: Niezweryfikowany
13,A1 — kontakt natychmiast,89,CK Complex,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt ogólnopolski,Lubuskie,,Duża,monika.wachel@ckcomplex.pl; b2b@ckcomplex.pl,+48 511 881 411; +48 515 377 435,Monika Wachel,Dyrektor ds. sprzedaży hurtowej,https://ckcomplex.pl,"ul. Naftowa 4, 65-705 Zielona Góra",9291744080.0,,Akcesoria Tytoniowe | Bibułki & Bletki | FMCG | Gilzy & Filtry | Nabijarki & Zwijarki,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny.",https://ckcomplex.pl/kontakt/ | https://b2b.ckcomplex.pl/ | https://ckcomplex.pl,B2B FMCG wholesaler that distributes various tobacco accessories including manual and piston rolling machines (nabijarki).
14,A1 — kontakt natychmiast,88,IGNIS COMPANY Sp. z o.o. / IGNIS Tobacco,Partner strategiczny / możliwy konflikt produktowy,"S1 — RYO/MYO, gilzy i nabijarki",Producent/importer/dystrybutor,Mazowieckie,Warszawa,Średni,sekretariat@eignis.pl; zamowienia@eignis.pl,+48 44 777 00 30; +48 601 373 745,Łukasz Maciejczyk / CEO / właściciel | Justyna Maciejczyk / CEO / zamówienia,,https://ignistobacco.pl/,"ul. Szamocka 10C/128, 01-748 Warszawa",5252995077.0,,Gilzy papierosowe | Filtry | Akcesoria Tytoniowe | IGNIS | Tytoń | Akcesoria | RYO/MYO,Nowy,BILLS — hurt@bills.pl,Rozmowa strategiczna z dyrektorem handlowym; bez standardowego cold maila,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; kompetencje importowo-dystrybucyjne; wymaga rozmowy strategicznej zamiast standardowej oferty.",https://ignistobacco.pl/,Bezpośrednio komplementarny asortyment; warto sprawdzić konflikt marek i warunki dystrybucji. | Status źródłowy: Zweryfikowany — aktywna strona
15,A1 — kontakt natychmiast,88,Hawana Tabacco / Golden Filter,Partner strategiczny / możliwy konflikt produktowy,"S1 — RYO/MYO, gilzy i nabijarki",Producent/importer/dystrybutor,Dolnośląskie,Kamienna Góra,Średni,hawanatabacco@o2.pl,+48 75 744 50 34,,,https://www.goldenfilter.pl/,"ul. Wałbrzyska 18, 58-400 Kamienna Góra",,,Gilzy papierosowe | Filtry | Bibułki | Akcesoria Tytoniowe | Golden Filter | Tytoń | Akcesoria | RYO/MYO,Nowy,BILLS — hurt@bills.pl,Rozmowa strategiczna z dyrektorem handlowym; bez standardowego cold maila,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; kompetencje importowo-dystrybucyjne; wymaga rozmowy strategicznej zamiast standardowej oferty.",https://www.goldenfilter.pl/,Jeden z najlepszych potencjalnych partnerów produktowych dla Powermatic/Hawk-Matic. | Status źródłowy: Zweryfikowany — aktywna strona
16,A1 — kontakt natychmiast,88,Eurus Sp. z o.o. / Clipper Polska,Partner dystrybucyjny/importer,S3 — Akcesoria dla palaczy/headshop,Importer/dystrybutor krajowy,Podlaskie,Białystok,Duży,sklep@clipperpolska.pl,+48 798 522 522,,,https://www.clipperpolska.pl,"ul. Hurtowa 8, 15-399 Białystok",5423094347.0,314581.0,Zapalniczki Clipper | Akcesoria Tytoniowe | Produkty przykasowe | Clipper | Zapalniczki | Akcesoria dla palaczy | Artykuły impulsowe,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,Sprzedaż komplementarnych akcesoriów dla palaczy; kompetencje importowo-dystrybucyjne.,https://www.clipperpolska.pl/ | https://www.eurus.com.pl/kontakt/ | https://www.clipperpolska.pl,Status źródłowy: Zweryfikowany — aktywna strona/B2B
17,A1 — kontakt natychmiast,88,BetaFlame / Firma Handlowa BETA Katarzyna Ślifierz,Partner dystrybucyjny/importer,S3 — Akcesoria dla palaczy/headshop,Importer/dystrybutor krajowy,Śląskie,Tychy,Duży,hurt@betaflame.pl,+48 606 920 076,,,https://betaflame.pl,"ul. Przemysłowa 60, 43-100 Tychy",6462019385.0,,Zapalniczki | Papierośnice | Popielniczki | Akcesoria Tytoniowe | Akcesoria dla palaczy | Zapalniczki | Artykuły impulsowe,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,Sprzedaż komplementarnych akcesoriów dla palaczy; kompetencje importowo-dystrybucyjne.,https://betaflame.pl/pl/i/Regulaminy/2 | https://betaflame.pl/pl/c/Akcesoria-dla-palaczy/1198 | https://betaflame.pl,Status źródłowy: Zweryfikowany — aktywna strona/B2B
18,A1 — kontakt natychmiast,86,SklepTytoniowy.pl,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt B2B + detal,Wielkopolskie,,Średni,biuro@skleptytoniowy.pl,+48 62 767 46 07; +48 515 230 341,Dział handlowy Tabak Grupa,Internetowa hurtownia tytoniowa,https://skleptytoniowy.pl,"ul. Złota 126, 62-800 Kalisz",,,Nabijarki & Zwijarki | Papierosy | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek.",https://www.skleptytoniowy.pl/logowanie | https://skleptytoniowy.pl,Deklaruje około 40 sklepów stacjonarnych i sprzedaż wyrobów tytoniowych wyłącznie firmom. | Nie potwierdzone | Status źródłowy: Niezweryfikowany
19,A1 — kontakt natychmiast,86,Dopalenia.pl,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt B2B + detal,Łódzkie,Konstantynów Łódzki,Mały,sklep@dopalenia.pl,665-852-033,,,https://dopalenia.pl/nabijarki...,Poland,7311693836.0,,Akcesoria Tytoniowe | Nabijarki & Zwijarki | Papierosy | Tytoń | OCB Easy Slide injectors | Powermatic III automatic injector | Zen injector machines for 100/80 tubes | RYO | Rdzeń systemu nabijarek,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek.",https://dopalenia.pl/nabijarki...,TAK | Status źródłowy: Dostępny w katalogu
20,A1 — kontakt natychmiast,84,i-Want! (Hurtownia i-Want!),Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt ogólnopolski,Wielkopolskie,,Mały,hurt@i-want.pl,+48 500 528 972; +48 513 954 493 wew. 4,Dział hurtowy,Sprzedaż B2B,https://i-want.pl,"Magazynowa 10, 62-030 Luboń",7831904759.0,1107505.0,Nabijarki & Zwijarki | Electric injector RED 03 and similar 8 mm tube machines | Rdzeń systemu nabijarek,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny.",https://i-want.pl/kontakt-i-faq/ | https://i-want.pl/regulamin-iwant/ | https://i-want.pl,Nie potwierdzone | Status źródłowy: Dostępny w katalogu
21,A1 — kontakt natychmiast,84,TOM Polska Sp. z o.o.,Partner dystrybucyjny/importer,S3 — Akcesoria dla palaczy/headshop,Importer/dystrybutor krajowy,Opolskie,Kalisz,Średni,biuro@tompolska.pl,+48 504 154 210,,,https://www.tompolska.pl,"ul. Drukarzy 5, 62-800 Kalisz",,,Zapalniczki | Palniki | Zapalarki | Akcesoria Tytoniowe | Zapalniczki | Akcesoria dla palaczy | Artykuły reklamowe,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,Sprzedaż komplementarnych akcesoriów dla palaczy; kompetencje importowo-dystrybucyjne.,https://tompolska.pl/o-nas | https://tompolska.pl/kontakt | https://www.tompolska.pl,Automatycznie pobrane przez skrypt.Rekord uzupełniony i sklasyfikowany w drugim etapie researchu. | Status źródłowy: Zweryfikowany — aktywna strona
22,A1 — kontakt natychmiast,84,Don Marco International Sp. z o.o.,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt ogólnopolski,Pomorskie,,Mały,donmarco@donmarco.pl,+48 882 551 017; +48 602 264 080,Dział zamówień i wysyłek,Importer i dystrybutor,https://donmarco.pl,"ul. Jodłowa 20, 80-633 Gdańsk; magazyn: ul. Budowlanych 15A, Gdańsk",,,Nabijarki & Zwijarki | Cigarette rollers | Fillers | Manual rolling machines | Rdzeń systemu nabijarek,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny.",https://www.donmarco.pl/pl/text/27-KONTAKT.php | https://donmarco.pl,"Importer zapalniczek, akcesoriów trafikowych i artykułów impulsowych. | Nie potwierdzone | Status źródłowy: Dostępny w katalogu"
23,A1 — kontakt natychmiast,83,MRC Trade,Partner strategiczny / możliwy konflikt produktowy,"S1 — RYO/MYO, gilzy i nabijarki",Producent/importer/dystrybutor,Kujawsko-pomorskie,,Duża,biuro@mrctrade.pl; export@mrctrade.pl,+48 797 724 344; +48 784 901 554,Dział sprzedaży / przedstawiciele regionalni,Sprzedaż krajowa i vanselling,https://mrctrade.pl,"ul. Włocławska 171A, 87-100 Toruń",,,Akcesoria Tytoniowe | Gilzy & Filtry,Nowy,BILLS — hurt@bills.pl,Rozmowa strategiczna z dyrektorem handlowym; bez standardowego cold maila,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; kompetencje importowo-dystrybucyjne; wymaga rozmowy strategicznej zamiast standardowej oferty.",https://mrctrade.pl/kontakt/ | https://mrctrade.pl/oferta/ | https://mrctrade.pl,"Producent gilz i filtrów, własna sieć przedstawicieli w 13 województwach; kontakt strategiczny. | Domestic Polish producer of cigarette tubes and filters supplying wholesale channels."
24,A1 — kontakt natychmiast,82,CK Complex B2B,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt ogólnopolski,Lubuskie,Ogólnopolska,Średni,monika.wachel@ckcomplex.pl; b2b@ckcomplex.pl,+48 511 881 411; +48 515 377 435,Monika Wachel,Dyrektor ds. sprzedaży hurtowej,https://b2b.ckcomplex.pl/pl/li...,"ul. Naftowa 4, 65-705 Zielona Góra",9291744080.0,,Akcesoria Tytoniowe | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,Sprzedaż komplementarnych akcesoriów dla palaczy; zasięg ponadregionalny.,https://ckcomplex.pl/kontakt/ | https://b2b.ckcomplex.pl/ | https://b2b.ckcomplex.pl/pl/li...,Status źródłowy: Niezweryfikowany
25,A2 — kontakt w 7 dni,81,Fusion Labs Sp. z o.o.,Partner strategiczny / producent,S4 — Vape/e-papierosy,Producent/importer/dystrybutor,Świętokrzyskie,Masłów Pierwszy,Duży,biuro@fusion.pl,+48 530 312 326,,,https://fusion.pl,"ul. Świętokrzyska 10A, 26-001 Masłów Pierwszy",6572968622.0,963058.0,Liquidy | Premixy | Bazy | Shoty | Urządzenia vape | Vape | Liquidy | FMCG,Nowy,BILLS — hurt@bills.pl,E-mail handlowy + telefon follow-up w ciągu 48 godzin,Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi; kompetencje importowo-dystrybucyjne.,https://fusion.pl/ | https://panel.fusion.pl/regulamin-platformy/ | https://fusion.pl,Status źródłowy: Zweryfikowany — aktywna strona/B2B
26,A2 — kontakt w 7 dni,81,Fortrade,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt ogólnopolski,Ogólnopolska,,Mały,,,,,https://fortrade.pl,Poland,,,Nabijarki & Zwijarki | Other injector devices | Półautomatyczna tłokowa maszynka do gilz | Rdzeń systemu nabijarek,Nowy,BILLS — hurt@bills.pl,E-mail handlowy + telefon follow-up w ciągu 48 godzin,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny.",https://fortrade.pl,Nie potwierdzone | Status źródłowy: Dostępny w katalogu
27,A2 — kontakt w 7 dni,81,Tobacco Concept Factory (TCF),Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt ogólnopolski,Ogólnopolska,,Duża,,,,,https://tcf.com.pl,,,,Akcesoria Tytoniowe | Bibułki & Bletki | Gilzy & Filtry,Nowy,BILLS — hurt@bills.pl,E-mail handlowy + telefon follow-up w ciągu 48 godzin,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny.",https://tcf.com.pl,"Major B2B distributor of smoking accessories, tubes, filters, and papers."
28,A2 — kontakt w 7 dni,81,PRODAP,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt ogólnopolski,Ogólnopolska,,Średnia,,,,,https://prodap.pl,,,,Akcesoria Tytoniowe | Nabijarki & Zwijarki | Powermatic,Nowy,BILLS — hurt@bills.pl,E-mail handlowy + telefon follow-up w ciągu 48 godzin,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny.",https://prodap.pl,Major dedicated distributor specifically for Powermatic injectors and replacement parts.
29,A2 — kontakt w 7 dni,80,M&P PAVLINA Sp. z o.o. Sp.k. / M&P Alkohole Wina Cygara,Partner dystrybucyjny/importer,S5 — Cygara i trafiki premium,Importer/dystrybutor krajowy,Mazowieckie,Marki / Karpin,Duży,biuro@wina-mp.pl,+48 22 350 79 30,,,https://www.wina-mp.pl,"ul. Leonida Teligi 1A, 05-270 Marki; centrum logistyczne: ul. Warszawska 5, 05-252 Karpin",1251632608.0,578685.0,Cygara | Humidory | Zapalniczki | Akcesoria premium | Cygara premium | Akcesoria cygarowe | Alkohole premium,Nowy,BILLS — hurt@bills.pl,E-mail handlowy + telefon follow-up w ciągu 48 godzin,Premium trafiki i specjalistyczne punkty sprzedaży; kompetencje importowo-dystrybucyjne.,https://www.wina-mp.pl/index.php/pl/kontakt/klienci-biznesowi | https://wina-mp.pl/index.php/pl/kontakt/biuro | https://www.wina-mp.pl,Status źródłowy: Zweryfikowany — aktywna strona/B2B
30,A2 — kontakt w 7 dni,80,"Handel Hurtowy i Detaliczny, Beata Czyż w Radom",Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt B2B regionalny,Mazowieckie,Radom,Średnia,,+48 504 08-33-60,,,38250-pl.all.biz,,,,Gilzy Papierosowe | Nabijarki Do Gilz | Akcesoria Dla Palaczy | Mr Tobacco | DREK | Dark Horse | OCB | Powermatic | Hurtownia,Nowy,BILLS — hurt@bills.pl,E-mail handlowy + telefon follow-up w ciągu 48 godzin,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek.",38250-pl.all.biz,"Model: Detalista-Z-Hurtem. Asortyment: Gilzy papierosowe (Mr Tobacco, DREK, Dark Horse), nabijarki do gilz (Powermatic 1, Powermatic 2, OCB Mikromatic Duo), akcesoria dla palaczy. Info: Powermatic 1, Powermatic 2, OCB Mikromatic Duo | Status źródłowy: Aktywny"
31,A2 — kontakt w 7 dni,80,TwojePapierosy.pl,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt B2B + detal,Ogólnopolska,Ogólnopolska,Średni,,,,,https://twojepapierosy.pl,Online (Poland-wide),,,Akcesoria Tytoniowe | Nabijarki & Zwijarki | Papierosy | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,E-mail handlowy + telefon follow-up w ciągu 48 godzin,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny.",https://twojepapierosy.pl,TAK | Status źródłowy: Niezweryfikowany
32,A2 — kontakt w 7 dni,80,Hurtownia Kaziool,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt ogólnopolski,Ogólnopolska,,Mały,,,,,https://kaziool.pl,Poland,,,Akcesoria Tytoniowe | Nabijarki & Zwijarki | Papierosy | Manual cigarette tube injectors | Maszynki do gilz | Slim and standard tube machines | Rdzeń systemu nabijarek,Nowy,BILLS — hurt@bills.pl,E-mail handlowy + telefon follow-up w ciągu 48 godzin,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny.",https://kaziool.pl,Nie potwierdzone | Status źródłowy: Aktywny
