id,nazwa,miasto,www,kategoria,tier,email,telefon,kanal_sprzedaży,decydent,powinowactwo_nabijarki,marki_nabijarki,notatki,sourcing,flagi,wolumen,confidence_wolumen,rejestr_id,vat_id,address
CZ-B-011,CigarKings trade,,https://www.cigarkings.de/trade,B2,duży,,,B2B wholesale,,3,,"DE-headquartered premium cigar importer/distributor active in CZ, EE, HR, HU and 20+ EU countries | Multi-country: CigarKings network",manual-google-search-2026-09-01,FROZEN,,,,,
MD-B-003,Casa del Tabaco,,https://casadeltabaco.net,B5,duży,,,B2B wholesale,,3,,"MD exclusive Habanos importer since 2005, horeca + retail + B2B | ⚠ URL DEAD (000): https://casadeltabaco.net",manual-google-search-2026-09-01,DO-WERYFIKACJI,,,,,
MD-B-004,Le Bridge Duty Free,,https://moodiedavittreport.com/moldovan-retailer-and-distributor-le-bridge-duty-free-prepares-to-open-border-and-airport-stores-131009/,B5,duży,,,B2B wholesale,,3,,"MD Imperial+BAT importer-distributor, 4 border stores + Chisinau airport | Multi-country: Imperial/BAT cluster",manual-google-search-2026-09-01,FROZEN,,,,,
MD-B-005,Tutun - Premium SRL ICS,,https://www.kompass.com/z/md/a/tobacco-and-tobacco-products/03990/,B5,mały,,,B2B wholesale,,3,,"MD import + processing of tobacco products, LOHN system | ⚠ URL DEAD (403): https://www.kompass.com/z/md/a/tobacco-and-tobacco-products/03990/",manual-google-search-2026-09-01,DO-WERYFIKACJI,,,,,
MD-B-006,Parse - Tutun SRL,,https://www.kompass.com/z/md/a/tobacco-and-tobacco-products/03990/,B5,mały,,,B2B wholesale,,3,,MD procurement + primary processing of tobacco leaf | ⚠ URL DEAD (403): https://www.kompass.com/z/md/a/tobacco-and-tobacco-products/03990/,manual-google-search-2026-09-01,DO-WERYFIKACJI,,,,,
MD-B-007,Tabacco Trade SRL,,https://www.kompass.com/z/md/a/tobacco-and-tobacco-products/03990/,B5,średni,,,B2B wholesale,,3,,"MD tobacco wholesale, Tvardita | ⚠ URL DEAD (403): https://www.kompass.com/z/md/a/tobacco-and-tobacco-products/03990/",manual-google-search-2026-09-01,DO-WERYFIKACJI,,,,,
MD-B-008,DFM SRL,,https://www.volza.com/p/hookah-tobacco-or-tobacco-products/buyers/buyers-in-moldova/,B5,duży,,,B2B wholesale,,3,,"MD #1 hookah tobacco importer (113 shipments, 34% market) | ⚠ URL DEAD (403): https://www.volza.com/p/hookah-tobacco-or-tobacco-products/buyers/buyers-in-moldova/",manual-google-search-2026-09-01,DO-WERYFIKACJI,,,,,
RS-B-016,Julieta D.O.O.,,https://julieta.biz,B5,duży,,,B2B wholesale,,3,,"RS leading premium cigars importer/distributor, La Casa del Habano franchise, 3 Belgrade locations",manual-google-search-2026-09-01,FROZEN,,,,,
RS-B-017,INGRAS DOO,,https://www.europages.co.uk/companies/serbia/tobacco.html,B5,średni,,,B2B wholesale,,3,,"RS regional tobacco wholesale + sensors (Novi Sad, 1992)",manual-google-search-2026-09-01,FROZEN,,,,,
RS-B-018,CVIJIĆ KOMERC,,https://www.europages.co.uk/companies/serbia/tobacco.html,B5,średni,,,B2B wholesale,,3,,"RS wholesale tobacco, Banatsko Novo Selo",manual-google-search-2026-09-01,FROZEN,,,,,
RS-B-019,B.M.D. d.o.o.,,https://www.europages.co.uk/companies/serbia/tobacco.html,B5,średni,,,B2B wholesale,,3,,"RS wholesale tobacco, Belgrade",manual-google-search-2026-09-01,FROZEN,,,,,
LV-B-005,Amber Distribution Latvia Ltd,,https://www.kompass.com/z/lv/a/food-beverages-and-tobacco-wholesale/8125003/,B5,średni,,,B2B wholesale,,3,,"LV food+beverages+tobacco wholesale, Stopinu pagasts | ⚠ URL DEAD (403): https://www.kompass.com/z/lv/a/food-beverages-and-tobacco-wholesale/8125003/",manual-google-search-2026-09-01,DO-WERYFIKACJI,,,,,
LV-B-006,Baltstor Ltd,,https://www.kompass.com/z/lv/a/food-beverages-and-tobacco-wholesale/8125003/,B5,średni,,,B2B wholesale,,3,,"LV food+beverages+tobacco wholesale, Riga | ⚠ URL DEAD (403): https://www.kompass.com/z/lv/a/food-beverages-and-tobacco-wholesale/8125003/",manual-google-search-2026-09-01,DO-WERYFIKACJI,,,,,
LV-B-007,British American Tobacco Latvia Ltd,,https://dz.kompass.com/z/lv/a/tabac-et-produits-du-tabac/03990/,B5,mały,,,B2B wholesale,,3,,"LV BAT distribution arm, Riga | Multi-country: BAT cluster | ⚠ URL DEAD (403): https://dz.kompass.com/z/lv/a/tabac-et-produits-du-tabac/03990/",manual-google-search-2026-09-01,DO-WERYFIKACJI,,,,,
LV-B-008,Delos Plus SIA,,https://balticexport.com/landingpage/delos-plus-sia,B5,średni,,,B2B wholesale,,3,,"LV wholesale tobacco, Riga, reg 40003445720",manual-google-search-2026-09-01,FROZEN,,,,,
LV-B-009,G & P Tobacco SIA,,https://balticexport.com/landingpage/g-p-tobacco-sia-272101,B5,średni,,,B2B wholesale,,3,,"LV wholesale tobacco, Riga, reg 40103239254",manual-google-search-2026-09-01,FROZEN,,,,,
SI-B-010,AONIS d.o.o.,,https://aonidoo.com,B5,średni,,,B2B wholesale,,3,,"SI B2B wholesale vape+heat-not-burn+cigars+rolling papers, 35% margin, 6-day SI / 9-day EU delivery | ⚠ URL DEAD (000): https://aonidoo.com",manual-google-search-2026-09-01,DO-WERYFIKACJI,,,,,
LT-B-011,UAB Tabakininkas,,https://rekvizitai.vz.lt/en/companies/tobacco/,B5,średni,,,B2B wholesale,,3,,"LT tobacco wholesale, Vilnius",manual-google-search-2026-09-01,FROZEN,,,,,
LT-B-012,UAB Europinis tabakas,,https://rekvizitai.vz.lt/en/companies/tobacco/,B5,średni,,,B2B wholesale,,3,,"LT tobacco wholesale, Panevėžys",manual-google-search-2026-09-01,FROZEN,,,,,
LT-B-013,UAB Vape B2B,,https://rekvizitai.vz.lt/en/companies/tobacco/,B5,średni,,,B2B wholesale,,3,,"LT vape wholesale, Kaunas",manual-google-search-2026-09-01,FROZEN,,,,,
EE-B-027,Jungent Estonia OÜ,,https://www.jungent.eu/,B5,mały,,,B2B wholesale,,3,,"EE 30-yr sales+distribution, sister Jungent Latvia + Jungent Lietuva | Multi-country: Jungent Group (EE+LV+LT)",manual-google-search-2026-09-01,FROZEN,,,,,
EE-B-028,AMER TOBACCO AS,,https://www.europages.de/unternehmen/estland/tabakwaren%20und%20raucherbedarf.html,B5,średni,,,B2B wholesale,,3,,"EE tobacco wholesale, Tallinn, 1992, 20-49 employees",manual-google-search-2026-09-01,FROZEN,,,,,
EE-B-029,EUGESTA EESTI AS,,https://www.europages.de/unternehmen/estland/tabakwaren%20und%20raucherbedarf.html,B5,średni,,,B2B wholesale,,3,,"EE tobacco wholesale, Tallinn, 1993, 20-49 employees",manual-google-search-2026-09-01,FROZEN,,,,,
BG-B-027,Orbico Bulgaria,,https://health.ec.europa.eu/document/download/65dbb078-afbf-463e-9b6c-6237aa8b3b42_en,B5,mały,,,B2B wholesale,,3,,"BG authorized participant list, tobacco distribution | Multi-country: Orbico group",manual-google-search-2026-09-01,FROZEN,,,,,
BG-B-028,MAXLOGISTIC,,https://health.ec.europa.eu/document/download/65dbb078-afbf-463e-9b6c-6237aa8b3b42_en,B5,mały,,,B2B wholesale,,3,,BG authorized tobacco distributor,manual-google-search-2026-09-01,FROZEN,,,,,
HR-B-012,AER WHOLESALE,,https://www.europages.co.uk/companies/croatia/tobacco%20and%20smokers%20items.html,B5,średni,,,B2B wholesale,,3,,"HR e-cigarette/e-liquid wholesale, Umag, 20-49 employees",manual-google-search-2026-09-01,FROZEN,,,,,
HR-B-013,Logista d.o.o.,,https://www.europages.co.uk/companies/croatia/tobacco%20and%20smokers%20items.html,B5,mały,,,B2B wholesale,,3,,"HR tobacco distribution, Rijeka, 20-49 employees | Multi-country: Logista cluster (FR+ES+IT)",manual-google-search-2026-09-01,FROZEN,,,,,
RO-B-015,Aquila,,https://csd.eu/fileadmin/user_upload/publications_library/files/2018_08/BRIEF_80_ENG.pdf,B4,mały,,,B2B wholesale,,3,,RO Imperial Tobacco authorized distributor | Multi-country: Imperial cluster | ⚠ URL DEAD (403): https://csd.eu/fileadmin/user_upload/publications_library/files/2018_08/BRIEF_80_ENG.pdf,manual-google-search-2026-09-01,DO-WERYFIKACJI,,,,,
RO-B-016,Interbrands Marketing & Distribution,,https://csd.eu/fileadmin/user_upload/publications_library/files/2018_08/BRIEF_80_ENG.pdf,B4,mały,,,B2B wholesale,,3,,RO BAT + PMI authorized distributor | Multi-country: BAT+PMI cluster | ⚠ URL DEAD (403): https://csd.eu/fileadmin/user_upload/publications_library/files/2018_08/BRIEF_80_ENG.pdf,manual-google-search-2026-09-01,DO-WERYFIKACJI,,,,,
RO-B-017,Punctual Comimpex,,https://csd.eu/fileadmin/user_upload/publications_library/files/2018_08/BRIEF_80_ENG.pdf,B4,średni,,,B2B wholesale,,3,,"RO multi-brand wholesale, BAT+JTI+PMI+CTH | Multi-country: Multi-brand cluster | ⚠ URL DEAD (403): https://csd.eu/fileadmin/user_upload/publications_library/files/2018_08/BRIEF_80_ENG.pdf",manual-google-search-2026-09-01,DO-WERYFIKACJI,,,,,
RO-B-018,Simba Invest SRL,,https://csd.eu/fileadmin/user_upload/publications_library/files/2018_08/BRIEF_80_ENG.pdf,B5,średni,,,B2B wholesale,,3,,RO PMI authorized wholesale | Multi-country: PMI cluster | ⚠ URL DEAD (403): https://csd.eu/fileadmin/user_upload/publications_library/files/2018_08/BRIEF_80_ENG.pdf,manual-google-search-2026-09-01,DO-WERYFIKACJI,,,,,
RO-B-019,MANIAC DISTRIBUTION,,https://www.europages.co.uk/companies/wholesaler/cigarette%20paper.html,B5,średni,,,B2B wholesale,,3,,RO wholesale cigarette paper,manual-google-search-2026-09-01,FROZEN,,,,,
