country,iso,name,url,why_relevant,multi_country_group
Mołdawia,MD,Tutun - Premium SRL ICS,https://www.kompass.com/z/md/a/tobacco-and-tobacco-products/03990/,"MD import + processing of tobacco products, LOHN system",
Mołdawia,MD,Parse - Tutun SRL,https://www.kompass.com/z/md/a/tobacco-and-tobacco-products/03990/,MD procurement + primary processing of tobacco leaf,
Mołdawia,MD,Tabacco Trade SRL,https://www.kompass.com/z/md/a/tobacco-and-tobacco-products/03990/,"MD tobacco wholesale, Tvardita",
Mołdawia,MD,DFM SRL,https://www.volza.com/p/hookah-tobacco-or-tobacco-products/buyers/buyers-in-moldova/,"MD #1 hookah tobacco importer (113 shipments, 34% market)",
Serbia,RS,Julieta D.O.O.,https://julieta.biz,"RS leading premium cigars importer/distributor, La Casa del Habano franchise, 3 Belgrade locations",
Serbia,RS,INGRAS DOO,https://www.europages.co.uk/companies/serbia/tobacco.html,"RS regional tobacco wholesale + sensors (Novi Sad, 1992)",
Serbia,RS,CVIJIĆ KOMERC,https://www.europages.co.uk/companies/serbia/tobacco.html,"RS wholesale tobacco, Banatsko Novo Selo",
Serbia,RS,B.M.D. d.o.o.,https://www.europages.co.uk/companies/serbia/tobacco.html,"RS wholesale tobacco, Belgrade",
Łotwa,LV,Amber Distribution Latvia Ltd,https://www.kompass.com/z/lv/a/food-beverages-and-tobacco-wholesale/8125003/,"LV food+beverages+tobacco wholesale, Stopinu pagasts",
Łotwa,LV,Baltstor Ltd,https://www.kompass.com/z/lv/a/food-beverages-and-tobacco-wholesale/8125003/,"LV food+beverages+tobacco wholesale, Riga",
Łotwa,LV,British American Tobacco Latvia Ltd,https://dz.kompass.com/z/lv/a/tabac-et-produits-du-tabac/03990/,"LV BAT distribution arm, Riga",BAT cluster
Łotwa,LV,Delos Plus SIA,https://balticexport.com/landingpage/delos-plus-sia,"LV wholesale tobacco, Riga, reg 40003445720",
Łotwa,LV,G & P Tobacco SIA,https://balticexport.com/landingpage/g-p-tobacco-sia-272101,"LV wholesale tobacco, Riga, reg 40103239254",
Słowenia,SI,AONIS d.o.o.,https://aonidoo.com,"SI B2B wholesale vape+heat-not-burn+cigars+rolling papers, 35% margin, 6-day SI / 9-day EU delivery",
Litwa,LT,UAB Tabakininkas,https://rekvizitai.vz.lt/en/companies/tobacco/,"LT tobacco wholesale, Vilnius",
Litwa,LT,UAB Europinis tabakas,https://rekvizitai.vz.lt/en/companies/tobacco/,"LT tobacco wholesale, Panevėžys",
Litwa,LT,UAB Vape B2B,https://rekvizitai.vz.lt/en/companies/tobacco/,"LT vape wholesale, Kaunas",
Estonia,EE,Jungent Estonia OÜ,https://www.jungent.eu/,"EE 30-yr sales+distribution, sister Jungent Latvia + Jungent Lietuva",Jungent Group (EE+LV+LT)
Estonia,EE,AMER TOBACCO AS,https://www.europages.de/unternehmen/estland/tabakwaren%20und%20raucherbedarf.html,"EE tobacco wholesale, Tallinn, 1992, 20-49 employees",
Estonia,EE,EUGESTA EESTI AS,https://www.europages.de/unternehmen/estland/tabakwaren%20und%20raucherbedarf.html,"EE tobacco wholesale, Tallinn, 1993, 20-49 employees",
Bułgaria,BG,Orbico Bulgaria,https://health.ec.europa.eu/document/download/65dbb078-afbf-463e-9b6c-6237aa8b3b42_en,"BG authorized participant list, tobacco distribution",Orbico group
Bułgaria,BG,MAXLOGISTIC,https://health.ec.europa.eu/document/download/65dbb078-afbf-463e-9b6c-6237aa8b3b42_en,BG authorized tobacco distributor,
Chorwacja,HR,AER WHOLESALE,https://www.europages.co.uk/companies/croatia/tobacco%20and%20smokers%20items.html,"HR e-cigarette/e-liquid wholesale, Umag, 20-49 employees",
Chorwacja,HR,Logista d.o.o.,https://www.europages.co.uk/companies/croatia/tobacco%20and%20smokers%20items.html,"HR tobacco distribution, Rijeka, 20-49 employees",Logista cluster (FR+ES+IT)
Rumunia,RO,Aquila (Imperial Tobacco distributor),https://csd.eu/fileadmin/user_upload/publications_library/files/2018_08/BRIEF_80_ENG.pdf,RO Imperial Tobacco authorized distributor,Imperial cluster
Rumunia,RO,Interbrands Marketing & Distribution (BAT+PMI),https://csd.eu/fileadmin/user_upload/publications_library/files/2018_08/BRIEF_80_ENG.pdf,RO BAT + PMI authorized distributor,BAT+PMI cluster
Rumunia,RO,"Punctual Comimpex (BAT, JTI, PMI, China Tobacco)",https://csd.eu/fileadmin/user_upload/publications_library/files/2018_08/BRIEF_80_ENG.pdf,"RO multi-brand wholesale, BAT+JTI+PMI+CTH",Multi-brand cluster
Rumunia,RO,Simba Invest SRL (PMI),https://csd.eu/fileadmin/user_upload/publications_library/files/2018_08/BRIEF_80_ENG.pdf,RO PMI authorized wholesale,PMI cluster
Rumunia,RO,MANIAC DISTRIBUTION,https://www.europages.co.uk/companies/wholesaler/cigarette%20paper.html,RO wholesale cigarette paper,
