region_kod,region_nazwa,region_typ,related_to,rok_zalozenia,id_unikalne,kategoria,nazwa_firmy,kraj,miasto,adres,nip_vat,rejestr_id,www,kanal_zamiennik,email,telefon,linkedin,facebook,instagram,tiktok,tier,marki_nabijarki,marka_wlasna_oem,sourcing,wolumen,confidence_wolumen,kanal_sprzedaży,powinowactwo_nabijarki,cross_sell_potential,decydent,stanowisko,email_decydent,zrodlo_danych,data_weryfikacji,flagi,notatki,rynek_skala,_krs
XX,Polska,województwo,brak,brak,PL-B-XX-017,B8,BENATURAL Sp. z o.o.,PL,Warszawa,Warszawa (dokładny adres do weryfikacji),PL7681843587,KRS 0000836728,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,średni,do ustalenia,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:02.817Z | KRS API 0000836728,2026-08-10,QS: 75/100 | ✅VIES ✅KRS 2026-08-12 ✅ FROZEN (API),"KRS API: 0000836728, NIP 7681843587, REGON 38588359600000, siedziba WARSZAWA (MAZOWIECKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży,0000836728
XX,Polska,województwo,brak,brak,PL-B-XX-018,B8,Tabak Grupa sp. z o.o.,PL,Kalisz,Kalisz (dokładny adres do weryfikacji),PL6181914183,KRS 0000119343,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,średni,do ustalenia,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:18:58.426Z | KRS API 0000119343,2026-08-10,QS: 75/100 | ✅VIES ✅KRS 2026-08-12 ✅ FROZEN (API),"KRS API: 0000119343, NIP 6181914183, REGON 25100462100000, siedziba KALISZ (WIELKOPOLSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży,0000119343
XX,Polska,województwo,brak,brak,PL-B-XX-019,B8,Tobacco Of Poland,PL,Grudziądz,"ul. Czerwonodworna 19, 86-300 Grudziądz",PL8762468378,KRS 0000673961,https://www.tobaccoofpoland.com,"biuro + stacje wykupowe (Grudziądz, Łukowa, Górny Potok)",brak,+48 799 885 995 (Aleks Dudalski - dział handlowy),brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,wysoki,Aleks Dudalski (dział handlowy) + Artur Dudalski,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:07.949Z | KRS API 0000673961 (partial),2026-08-10,QS: 80/100 | + web search ✅VIES ✅KRS✓ 2026-08-12 ✅ FROZEN (API),"🐋 Tobacco Of Poland Sp. z o.o., KRS 0000673961, NIP 8762468378, REGON 366879566, kapitał 500k zł. Siedziba: Grudziądz, ul. Czerwonodworna 19. Magazyn: ul. Budowlanych 10, Grudziądz. Stacje wykupowe tytoniu: Grudziądz, Łukowa (k. Biłgoraja), Górny Potok. Działalność: skup surowych liści tytoniu (Virginia, Burley, Mocny Skroniowski) od plantatorów + dystrybucja do producentów cygar/papierosów/shishy/snusa. ⚠️ Weryfikacja: pełna oferta (czy mają maszynki), relacja z BILLS (hurtownia tytoniu = cross-sell na maszynki). Tel. Aleks Dudalski (dział handlowy, tel. kom. 799 885 992/995), Artur Dudalski. Strona PL i EN.",2026-08-10 ✅ FROZEN,0000673961
XX,Polska,województwo,brak,brak,PL-B-XX-020,B8,Hurtownia Papierosów Sp. z o.o.,PL,Brzeziny,"ul. Adama Mickiewicza 17, 95-060 Brzeziny",PL8330002756,KRS 0000568420,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,średni,do ustalenia (zarząd KRS),brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10 | KRS API 0000568420,2026-08-10,QS: 75/100 | + web search ✅KRS 2026-08-12 ✅ FROZEN (API),"Hurtownia Papierosów Sp. z o.o., KRS 0000568420, NIP 8330002756, REGON 750004750, kapitał 66.5k zł. Siedziba: Brzeziny, ul. Adama Mickiewicza 17 (woj. łódzkie). ⚠️ Uwaga: w aleo.com widnieje też ""Hurtownia Papierosów Andrzej Gryglak, Robert Michalski sp.j."" — to inna firma z tym samym NIP-em (zmiana formy prawnej). Sprawdzić czy sp.j. nadal istnieje, czy jest już zlikwidowana.",2026-08-10 ✅ FROZEN,0000568420
XX,Polska,województwo,brak,brak,PL-B-XX-021,B8,BITLOGIC BARNAŚ SPÓŁKA KOMANDYTOWA,PL,Włocławek,Włocławek (dokładny adres do weryfikacji),PL5223217609,KRS 0000946950,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,średni,do ustalenia,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:18:54.484Z | KRS API 0000946950,2026-08-10,QS: 75/100 | ✅VIES ✅KRS 2026-08-12 ✅ FROZEN (API),"KRS API: 0000946950, NIP 5223217609, REGON 52097496900000, siedziba WŁOCŁAWEK (KUJAWSKO-POMORSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży,0000946950
XX,Polska,województwo,brak,brak,PL-B-XX-022,B8,J&K Dystrybucja sp. z o.o.,PL,Smolec (k. Wrocławia),"Smolec (k. Wrocławia, dokładny adres do weryfikacji)",PL8961612530,KRS 0000965005,brak,brak,dystrybucja.jk@gmail.com,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,wysoki,do ustalenia,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10 | KRS API 0000965005,2026-08-10,QS: 80/100 | ✅KRS 2026-08-12 ✅ FROZEN (API),"KRS API: 0000965005, NIP 8961612530, REGON 52168439200000, siedziba SMOLEC (DOLNOŚLĄSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży,0000965005
XX,Polska,województwo,brak,brak,PL-B-XX-023,B8,CLOUD HOLDING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,Gdańsk,Gdańsk (dokładny adres do weryfikacji),PL9571110560,KRS 0000998700,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,4,średni,do ustalenia,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:14.898Z | KRS API 0000998700,2026-08-10,QS: 75/100 | ✅VIES ✅KRS 2026-08-12 ✅ FROZEN (API),"KRS API: 0000998700, NIP 9571110560, REGON 38169493500000, siedziba GDAŃSK (POMORSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży,0000998700
XX,Polska,województwo,brak,brak,PL-B-XX-024,B8,Vape.pl Sp. z o.o.,PL,Zawiercie,Zawiercie (dokładny adres do weryfikacji),PL6492327111,KRS 0000999396,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,średni,do ustalenia,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10 | KRS API 0000999396,2026-08-10,QS: 75/100 | ✅KRS 2026-08-12 ✅ FROZEN (API),"KRS API: 0000999396, NIP 6492327111, REGON 52350082900000, siedziba ZAWIERCIE (ŚLĄSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży,0000999396
XX,Polska,województwo,brak,brak,PL-B-XX-025,B8,Hurtownia KING Krzysztof Król,PL,Szczecin,"ul. Świerczewska 68, 71-066 Szczecin",PL8511005882,JDG (CEIDG),https://kinghurt.pl,brak,bok@kinghurt.pl,"+48 609 641 400, +48 603 580 032",brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,wysoki,Krzysztof Król (właściciel JDG),brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:06.399Z,2026-08-10,QS: 85/100 | + web search ✅VIES 2026-08-12 ✅ FROZEN (API),"🐋 Hurtownia KING Krzysztof Król (Szczecin, ul. Świerczewska 68). JDG od 2000-05-01. PKD główne 46.35.Z (sprzedaż hurtowa wyrobów tytoniowych). REGON 810172286. Własna strona kinghurt.pl. Oddziały: Gdynia (ul. Krzywoustego 6, tel 58 663 24 45). Centrala Pn-Pt 7-19, Sob 7-12. Bogata oferta tytoniowa. ⚠️ Weryfikacja: czy mają maszynki (typowy asortyment hurtowni tytoniowej) i jaki to kanał (online, B2B, detal).",2026-08-10 ✅ FROZEN,
MZ,mazowieckie,województwo,brak,brak,PL-B-XX-026,B8,POLSKI TYTOŃ SPÓŁKA AKCYJNA,PL,Radom,"ul. Tartaczna 29, 26-600 Radom",PL9482622620,KRS 0000847239,polskityton.pl,brak,sekretariat@polskityton.pl,+48 48 341 32 00,brak,brak,brak,brak,hurtownik,brak,brak,brak,"duży 🟢 (15k+ sklepów, 18.3M PLN kapitału, 16+ oddziałów regionalnych)",brak,"hurt B2B ogólnopolski + 16 oddziałów (Białystok, Bydgoszcz, Gdańsk, Gorzów, Grudziądz, Kielce, Kraków, Lublin, Łódź, Poznań, Rzeszów, Szczecinek, Warszawa, Wrocław, Zamość, Żory)",wysoki,do ustalenia,do ustalenia (zarząd SA),zarząd SA,brak,L1 web search (polskityton.pl + gowork.pl + sprytnykupiec.pl) + KRS API | VIES confirmed 2026-08-11T00:19:11.524Z | KRS API 0000847239,2026-08-11,QS: 90/100 | 🔍 🐋 (L1+KRS+web multi-source) — Intel update: full address + kapitał + 16 oddziałów + 15k sklepów ✅VIES ✅KRS 2026-08-12 ✅ FROZEN (API),"🐋 DUŻY GRACZ. Polski Tytoń S.A. - jeden z największych dystrybutorów FMCG/tytoniowych w PL. 15k+ sklepów, 16+ oddziałów regionalnych, kapitał 18 280 540 PLN, REGON 386390499. Nie ma asortymentu nabijarek wprost (papierosy gotowe + FMCG + alkohol + leki), ale ich kanał detaliczny 15k+ sklepów to potencjalni klienci końcowi i pośredni dla BILLS. KRS 0000847239, NIP 948-26-22-620, adres: ul. Tartaczna 29, 26-600 Radom. Współpracuje z kilkunastoma tysiącami sklepów + stacje benzynowe + HoReCa. Strategic cross-sell opportunity na skalę kraju. PUNKT KONTAKTU: Dział Obsługi Klienta centrala 608 023 300.",duży,0000847239
PK,podkarpackie,województwo,,2012,PL-B-PK-001,B4,ELENPIPE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,Przemyśl (biuro operacyjne) / Sienno Dolne (siedziba rejestrowa),"Siedziba: Sienno Dolne 26/5, 72-316 (pow. łobeski, zachodniopomorskie). Biuro: ul. Chodkiewicza 35A, 37-700 Przemyśl",PL7952526523,KRS 0000445021,https://www.elenpipe-sw.com,Allegro user 34794518,elenpipe.pl@gmail.com,"+48 16 675 02 07, +48 729 306 784",brak,elenpipe,elenpipe_pl,brak,hurt-detal specjalistyczny,brak (fajki/cygarniczki/humidory/zapalniczki/shishe),tak (ELENPIPE®),"Polska (własna produkcja) + import (Mr.Bróg, ALDO MORELLI, Angelo)","mały 🟡 (2 pracowników 2014, spadek przychodów -31.52% w 2023)",hurt+detal online + Allegro,4,średni,do ustalenia (zarząd KRS),zarząd,do ustalenia,KRS API + elenpipe.com + emis.com,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:04.259Z | KRS API 0000445021,2026-08-10 ✅ FROZEN (API),"QS: 90/100 | Producent/importer fajek, cygarniczek, humidorów, papierośnic, zapalniczek, shishe. Własna marka ELENPIPE®. Dystrybuuje też Mr.Bróg, ALDO MORELLI, Angelo. Założona . ⚠️ Siedziba rejestrowa w woj. zachodniopomorskim (Sienno Dolne), biuro operacyjne w Przemyślu. Prawdopodobnie dystrybuuje też akcesoria do papierosów (shishe, zapalniczki). ✅VIES ✅KRS 2026-08-12 ✅ FROZEN (API)",duży,,0000445021
MZ,mazowieckie,województwo,,2014,PL-B-MZ-001,B8,ORION TOBACCO POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,Goszczyn (Jakubów),"Jakubów 5, 05-610 Goszczyn",PL7252077543,KRS 0000513841,https://www.orion-orion.pl,brak,orion@orion.mail.pl,+48 48 663 21 90,brak,oriontobaccopoland,orion_tobacco_pl,brak,producent papierosów + dystrybutor hurt,"brak (własne marki: Vabanque, Sting, Taboo, Orion, Verso, Tennesie, Baker Street, Guliwer, Barkleys, Corset)",tak (10 marek własnych papierosów),produkcja własna (Polska),"duży 🟢 (1.8 mld szt papierosów rocznie, kapitał 10M PLN)",produkcja + dystrybucja hurt + export,4,wysoki,"Jerzy Czernek (88 tys. udziałów, 4.4M PLN) + Łukasz M***** (102 tys. udziałów, 5.1M PLN)",wspólnicy sp. z o.o.,karolina@orion.mail.pl (sprzedaż krajowa),KRS API + gov.pl koncesja + orion-orion.pl,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:01.393Z | KRS API 0000513841,2026-08-10 ✅ FROZEN (API),"QS: 90/100 | 🐋 PRZENIESIONY Z KATALOGU A (był PL-A-MZ-001, A4) → katalog B (PL-B-MZ-001, B8). Powód: nie dystrybuuje maszynek, jest PRODUCENTEM papierosów. PKD 12.00.Z Produkcja wyrobów tytoniowych. Kapitał 10M PLN. Koncesja rządowa: wytwarzanie 2.4M kg tytoń + 1.8 mld szt papierosów + 20M cygar rocznie. 10 własnych marek. Własny dział sprzedaży kraj + export + 9 handlowców regionalnych. Topowy partner cross-sell: mają papierosy i siatkę dystrybucji do 100k punktów. ✅VIES ✅KRS 2026-08-12 ✅ FROZEN (API)",duży,,0000513841
XX,Polska,województwo,brak,brak,PL-B-XX-055,B8,BISTA STANDARD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,brak,Polska (Adres w rejestrze KRS/CEIDG),PL5542559901,KRS 0000197822,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10 | KRS API 0000197822,2026-08-10,QS: 75/100 | 🔁dual ✅KRS 2026-08-12 ✅ FROZEN (API),brak | dual-class: BISTA=A5 producer (Dark Horse/FERN OEM) + B8 hurtownik — keep in both per dual-business model,duży,0000197822
XX,Polska,województwo,brak,brak,PL-B-XX-056,B8,EUROCASH SERWIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,brak,Polska (Adres w rejestrze KRS/CEIDG),PL7772304755,KRS 0000519553,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:03.576Z | KRS API 0000519553,2026-08-10,QS: 75/100 | ✅VIES ✅KRS 2026-08-12 ✅ FROZEN (API),brak,duży,0000519553
OP,opolskie,województwo,,,PL-B-OP-001,B4,TOM Polska Sp. z o.o.,PL,Kalisz,"ul. Drukarzy 5, 62-800 Kalisz",PL6182180725,KRS 0000771952,https://www.tompolska.pl,,biuro@tompolska.pl,+48 504 154 210,,,,,autoryzowany,,,,średni,🟢,B2B only,3,średni,,,,intake_PL_2026-08-10 | https://tompolska.pl/o-nas | https://tompolska.pl/kontakt | https://www.tompolska.pl | L1+web+krs-pobierz: KRS API confirmed (TOM POLSKA SP. Z O.O. mod-11+NIP+name match) | L1+web+krs-pobierz: KRS API confirmed (TOM POLSKA SP. Z O.O. mod-11+NIP+name match) | L1+web+krs-pobierz: KRS API confirmed (TOM POLSKA SP. Z O.O. mod-11+NIP+name match) | L1+web+krs-pobierz: KRS API confirmed (TOM POLSKA SP. Z O.O. mod-11+NIP+name match),2026-08-11,QS: 90/100 | 🔍 | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) 2026-08-12 ✅ FROZEN (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy; kompetencje importowo-dystrybucyjne. | orig_uwagi: Automatycznie pobrane przez skrypt.Rekord uzupełniony i sklasyfikowany w drugim etapie researchu. | Status źródłowy: Zweryfikowany — aktywna strona | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=84 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży,
